library,type,old_version,new_version,commit_date
io.github.knowstackkf-elasticsearch-client,"add","","unknown",2022-11-17T09:10:51Z
io.github.zqrferrarilogi-elasticsearch-client,"remove","unknown","",2022-11-17T09:10:51Z
org.hibernatehibernate-core,"remove","unknown","",2022-04-21T02:57:56Z
org.hibernatehibernate-core,"add","","unknown",2022-04-19T03:06:36Z
org.hibernatehibernate-core,"remove","unknown","",2022-04-18T09:04:54Z
org.mybatismybatis,"add","","unknown",2022-04-21T02:57:56Z
org.mybatismybatis,"remove","unknown","",2022-04-19T03:06:36Z
org.mybatismybatis,"add","","unknown",2022-04-18T09:04:54Z
org.mariadb.jdbcmariadb-java-client,"remove","unknown","",2022-04-21T02:57:56Z
org.mariadb.jdbcmariadb-java-client,"add","","unknown",2022-04-19T03:06:36Z
org.mariadb.jdbcmariadb-java-client,"remove","unknown","",2022-04-18T09:04:54Z
