library,type,old_version,new_version,commit_date
net.bytebuddybyte-buddy,"add","","1.9.10",2022-06-09T15:25:38Z
net.bytebuddybyte-buddy,"remove","1.9.10","",2022-06-08T11:38:34Z
net.bytebuddybyte-buddy,"add","","1.9.10",2022-06-07T07:59:20Z
com.didichuxing.datachannelcapacity-plan,"remove","unknown","",2022-06-08T11:38:34Z
com.didichuxing.datachannelarius-admin-rest-v2,"remove","unknown","",2022-07-06T07:17:01Z
com.didichuxing.datachannelarius-admin-rest-v2,"add","","unknown",2022-05-05T08:49:25Z
io.github.knowstackkf-log,"add","","unknown",2022-11-17T09:10:51Z
io.github.zqrferrarilogi-log,"remove","unknown","",2022-11-17T09:10:51Z
org.mockitomockito-core,"add","","unknown",2022-06-07T11:10:36Z
org.mockitomockito-core,"remove","unknown","",2022-06-07T07:59:20Z
org.mockitomockito-junit-jupiter,"add","","3.9.0",2022-06-09T15:25:38Z
org.mockitomockito-junit-jupiter,"remove","3.7.0","",2022-06-08T11:38:34Z
org.mockitomockito-junit-jupiter,"add","","3.7.0",2022-06-07T08:26:27Z
com.didichuxing.datachannelarius-admin-client,"remove","unknown","",2022-04-21T02:57:56Z
com.didichuxing.datachannelarius-admin-client,"add","","unknown",2022-04-19T03:06:36Z
com.didichuxing.datachannelarius-admin-client,"remove","unknown","",2022-04-18T03:22:17Z
org.mockitomockito-inline,"add","","3.9.0",2022-06-09T15:25:38Z
org.mockitomockito-inline,"remove","3.7.7","",2022-06-08T11:38:34Z
org.mockitomockito-inline,"add","","3.7.7",2022-06-07T07:59:20Z
