library,type,old_version,new_version,commit_date
org.springframeworkspring-webmvc,"remove","5.0.18.RELEASE","",2022-11-19T03:45:06Z
io.github.knowstackkf-elasticsearch-client,"update","1.0.0","1.0.1",2023-02-16T05:49:33Z
io.github.knowstackkf-elasticsearch-client,"add","","1.0.0",2022-11-17T09:10:51Z
io.github.zqrferrarilogi-elasticsearch-client,"remove","1.0.25","",2022-11-17T09:10:51Z
io.github.zqrferrarilogi-elasticsearch-client,"update","1.0.24","1.0.25",2022-10-26T11:18:45Z
io.github.zqrferrarilogi-elasticsearch-client,"update","1.0.23","1.0.24",2022-08-30T02:29:33Z
io.github.zqrferrarilogi-elasticsearch-client,"update","1.0.22","1.0.23",2022-08-18T07:24:19Z
io.github.zqrferrarilogi-elasticsearch-client,"update","1.0.21","1.0.22",2022-08-18T03:34:20Z
io.github.zqrferrarilogi-elasticsearch-client,"update","1.0.20","1.0.21",2022-08-12T08:14:06Z
io.github.zqrferrarilogi-elasticsearch-client,"update","1.0.19","1.0.20",2022-08-03T04:39:55Z
io.github.zqrferrarilogi-elasticsearch-client,"update","1.0.17","1.0.19",2022-08-02T09:34:00Z
io.github.zqrferrarilogi-elasticsearch-client,"update","1.0.16","1.0.17",2022-07-06T12:45:22Z
io.github.zqrferrarilogi-security-spring-boot-starter,"remove","2.10.15","",2022-11-17T09:10:51Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.14","2.10.15",2022-09-09T08:29:59Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.13","2.10.14",2022-09-08T07:28:53Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.12","2.10.13",2022-09-02T10:33:44Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.11","2.10.12",2022-09-02T07:55:13Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.10","2.10.11",2022-08-12T01:36:31Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.9","2.10.10",2022-07-06T13:11:22Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.8","2.10.9",2022-07-06T12:45:22Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.7","2.10.8",2022-07-05T09:39:15Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.6","2.10.7",2022-07-04T05:10:07Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.5","2.10.6",2022-07-01T03:06:48Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.4","2.10.5",2022-06-30T11:09:54Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.3","2.10.4",2022-06-23T09:26:37Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.2","2.10.3",2022-06-23T06:31:31Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.1","2.10.2",2022-06-21T04:45:10Z
io.github.zqrferrarilogi-security-spring-boot-starter,"add","","2.10.1",2022-06-21T04:28:25Z
io.github.zqrferrarilogi-security-spring-boot-starter,"remove","2.10.1","",2022-06-17T09:46:37Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.0","2.10.1",2022-06-17T04:51:22Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.0.9","2.10.0",2022-06-15T08:57:28Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.10.0","2.0.9",2022-06-15T07:48:28Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.0.9","2.10.0",2022-06-15T06:55:03Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.0.8","2.0.9",2022-06-14T13:18:41Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.0.7","2.0.8",2022-06-13T09:59:11Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.0.6","2.0.7",2022-06-10T05:56:17Z
io.github.zqrferrarilogi-security-spring-boot-starter,"add","","2.0.6",2022-06-08T13:57:54Z
io.github.zqrferrarilogi-security-spring-boot-starter,"remove","2.0.6","",2022-06-08T11:38:34Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.0.5","2.0.6",2022-06-08T10:05:38Z
io.github.zqrferrarilogi-security-spring-boot-starter,"add","","2.0.5",2022-06-07T10:08:37Z
io.github.zqrferrarilogi-security-spring-boot-starter,"remove","2.0.3","",2022-06-07T07:59:20Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.0.2","2.0.3",2022-06-06T01:18:40Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.0.1","2.0.2",2022-05-31T01:35:53Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","2.0.0","2.0.1",2022-05-26T05:28:19Z
io.github.zqrferrarilogi-security-spring-boot-starter,"update","1.7.1","2.0.0",2022-05-24T08:12:42Z
io.github.zqrferrarilogi-security-spring-boot-starter,"add","","1.7.1",2022-05-23T14:22:29Z
org.springframework.bootspring-boot-dependencies,"update","2.0.5.RELEASE","2.2.13.RELEASE",2022-11-19T03:45:06Z
com.baomidoumybatis-plus-boot-starter,"update","3.3.2","3.4.2",2022-06-21T04:28:25Z
com.baomidoumybatis-plus-boot-starter,"update","3.4.2","3.3.2",2022-06-17T09:46:37Z
com.baomidoumybatis-plus-boot-starter,"update","3.3.2","3.4.2",2022-06-08T13:57:54Z
com.baomidoumybatis-plus-boot-starter,"update","3.4.2","3.3.2",2022-06-08T11:38:34Z
com.baomidoumybatis-plus-boot-starter,"update","3.3.2","3.4.2",2022-06-07T10:08:37Z
com.baomidoumybatis-plus-boot-starter,"update","3.4.2","3.3.2",2022-06-07T07:59:20Z
com.baomidoumybatis-plus-boot-starter,"update","3.3.2","3.4.2",2022-05-23T14:22:29Z
org.projectlomboklombok,"update","1.18.2","1.18.16",2022-06-17T09:46:37Z
io.github.knowstackkf-security-spring-boot-starter,"update","1.0.0","1.0.2",2023-02-16T05:49:33Z
io.github.knowstackkf-security-spring-boot-starter,"add","","1.0.0",2022-11-17T09:10:51Z
com.github.java-json-toolsjson-patch,"add","","1.13",2022-07-12T01:13:13Z
com.didichuxing.datachannelarius-admin-client,"remove","1.0.6-SNAPSHOT","",2022-04-21T02:57:56Z
com.didichuxing.datachannelarius-admin-client,"add","","1.0.6-SNAPSHOT",2022-04-19T03:06:36Z
com.didichuxing.datachannelarius-admin-client,"remove","1.0.6-SNAPSHOT","",2022-04-18T07:57:09Z
org.springframework.bootspring-boot-autoconfigure,"update","2.0.5.RELEASE","2.2.13.RELEASE",2022-11-19T03:45:06Z
io.github.knowstackkf-job-spring-boot-starter,"update","2.0.0","2.0.2",2023-02-16T05:49:33Z
io.github.knowstackkf-job-spring-boot-starter,"add","","2.0.0",2022-11-17T09:10:51Z
com.didichuxing.datachannelcapacity-plan,"remove","1.0.1-SNAPSHOT","",2022-06-08T11:38:34Z
org.springframeworkspring-web,"remove","5.0.18.RELEASE","",2022-11-19T03:45:06Z
com.didichuxing.datachannelarius-admin-rest-v2,"remove","1.0.1-SNAPSHOT","",2022-07-07T02:44:52Z
