library,type,old_version,new_version,commit_date
org.springframeworkspring-webmvc,"update","3.2.0.RELEASE","3.1.1.RELEASE",2013-12-31T05:12:46Z
org.springframeworkspring-webmvc,"update","3.0.5.RELEASE","3.2.0.RELEASE",2013-12-30T11:59:56Z
com.sun.jerseyjersey-server,"update","1.8","1.14",2013-12-31T05:12:46Z
com.sun.jerseyjersey-server,"add","","1.8",2013-12-27T11:58:56Z
org.springframeworkspring-orm,"update","3.2.0.RELEASE","3.1.1.RELEASE",2013-12-31T05:12:46Z
org.springframeworkspring-orm,"update","3.0.5.RELEASE","3.2.0.RELEASE",2013-12-30T11:59:56Z
com.sun.jerseyjersey-json,"update","1.8","1.14",2013-12-31T05:12:46Z
com.sun.jerseyjersey-json,"add","","1.8",2013-12-27T11:58:56Z
org.hibernatehibernate-core,"update","4.1.9.Final","4.1.1.Final",2013-12-31T05:12:46Z
org.hibernatehibernate-core,"update","3.6.7.Final","4.1.9.Final",2013-12-30T11:59:56Z
org.springframeworkspring-web,"update","3.2.0.RELEASE","3.1.1.RELEASE",2013-12-31T05:12:46Z
org.springframeworkspring-web,"update","3.0.5.RELEASE","3.2.0.RELEASE",2013-12-30T11:59:56Z
org.hibernatehibernate-search-analyzers,"add","","4.1.1.Final",2013-12-30T11:59:56Z
com.sun.jersey.contribsjersey-spring,"update","1.8","1.14",2013-12-31T05:12:46Z
com.sun.jersey.contribsjersey-spring,"add","","1.8",2013-12-27T11:58:56Z
org.hibernatehibernate-search-infinispan,"add","","4.1.1.Final",2013-12-30T11:59:56Z
org.hibernatehibernate-entitymanager,"update","4.1.9.Final","4.1.1.Final",2013-12-31T05:12:46Z
org.hibernatehibernate-entitymanager,"update","3.6.7.Final","4.1.9.Final",2013-12-30T11:59:56Z
org.hibernatehibernate-search,"update","4.3.0.Final","4.1.1.Final",2013-12-30T11:59:56Z
org.hibernatehibernate-search,"add","","4.3.0.Final",2013-12-26T12:54:23Z
org.codehaus.jacksonjackson-mapper-asl,"add","","1.9.10",2013-12-30T11:59:56Z
