library,type,old_version,new_version,commit_date
com.google.code.gsongson,"add","","2.3",2016-11-06T10:47:36Z
org.springframework.dataspring-data-mongodb,"add","","1.10.3.RELEASE",2017-04-30T19:33:36Z
org.springframework.amqpspring-rabbit,"add","","1.7.2.RELEASE",2017-04-29T14:49:04Z
org.mongodbmongo-java-driver,"add","","3.4.2",2017-04-30T19:33:36Z
c3p0c3p0,"remove","0.9.1.2","",2016-09-12T09:53:47Z
commons-codeccommons-codec,"add","","1.10",2016-10-04T17:51:54Z
com.google.guavaguava,"add","","19.0",2016-10-04T17:51:54Z
org.springframework.dataspring-data-redis,"add","","1.1.0.RELEASE",2016-09-12T09:36:21Z
com.squareup.okhttp3okhttp,"add","","3.4.2",2016-11-06T10:47:36Z
org.apache.httpcomponentshttpclient,"add","","4.5.2",2016-12-19T14:57:28Z
org.quartz-schedulerquartz-jobs,"add","","2.2.1",2016-12-18T12:23:50Z
commons-jxpathcommons-jxpath,"add","","1.3",2016-10-04T17:51:54Z
org.apache.poipoi,"add","","3.12",2017-06-10T03:57:34Z
com.belerwebpinyin4j,"add","","2.5.1",2016-12-18T12:23:50Z
aopallianceaopalliance,"add","","1.0",2016-12-04T16:18:33Z
org.springframeworkspring-messaging,"add","","4.1.7.RELEASE",2017-04-30T18:15:05Z
ltangredis,"add","","3.0",2016-09-12T09:36:21Z
org.apache.poipoi-ooxml,"add","","3.12",2017-06-10T03:57:34Z
org.apache.lucenelucene-highlighter,"add","","4.7.2",2017-04-29T14:49:04Z
com.alibabadruid,"add","","1.0.21",2016-09-12T09:53:47Z
com.alibabafastjson,"add","","1.2.7",2016-10-04T17:51:54Z
javax.mailmail,"add","","1.4.7",2016-11-06T10:47:36Z
org.springframeworkspring-aop,"add","","4.1.7.RELEASE",2016-12-04T16:18:33Z
commons-fileuploadcommons-fileupload,"add","","1.3.2",2016-11-06T10:47:36Z
com.qiniuqiniu-java-sdk,"add","","[7.0.0, 7.1.99]",2016-11-06T10:47:36Z
net.bull.javamelodyjavamelody-core,"add","","1.62.0",2016-12-29T13:36:38Z
com.janeluoikanalyzer,"add","","2012_u6",2016-12-24T13:39:35Z
org.springframeworkspring-websocket,"add","","4.1.7.RELEASE",2017-04-30T18:15:05Z
org.quartz-schedulerquartz,"add","","2.2.1",2016-12-18T12:23:50Z
redis.clientsjedis,"update","2.7.3","2.1.0",2016-09-12T09:36:21Z
org.aspectjaspectjweaver,"add","","1.8.6",2016-12-04T16:18:33Z
