library,type,old_version,new_version,commit_date
org.springframeworkspring-webmvc,"add","","3.0.5.RELEASE",2015-05-24T10:33:09Z
org.apache.mahoutmahout-core,"add","","0.9",2014-08-08T13:48:30Z
org.eclipse.jetty.aggregatejetty-all,"add","","8.0.0.M2",2015-05-24T10:33:09Z
org.apache.mahoutmahout-integration,"add","","0.9",2015-05-13T10:18:35Z
dom4jdom4j,"add","","1.6.1",2015-05-19T13:01:46Z
net.sf.json-libjson-lib,"add","","2.4",2015-05-24T10:33:09Z
org.springframeworkspring-test,"update","4.1.6.RELEASE","3.0.5.RELEASE",2015-05-24T10:33:09Z
org.springframeworkspring-test,"add","","4.1.6.RELEASE",2015-05-13T10:18:35Z
log4jlog4j,"add","","1.2.17",2015-05-24T10:33:09Z
org.apache.lucenelucene-queryparser,"add","","4.6.1",2015-05-13T10:18:35Z
mysqlmysql-connector-java,"add","","5.1.35",2015-05-13T10:18:35Z
junitjunit,"add","","4.12",2015-05-13T10:18:35Z
