library,type,old_version,new_version,commit_date
org.springframework.bootspring-boot-starter-data-redis,"add","","unknown",2022-07-18T16:06:07Z
com.tencentcloudapitencentcloud-sdk-java,"update","3.1.546","3.1.574",2023-01-09T16:25:46Z
com.tencentcloudapitencentcloud-sdk-java,"add","","3.1.546",2022-07-18T16:06:07Z
org.jodconverterjodconverter-spring-boot-starter,"add","","4.4.2",2022-06-13T10:16:11Z
org.springframework.bootspring-boot-starter-cache,"add","","unknown",2022-07-18T16:06:07Z
com.aliyunaliyun-java-sdk-dysmsapi,"remove","2.1.0","",2022-07-18T16:06:07Z
com.aliyunaliyun-java-sdk-core,"remove","4.5.30","",2022-07-18T16:06:07Z
org.springframeworkspring-framework-bom,"add","","5.3.39",2024-09-18T04:48:03Z
org.springframework.bootspring-boot-starter-oauth2-client,"add","","unknown",2023-01-09T16:25:46Z
commons-netcommons-net,"update","3.8.0","3.11.1",2024-12-26T08:57:15Z
org.springframework.bootspring-boot-starter-security,"add","","unknown",2023-01-09T16:25:46Z
org.apache.commonscommons-pool2,"add","","unknown",2023-04-05T14:44:36Z
org.postgresqlpostgresql,"add","","unknown",2022-07-18T16:06:07Z
org.mybatis.cachesmybatis-caffeine,"add","","1.0.0",2023-01-09T16:25:46Z
com.aliyundysmsapi20170525,"update","2.0.15","2.0.18",2023-01-09T16:25:46Z
com.aliyundysmsapi20170525,"add","","2.0.15",2022-07-18T16:06:07Z
org.flowableflowable-spring-boot-starter-process,"update","6.7.2","6.8.1",2024-06-12T01:14:25Z
org.flowableflowable-spring-boot-starter-process,"add","","6.7.2",2022-07-18T16:06:07Z
junitjunit,"add","","unknown",2023-01-09T16:25:46Z
org.springframework.bootspring-boot-starter-quartz,"add","","unknown",2023-06-08T14:32:20Z
com.mysqlmysql-connector-j,"add","","unknown",2023-01-09T16:25:46Z
org.jodconverterjodconverter-local,"add","","4.4.2",2022-06-13T10:16:11Z
org.lionsoulip2region,"update","2.6.1","2.7.0",2023-06-08T14:32:20Z
org.lionsoulip2region,"update","1.7.2","2.6.1",2022-07-18T16:06:07Z
org.jsoupjsoup,"update","1.14.2","1.18.3",2024-12-26T08:57:15Z
org.apache.commonscommons-compress,"update","1.22","1.26.2",2024-07-23T10:08:12Z
org.apache.commonscommons-compress,"add","","1.22",2023-04-05T14:44:36Z
org.springframework.bootspring-boot-starter-aop,"add","","unknown",2023-01-09T16:25:46Z
mysqlmysql-connector-java,"remove","unknown","",2023-01-09T16:25:46Z
mysqlmysql-connector-java,"update","8.0.23","unknown",2022-06-13T10:16:11Z
mysqlmysql-connector-java,"add","","8.0.23",2022-03-07T14:00:40Z
io.miniominio,"update","8.3.9","7.1.4",2023-01-09T16:25:46Z
io.miniominio,"update","8.3.0","8.3.9",2022-06-13T10:16:11Z
com.github.mageseik-analyzer,"add","","8.5.0",2024-08-13T05:55:06Z
com.github.mageseik-analyzer,"remove","8.5.0","",2024-04-25T01:39:43Z
com.github.mageseik-analyzer,"update","8.4.0","8.5.0",2023-04-05T14:44:36Z
org.lionsouljcseg-analyzer,"add","","2.6.3",2024-04-25T01:39:43Z
com.github.oshioshi-core,"update","6.1.5","6.4.2",2023-06-08T14:32:20Z
com.github.oshioshi-core,"update","6.0.0","6.1.5",2022-03-21T09:03:08Z
com.github.oshioshi-core,"add","","6.0.0",2022-03-07T14:00:40Z
org.bouncycastlebcprov-jdk15to18,"update","1.71","1.79",2024-12-26T08:57:15Z
org.bouncycastlebcprov-jdk15to18,"update","1.70","1.71",2022-07-18T16:06:07Z
org.bouncycastlebcprov-jdk15to18,"add","","1.70",2022-06-13T10:16:11Z
commons-validatorcommons-validator,"add","","1.7",2023-01-09T16:25:46Z
org.hibernate.validatorhibernate-validator,"add","","unknown",2022-03-07T14:00:40Z
org.springdocspringdoc-openapi-ui,"add","","1.6.11",2023-01-09T16:25:46Z
org.mariadb.jdbcmariadb-java-client,"add","","unknown",2024-07-23T10:08:12Z
com.damengDmJdbcDriver18,"add","","8.1.3.62",2024-01-03T09:51:00Z
org.springframework.bootspring-boot-starter-oauth2-resource-server,"add","","unknown",2023-01-09T16:25:46Z
org.liquibaseliquibase-core,"add","","unknown",2022-03-07T14:00:40Z
org.mybatis.spring.bootmybatis-spring-boot-starter,"update","2.3.0","2.3.2",2024-04-25T01:39:43Z
org.mybatis.spring.bootmybatis-spring-boot-starter,"update","2.2.2","2.3.0",2023-06-08T14:32:20Z
org.mybatis.spring.bootmybatis-spring-boot-starter,"update","2.2.0","2.2.2",2022-06-13T10:16:11Z
org.springdocspringdoc-openapi-javadoc,"add","","1.6.11",2023-01-09T16:25:46Z
com.squareup.okhttp3okhttp,"update","unknown","3.14.9",2023-01-09T16:25:46Z
com.squareup.okhttp3okhttp,"update","4.9.3","unknown",2022-07-18T16:06:07Z
com.squareup.okhttp3okhttp,"add","","4.9.3",2022-06-13T10:16:11Z
info.debattyjava-string-similarity,"add","","2.0.0",2024-01-03T09:51:00Z
com.googlecode.owasp-java-html-sanitizerowasp-java-html-sanitizer,"update","20200713.1","20211018.2",2022-03-19T13:34:40Z
${jdbc.driver.groupId}${jdbc.driver.artifactId},"remove","8.0.23","",2022-03-07T14:00:40Z
org.apache.shiroshiro-spring-boot-web-starter,"remove","1.9.1","",2023-01-09T16:25:46Z
org.apache.shiroshiro-spring-boot-web-starter,"update","1.8.0","1.9.1",2022-07-21T05:58:15Z
commons-iocommons-io,"update","2.8.0","2.18.0",2024-12-26T08:57:15Z
com.github.pagehelperpagehelper-spring-boot-starter,"update","1.4.7","2.1.0",2024-04-25T01:39:43Z
com.github.pagehelperpagehelper-spring-boot-starter,"update","1.4.6","1.4.7",2024-01-03T09:51:00Z
com.github.pagehelperpagehelper-spring-boot-starter,"update","1.4.5","1.4.6",2023-06-08T14:32:20Z
com.github.pagehelperpagehelper-spring-boot-starter,"update","1.4.2","1.4.5",2023-01-09T16:25:46Z
com.github.pagehelperpagehelper-spring-boot-starter,"update","1.4.1","1.4.2",2022-06-13T10:16:11Z
org.bouncycastlebcpkix-jdk15to18,"update","1.71","1.79",2024-12-26T08:57:15Z
org.bouncycastlebcpkix-jdk15to18,"add","","1.71",2022-07-18T16:06:07Z
ws.schildjave-all-deps,"add","","3.3.1",2022-07-18T16:06:07Z
com.auth0java-jwt,"remove","3.14.0","",2023-01-09T16:25:46Z
org.apache.pdfboxpdfbox,"add","","3.0.0-RC1",2022-06-13T10:16:11Z
com.github.ben-manes.caffeinecaffeine,"add","","unknown",2022-07-18T16:06:07Z
org.sejda.imageiowebp-imageio,"add","","0.1.6",2024-01-03T09:51:00Z
