library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"add","","unknown",2017-11-28T05:00:06Z
com.fasterxml.jackson.corejackson-databind,"add","","unknown",2018-08-03T02:13:23Z
com.fasterxml.jackson.corejackson-core,"add","","unknown",2018-08-03T02:13:23Z
org.apache.lucenelucene-facet,"add","","unknown",2017-11-28T05:00:06Z
org.springframeworkspring-aop,"add","","unknown",2017-11-28T05:00:06Z
org.jsoupjsoup,"add","","unknown",2018-03-20T06:38:52Z
org.springframeworkspring-aspects,"add","","unknown",2017-11-28T05:00:06Z
org.apache.lucenelucene-queryparser,"add","","unknown",2017-11-28T05:00:06Z
org.springframework.integrationspring-integration-mail,"remove","unknown","",2018-08-03T02:13:23Z
org.apache.lucenelucene-queries,"add","","unknown",2017-11-28T05:00:06Z
org.apache.lucenelucene-core,"add","","unknown",2017-11-28T05:00:06Z
javax.annotationjsr250-api,"add","","unknown",2018-01-08T08:26:43Z
com.github.emailtohllib,"remove","2.0.0-RELEASE","",2018-08-03T06:06:06Z
com.github.emailtohllib,"add","","2.0.0-RELEASE",2018-08-03T02:13:23Z
javax.servletjavax.servlet-api,"add","","3.1.0",2017-11-10T02:49:05Z
com.github.emailtohl.integrationintegration-common,"remove","${project.version}","",2018-08-03T02:13:23Z
org.apache.lucenelucene-analyzers-common,"add","","unknown",2017-11-28T05:00:06Z
com.fasterxml.jackson.corejackson-annotations,"add","","unknown",2018-01-02T06:14:53Z
org.apache.lucenelucene-misc,"add","","unknown",2017-11-28T05:00:06Z
