library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"update","5.5.4","5.5.5",2017-11-13T06:23:38Z
com.fasterxml.jackson.dataformatjackson-dataformat-smile,"remove","2.9.3","",2018-01-02T13:18:51Z
com.fasterxml.jackson.dataformatjackson-dataformat-smile,"add","","2.9.3",2018-01-02T06:14:53Z
com.fasterxml.jackson.corejackson-databind,"update","2.9.5","2.9.6",2018-08-03T02:13:23Z
com.fasterxml.jackson.corejackson-databind,"update","2.9.3","2.9.5",2018-06-14T07:01:17Z
com.fasterxml.jackson.corejackson-databind,"add","","2.9.3",2018-01-02T06:14:53Z
org.springframeworkspring-oxm,"update","5.0.8.RELEASE","5.1.3.RELEASE",2019-01-09T02:43:53Z
org.springframeworkspring-oxm,"update","4.3.17.RELEASE","5.0.8.RELEASE",2018-08-03T02:13:23Z
org.springframeworkspring-oxm,"update","4.3.15.RELEASE","4.3.17.RELEASE",2018-06-14T07:01:17Z
org.springframeworkspring-oxm,"update","4.3.12.RELEASE","4.3.15.RELEASE",2018-04-13T07:11:05Z
org.springframeworkspring-oxm,"update","4.3.10.RELEASE","4.3.12.RELEASE",2017-11-13T06:23:38Z
org.springframeworkspring-oxm,"update","4.3.8.RELEASE","4.3.10.RELEASE",2017-08-06T11:37:40Z
io.jsonwebtokenjjwt,"add","","0.8.0",2017-12-20T06:08:41Z
org.hibernatehibernate-entitymanager,"update","5.3.1.Final","5.3.7.Final",2019-01-09T02:43:53Z
org.hibernatehibernate-entitymanager,"update","5.1.8.Final","5.3.1.Final",2018-08-03T02:13:23Z
org.hibernatehibernate-entitymanager,"update","5.1.3.Final","5.1.8.Final",2017-08-06T11:37:40Z
org.springframework.integrationspring-integration-mail,"remove","4.3.17.RELEASE","",2018-08-03T02:13:23Z
org.springframework.integrationspring-integration-mail,"update","4.3.15.RELEASE","4.3.17.RELEASE",2018-06-14T07:01:17Z
org.springframework.integrationspring-integration-mail,"update","4.3.12.RELEASE","4.3.15.RELEASE",2018-04-13T07:11:05Z
