library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"update","5.5.2","5.5.4",2017-06-13T14:13:06Z
org.apache.lucenelucene-backward-codecs,"update","5.3.1","5.5.2",2017-02-04T07:29:27Z
org.apache.lucenelucene-backward-codecs,"add","","5.3.1",2017-02-01T13:02:03Z
org.jeecgeasypoi-base,"remove","2.3.1","",2016-12-12T05:58:26Z
org.jeecgeasypoi-base,"add","","2.3.1",2016-12-12T05:06:18Z
org.springframeworkspring-oxm,"update","4.3.7.RELEASE","4.3.8.RELEASE",2017-04-29T09:24:38Z
org.springframeworkspring-oxm,"update","4.3.6.RELEASE","4.3.7.RELEASE",2017-03-10T15:27:43Z
org.springframeworkspring-oxm,"update","4.3.5.RELEASE","4.3.6.RELEASE",2017-01-30T04:07:06Z
org.springframeworkspring-oxm,"update","4.3.4.RELEASE","4.3.5.RELEASE",2017-01-02T13:12:36Z
org.springframeworkspring-oxm,"update","4.3.2.RELEASE","4.3.4.RELEASE",2016-12-13T02:27:47Z
org.hibernatehibernate-entitymanager,"update","5.0.11.Final","5.1.3.Final",2017-01-23T02:53:04Z
org.hibernatehibernate-entitymanager,"update","5.2.2.Final","5.0.11.Final",2016-10-11T04:57:10Z
org.springframework.integrationspring-integration-mail,"update","4.3.7.RELEASE","4.3.8.RELEASE",2017-04-29T09:24:38Z
org.springframework.integrationspring-integration-mail,"update","4.3.6.RELEASE","4.3.7.RELEASE",2017-03-10T15:27:43Z
org.springframework.integrationspring-integration-mail,"update","4.3.5.RELEASE","4.3.6.RELEASE",2017-01-30T04:07:06Z
org.springframework.integrationspring-integration-mail,"update","4.3.4.RELEASE","4.3.5.RELEASE",2017-01-02T13:12:36Z
org.springframework.integrationspring-integration-mail,"update","4.3.1.RELEASE","4.3.4.RELEASE",2016-12-13T02:27:47Z
org.springframework.integrationspring-integration-mail,"add","","4.3.1.RELEASE",2016-08-28T09:25:44Z
org.postgresqlpostgresql,"update","9.4.1212.jre7","42.0.0",2017-03-10T15:27:43Z
org.postgresqlpostgresql,"update","9.4.1209.jre7","9.4.1212.jre7",2016-12-24T12:28:19Z
org.springframeworkspring-context-support,"update","4.3.7.RELEASE","4.3.8.RELEASE",2017-04-29T09:24:38Z
org.springframeworkspring-context-support,"update","4.3.6.RELEASE","4.3.7.RELEASE",2017-03-10T15:27:43Z
org.springframeworkspring-context-support,"update","4.3.5.RELEASE","4.3.6.RELEASE",2017-01-30T04:07:06Z
org.springframeworkspring-context-support,"update","4.3.4.RELEASE","4.3.5.RELEASE",2017-01-02T13:12:36Z
org.springframeworkspring-context-support,"update","4.3.2.RELEASE","4.3.4.RELEASE",2016-12-13T02:27:47Z
com.h2databaseh2,"update","1.4.194","1.4.195",2017-04-29T09:24:38Z
com.h2databaseh2,"add","","1.4.194",2017-04-15T13:05:59Z
cglibcglib,"update","3.2.4","3.2.5",2017-03-10T15:27:43Z
cglibcglib,"add","","3.2.4",2017-02-04T07:29:27Z
org.springframeworkspring-webmvc,"update","4.3.7.RELEASE","4.3.8.RELEASE",2017-04-29T09:24:38Z
org.springframeworkspring-webmvc,"update","4.3.6.RELEASE","4.3.7.RELEASE",2017-03-10T15:27:43Z
org.springframeworkspring-webmvc,"update","4.3.5.RELEASE","4.3.6.RELEASE",2017-01-30T04:07:06Z
org.springframeworkspring-webmvc,"update","4.3.4.RELEASE","4.3.5.RELEASE",2017-01-02T13:12:36Z
org.springframeworkspring-webmvc,"update","4.3.2.RELEASE","4.3.4.RELEASE",2016-12-13T02:27:47Z
org.apache.logging.log4jlog4j-api,"update","2.7","2.6.2",2017-01-08T13:28:25Z
org.apache.logging.log4jlog4j-api,"update","2.6.2","2.7",2017-01-07T10:00:44Z
org.apache.logging.log4jlog4j-api,"update","2.7","2.6.2",2016-12-13T03:09:50Z
org.apache.logging.log4jlog4j-api,"update","2.6.2","2.7",2016-12-13T02:27:47Z
org.apache.poipoi-ooxml,"add","","3.15",2016-12-12T05:58:26Z
org.apache.poipoi-ooxml,"remove","3.15","",2016-12-12T05:06:18Z
