library,type,old_version,new_version,commit_date
com.google.code.gsongson,"update","2.8.6","2.8.5",2022-03-08T14:15:42Z
org.apache.slingorg.apache.sling.testing.sling-mock-oak,"update","2.1.6","2.1.10-1.16.0",2022-02-21T08:13:20Z
org.apache.poipoi-ooxml,"remove","4.1.2","",2022-03-08T14:15:42Z
org.apache.geronimo.specsgeronimo-atinject_1.0_spec,"remove","1.0","",2022-03-08T14:15:42Z
io.wcmio.wcm.testing.aem-mock.junit4,"update","3.0.0","3.1.0",2022-02-18T08:16:08Z
org.apache.commonscommons-collections4,"add","","4.4",2022-02-22T19:49:05Z
org.projectlomboklombok,"add","","1.18.22",2022-02-12T15:52:09Z
org.apache.pdfboxpdfbox,"remove","2.0.4","",2022-03-08T14:15:42Z
org.apache.poipoi,"remove","4.1.2","",2022-03-08T14:15:42Z
org.apache.poipoi-ooxml-schemas,"remove","4.1.2","",2022-03-08T14:15:42Z
org.apache.jackrabbitoak-core,"update","1.6.1","1.6.11",2022-03-08T14:15:42Z
org.apache.jackrabbitoak-core,"update","1.22.5","1.6.1",2022-02-18T08:16:08Z
javax.annotationjavax.annotation-api,"remove","1.3.2","",2022-03-08T14:15:42Z
com.itextpdfitextpdf,"remove","5.5.10","",2022-03-08T14:15:42Z
org.apache.slingorg.apache.sling.api,"add","","2.16.2",2022-02-18T08:16:08Z
junitjunit,"update","4.13.1","4.13.2",2022-02-18T08:16:08Z
com.adobe.aemuber-jar,"update","6.5.0.0","6.5.0",2022-02-18T08:16:08Z
