library,type,old_version,new_version,commit_date
org.apache.lucenelucene-core,"update","7.5.0","7.6.0",2019-01-31T14:49:21Z
org.apache.lucenelucene-core,"update","7.4.0","7.5.0",2018-10-18T16:37:35Z
org.apache.lucenelucene-core,"update","7.3.1","7.4.0",2018-10-18T15:55:03Z
org.apache.lucenelucene-core,"update","7.0.0","7.3.1",2018-07-24T23:08:58Z
org.apache.lucenelucene-core,"update","6.5.1","7.0.0",2017-06-05T16:12:23Z
org.apache.lucenelucene-core,"update","6.4.2","6.5.1",2017-06-05T15:25:48Z
org.apache.lucenelucene-core,"update","6.4.0","6.4.2",2017-06-05T15:10:07Z
org.apache.lucenelucene-core,"update","6.0.0","6.4.0",2017-01-28T02:44:07Z
org.apache.lucenelucene-core,"update","5.4.0","6.0.0",2017-01-27T14:43:20Z
org.apache.lucenelucene-core,"update","5.3.1","5.4.0",2015-12-24T22:24:32Z
org.apache.lucenelucene-core,"update","4.10.4","5.3.1",2015-12-24T19:49:19Z
org.apache.lucenelucene-core,"update","4.5.1","4.10.4",2015-11-29T22:56:13Z
org.apache.lucenelucene-core,"update","4.2.1","4.5.1",2013-11-06T13:57:35Z
org.apache.lucenelucene-core,"update","4.0-SNAPSHOT","4.2.1",2013-03-21T12:51:48Z
org.apache.solrsolr-core,"update","7.5.0","7.6.0",2019-01-31T14:49:21Z
org.apache.solrsolr-core,"update","7.4.0","7.5.0",2018-10-18T16:37:35Z
org.apache.solrsolr-core,"update","7.3.1","7.4.0",2018-10-18T15:55:03Z
org.apache.solrsolr-core,"update","7.0.0","7.3.1",2018-07-24T23:08:58Z
org.apache.solrsolr-core,"update","6.5.1","7.0.0",2017-06-05T16:12:23Z
org.apache.solrsolr-core,"update","6.4.2","6.5.1",2017-06-05T15:25:48Z
org.apache.solrsolr-core,"update","6.4.0","6.4.2",2017-06-05T15:10:07Z
org.apache.solrsolr-core,"update","6.0.0","6.4.0",2017-01-28T02:44:07Z
org.apache.solrsolr-core,"update","5.4.0","6.0.0",2017-01-27T14:43:20Z
org.apache.solrsolr-core,"update","5.3.1","5.4.0",2015-12-24T22:24:32Z
org.apache.solrsolr-core,"update","4.10.4","5.3.1",2015-12-24T19:49:19Z
org.apache.solrsolr-core,"update","4.5.1","4.10.4",2015-11-29T22:56:13Z
org.apache.solrsolr-core,"update","4.2.1","4.5.1",2013-11-06T13:57:35Z
org.apache.solrsolr-core,"update","4.0-SNAPSHOT","4.2.1",2013-03-21T12:51:48Z
junitjunit,"remove","4.11","",2015-11-29T22:56:13Z
junitjunit,"update","4.10","4.11",2013-11-06T13:57:35Z
