library,type,old_version,new_version,commit_date
uk.co.flax.lucene-solr-intervalslucene-core,"add","","unknown",2014-04-01T15:56:10Z
${project.groupId}lucene-analyzers-common,"remove","${project.version}","",2014-04-01T15:56:10Z
${project.groupId}lucene-facet,"remove","${project.version}","",2014-04-01T15:56:10Z
org.antlrantlr-runtime,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-expressions,"add","","unknown",2014-04-01T15:56:10Z
org.ow2.asmasm-commons,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-queries,"add","","unknown",2014-04-01T15:56:10Z
org.ow2.asmasm,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-queryparser,"add","","unknown",2014-04-01T15:56:10Z
${project.groupId}lucene-core,"remove","${project.version}","",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-facet,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-analyzers-common,"add","","unknown",2014-04-01T15:56:10Z
${project.groupId}lucene-test-framework,"remove","${project.version}","",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-test-framework,"add","","unknown",2014-04-01T15:56:10Z
${project.groupId}lucene-queryparser,"remove","${project.version}","",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-codecs,"add","","unknown",2014-04-01T15:56:10Z
