library,type,old_version,new_version,commit_date
uk.co.flax.lucene-solr-intervalslucene-core,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-facet,"add","","unknown",2014-04-01T15:56:10Z
commons-loggingcommons-logging,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jetty.orbitjavax.servlet,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-continuation,"add","","unknown",2014-04-01T15:56:10Z
${project.groupId}lucene-facet,"remove","${project.version}","",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-http,"add","","unknown",2014-04-01T15:56:10Z
${project.groupId}lucene-test-framework,"remove","${project.version}","",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-test-framework,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-io,"add","","unknown",2014-04-01T15:56:10Z
org.apache.httpcomponentshttpcore,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-codecs,"add","","unknown",2014-04-01T15:56:10Z
${project.groupId}lucene-core,"remove","${project.version}","",2014-04-01T15:56:10Z
