library,type,old_version,new_version,commit_date
org.apache.hadoophadoop-yarn-api,"add","","2.2.0",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-core,"add","","${project.version}",2014-04-01T15:56:10Z
net.sourceforge.argparse4jargparse4j,"add","","0.4.3",2014-04-01T15:56:10Z
org.apache.mahoutmahout-math,"add","","0.6",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-grouping,"add","","${project.version}",2014-04-01T15:56:10Z
com.adobe.xmpxmpcore,"add","","5.1.2",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-expressions,"add","","${project.version}",2014-04-01T15:56:10Z
org.kitesdkkite-morphlines-tika-decompress,"add","","0.12.1",2014-04-01T15:56:10Z
org.codehaus.jacksonjackson-core-asl,"add","","1.9.13",2014-04-01T15:56:10Z
org.apache.poipoi-ooxml-schemas,"add","","3.10-beta2",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-benchmark,"add","","${project.version}",2014-04-01T15:56:10Z
com.carrotsearch.randomizedtestingrandomizedtesting-runner,"update","2.1.1","2.1.3",2014-05-29T09:28:59Z
com.carrotsearch.randomizedtestingrandomizedtesting-runner,"update","2.0.10","2.1.1",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-replicator,"add","","${project.version}",2014-04-01T15:56:10Z
org.apache.hadoophadoop-mapreduce-client-app,"add","","2.2.0",2014-04-01T15:56:10Z
com.sun.jerseyjersey-json,"add","","1.8",2014-04-01T15:56:10Z
com.carrotsearch.randomizedtestingjunit4-ant,"update","2.1.1","2.1.3",2014-05-29T09:28:59Z
com.carrotsearch.randomizedtestingjunit4-ant,"add","","2.1.1",2014-04-01T15:56:10Z
org.carrot2morfologik-stemming,"add","","1.7.1",2014-04-01T15:56:10Z
org.apache.hadoophadoop-yarn-server-tests,"add","","2.2.0",2014-04-01T15:56:10Z
com.spatial4jspatial4j,"update","0.3","0.4.1",2014-04-01T15:56:10Z
cglibcglib-nodep,"add","","2.2",2014-04-01T15:56:10Z
org.kitesdkkite-morphlines-avro,"add","","0.12.1",2014-04-01T15:56:10Z
com.carrotsearchhppc,"add","","0.5.2",2014-04-01T15:56:10Z
org.ow2.asmasm-commons,"add","","4.1",2014-04-01T15:56:10Z
org.carrot2.attributesattributes-binder,"add","","1.2.1",2014-04-01T15:56:10Z
org.apache.commonscommons-compress,"update","1.4.1","1.7",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalssolr-clustering,"add","","${project.version}",2014-04-01T15:56:10Z
org.apache.httpcomponentshttpcore,"add","","4.3",2014-04-01T15:56:10Z
asmasm,"add","","3.1",2014-04-01T15:56:10Z
com.googlecode.mp4parserisoparser,"add","","1.0-RC-1",2014-04-01T15:56:10Z
jlinejline,"remove","0.9.1","",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-continuation,"add","","8.1.10.v20130312",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalssolr-solrj,"add","","${project.version}",2014-04-01T15:56:10Z
org.apache.hadoophadoop-common,"update","2.0.5-alpha","2.2.0",2014-04-01T15:56:10Z
org.apache.mahoutmahout-collections,"add","","1.0",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-spatial,"add","","${project.version}",2014-04-01T15:56:10Z
org.xerial.snappysnappy-java,"add","","1.0.4.1",2014-04-01T15:56:10Z
