library,type,old_version,new_version,commit_date
uk.co.flax.lucene-solr-intervalslucene-core,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-grouping,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jetty.orbitjavax.servlet,"add","","unknown",2014-04-01T15:56:10Z
com.adobe.xmpxmpcore,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-expressions,"add","","unknown",2014-04-01T15:56:10Z
${project.groupId}solr-test-framework,"remove","${project.version}","",2014-04-01T15:56:10Z
org.apache.poipoi-ooxml-schemas,"add","","unknown",2014-04-01T15:56:10Z
org.restlet.jeeorg.restlet.ext.servlet,"add","","unknown",2014-04-01T15:56:10Z
com.spatial4jspatial4j,"add","","unknown",2014-04-01T15:56:10Z
com.carrotsearchhppc,"add","","unknown",2014-04-01T15:56:10Z
org.ow2.asmasm-commons,"add","","unknown",2014-04-01T15:56:10Z
org.apache.commonscommons-compress,"add","","unknown",2014-04-01T15:56:10Z
org.apache.httpcomponentshttpcore,"add","","unknown",2014-04-01T15:56:10Z
asmasm,"add","","unknown",2014-04-01T15:56:10Z
com.googlecode.mp4parserisoparser,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-continuation,"add","","unknown",2014-04-01T15:56:10Z
${project.groupId}solr-core,"remove","${project.version}","",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalssolr-solrj,"add","","unknown",2014-04-01T15:56:10Z
org.apache.hadoophadoop-common,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-spatial,"add","","unknown",2014-04-01T15:56:10Z
org.tukaanixz,"add","","unknown",2014-04-01T15:56:10Z
com.google.guavaguava,"add","","unknown",2014-04-01T15:56:10Z
org.slf4jslf4j-api,"add","","unknown",2014-04-01T15:56:10Z
org.restlet.jeeorg.restlet,"add","","unknown",2014-04-01T15:56:10Z
log4jlog4j,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-queries,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-queryparser,"add","","unknown",2014-04-01T15:56:10Z
org.apache.poipoi,"add","","unknown",2014-04-01T15:56:10Z
de.l3s.boilerpipeboilerpipe,"add","","unknown",2014-04-01T15:56:10Z
org.apache.hadoophadoop-annotations,"add","","unknown",2014-04-01T15:56:10Z
commons-iocommons-io,"add","","unknown",2014-04-01T15:56:10Z
com.sun.mailjavax.mail,"add","","1.5.1",2014-08-21T15:09:20Z
uk.co.flax.lucene-solr-intervalslucene-misc,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-analyzers-common,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-xml,"add","","unknown",2014-04-01T15:56:10Z
com.drewnoakesmetadata-extractor,"add","","unknown",2014-04-01T15:56:10Z
org.apache.tikatika-core,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-util,"add","","unknown",2014-04-01T15:56:10Z
commons-configurationcommons-configuration,"add","","unknown",2014-04-01T15:56:10Z
org.gagravarrvorbis-java-core,"add","","unknown",2014-04-01T15:56:10Z
org.apache.xmlbeansxmlbeans,"add","","unknown",2014-04-01T15:56:10Z
org.slf4jslf4j-log4j12,"add","","unknown",2014-04-01T15:56:10Z
commons-fileuploadcommons-fileupload,"add","","unknown",2014-04-01T15:56:10Z
org.apache.jamesapache-mime4j-core,"add","","unknown",2014-04-01T15:56:10Z
romerome,"add","","unknown",2014-04-01T15:56:10Z
