library,type,old_version,new_version,commit_date
uk.co.flax.lucene-solr-intervalslucene-memory,"update","${project.version}","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-highlighter,"update","${project.version}","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-core,"update","${project.version}","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-grouping,"update","${project.version}","unknown",2014-04-01T15:56:10Z
org.eclipse.jetty.orbitjavax.servlet,"add","","unknown",2014-04-01T15:56:10Z
org.slf4jslf4j-api,"add","","unknown",2014-04-01T15:56:10Z
org.slf4jjul-to-slf4j,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-expressions,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-join,"update","${project.version}","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-join,"add","","${project.version}",2013-09-25T15:49:55Z
org.restlet.jeeorg.restlet,"update","${restlet.version}","unknown",2014-04-01T15:56:10Z
log4jlog4j,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-queries,"update","${project.version}","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-queryparser,"update","${project.version}","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-suggest,"update","${project.version}","unknown",2014-04-01T15:56:10Z
javax.servletservlet-api,"remove","unknown","",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-misc,"update","${project.version}","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-analyzers-common,"update","${project.version}","unknown",2014-04-01T15:56:10Z
dom4jdom4j,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-xml,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-analyzers-phonetic,"update","${project.version}","unknown",2014-04-01T15:56:10Z
org.slf4jjcl-over-slf4j,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-http,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-jmx,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-io,"add","","unknown",2014-04-01T15:56:10Z
org.noggitnoggit,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-deploy,"add","","unknown",2014-04-01T15:56:10Z
commons-configurationcommons-configuration,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-codecs,"update","${project.version}","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-analyzers-morfologik,"remove","${project.version}","",2014-04-01T15:56:10Z
com.google.protobufprotobuf-java,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-security,"add","","unknown",2014-04-01T15:56:10Z
org.restlet.jeeorg.restlet.ext.servlet,"update","${restlet.version}","unknown",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-servlet,"add","","unknown",2014-04-01T15:56:10Z
org.slf4jslf4j-log4j12,"add","","unknown",2014-04-01T15:56:10Z
com.spatial4jspatial4j,"add","","unknown",2014-04-01T15:56:10Z
org.antlrantlr-runtime,"add","","unknown",2014-04-01T15:56:10Z
com.carrotsearchhppc,"add","","unknown",2014-04-01T15:56:10Z
org.ow2.asmasm-commons,"add","","unknown",2014-04-01T15:56:10Z
org.ow2.asmasm,"add","","unknown",2014-04-01T15:56:10Z
org.apache.httpcomponentshttpcore,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-analyzers-kuromoji,"update","${project.version}","unknown",2014-04-01T15:56:10Z
org.apache.zookeeperzookeeper,"add","","unknown",2014-04-01T15:56:10Z
org.eclipse.jettyjetty-continuation,"add","","unknown",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalssolr-solrj,"add","","unknown",2014-04-01T15:56:10Z
${project.groupId}solr-solrj,"remove","${project.version}","",2014-04-01T15:56:10Z
uk.co.flax.lucene-solr-intervalslucene-spatial,"update","${project.version}","unknown",2014-04-01T15:56:10Z
