library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"add","","10.0.0",2024-11-29T13:43:41Z
org.apache.lucenelucene-analysis-common,"add","","10.0.0",2024-11-29T13:43:41Z
org.apache.lucenelucene-classification,"add","","10.0.0",2024-11-29T13:43:41Z
org.apache.commonscommons-lang3,"add","","3.12.0",2024-11-16T21:17:14Z
org.apache.lucenelucene-queryparser,"update","8.11.1","10.0.0",2024-11-29T13:43:41Z
org.apache.lucenelucene-spatial3d,"add","","10.0.0",2024-11-29T13:43:41Z
org.apache.lucenelucene-sandbox,"add","","10.0.0",2024-11-29T13:43:41Z
org.apache.lucenelucene-core,"update","8.11.1","10.0.0",2024-11-29T13:43:41Z
org.apache.lucenelucene-suggest,"add","","10.0.0",2024-11-29T13:43:41Z
org.apache.lucenelucene-codecs,"update","8.11.1","10.0.0",2024-11-29T13:43:41Z
org.apache.lucenelucene-codecs,"add","","8.11.1",2024-11-16T21:17:14Z
dev.langchain4jlangchain4j,"add","","0.36.2",2024-11-29T13:43:41Z
ch.qos.logbacklogback-classic,"add","","1.4.9",2024-11-29T13:43:41Z
org.apache.lucenelucene-spatial-extras,"add","","10.0.0",2024-11-29T13:43:41Z
org.apache.lucenelucene-analyzers-common,"remove","8.11.1","",2024-11-29T13:43:41Z
org.apache.lucenelucene-misc,"add","","10.0.0",2024-11-29T13:43:41Z
dev.langchain4jlangchain4j-embeddings-all-minilm-l6-v2,"add","","0.36.2",2024-11-29T13:43:41Z
