library,type,old_version,new_version,commit_date
io.quarkusquarkus-resteasy-jsonb,"add","","unknown",2020-12-01T20:46:28Z
io.quarkusquarkus-resteasy,"remove","unknown","",2020-12-13T14:17:46Z
io.quarkusquarkus-resteasy,"add","","unknown",2020-12-01T20:46:28Z
io.quarkusquarkus-arc,"add","","unknown",2020-12-01T20:46:28Z
io.quarkusquarkus-jdbc-postgresql,"add","","unknown",2020-12-01T21:34:09Z
org.hibernate.searchhibernate-search-backend-elasticsearch,"remove","6.0.0.CR2","",2020-12-01T20:46:28Z
${quarkus.platform.group-id}${quarkus.platform.artifact-id},"update","1.10.3.Final","1.11.1.Final",2021-02-06T14:12:32Z
${quarkus.platform.group-id}${quarkus.platform.artifact-id},"update","1.9.2.Final","1.10.3.Final",2020-12-13T11:15:56Z
${quarkus.platform.group-id}${quarkus.platform.artifact-id},"add","","1.9.2.Final",2020-12-01T20:46:28Z
io.quarkusquarkus-hibernate-orm-panache,"remove","unknown","",2020-12-13T14:17:46Z
io.quarkusquarkus-hibernate-orm-panache,"add","","unknown",2020-12-01T20:46:28Z
io.quarkusquarkus-hibernate-search-elasticsearch,"remove","unknown","",2020-12-13T14:17:46Z
io.quarkusquarkus-hibernate-search-elasticsearch,"add","","unknown",2020-12-01T20:46:28Z
org.springframework.bootspring-boot-starter-data-jpa,"remove","unknown","",2020-12-01T20:46:28Z
io.rest-assuredrest-assured,"add","","unknown",2020-12-01T20:46:28Z
org.postgresqlpostgresql,"remove","42.2.18","",2020-12-01T20:46:28Z
io.quarkusquarkus-hibernate-search-orm-elasticsearch,"add","","unknown",2020-12-13T14:17:46Z
io.quarkusquarkus-junit5,"add","","unknown",2020-12-01T20:46:28Z
org.springframework.bootspring-boot-starter-test,"remove","unknown","",2020-12-01T20:46:28Z
org.hibernate.searchhibernate-search-mapper-orm,"remove","6.0.0.CR2","",2020-12-01T20:46:28Z
org.springframework.bootspring-boot-starter-web,"remove","unknown","",2020-12-01T20:46:28Z
