library,type,old_version,new_version,commit_date
org.springframeworkspring-core,"remove","4.3.2.RELEASE","",2018-05-23T06:30:40Z
javax.activationactivation,"remove","1.1.1","",2018-05-23T06:30:40Z
commons-collectionscommons-collections,"remove","1.0","",2018-05-23T06:30:40Z
c3p0c3p0,"remove","0.9.1.2","",2017-01-08T09:30:30Z
commons-codeccommons-codec,"update","1.6","1.9",2018-05-23T06:30:40Z
org.slf4jslf4j-api,"remove","1.6.6","",2018-05-23T06:30:40Z
org.apache.shiroshiro-spring,"update","1.3.2","1.5.1",2020-03-15T03:05:38Z
org.apache.shiroshiro-spring,"add","","1.3.2",2018-05-23T06:30:40Z
org.projectlomboklombok,"add","","1.16.16",2018-05-23T06:30:40Z
log4jlog4j,"remove","1.2.17","",2018-05-23T06:30:40Z
com.baiduueditor,"add","","1.1.2",2018-05-23T06:30:40Z
org.codehaus.jacksonjackson-core-asl,"remove","1.9.12","",2016-10-16T13:12:12Z
net.fckeditorjava-core,"remove","2.6","",2016-10-16T13:12:12Z
org.jsonjson,"update","20131018","20140107",2018-05-23T06:30:40Z
commons-iocommons-io,"add","","2.4",2018-05-23T06:30:40Z
dom4jdom4j,"remove","1.6.1","",2018-05-23T06:30:40Z
org.springframeworkspring-context-support,"remove","4.3.2.RELEASE","",2018-05-23T06:30:40Z
freemarkerfreemarker,"remove","2.3.9","",2016-10-16T13:12:12Z
cglibcglib,"remove","2.2.2","",2016-10-16T13:12:12Z
oscacheoscache,"remove","2.4.1","",2018-05-23T06:30:40Z
junitjunit,"update","4.12","4.13.1",2020-10-12T23:34:39Z
org.springframeworkspring-tx,"remove","4.3.2.RELEASE","",2018-05-23T06:30:40Z
com.google.code.maven-play-plugin.spymemcached,"remove","2.4.2","",2016-10-16T13:12:12Z
com.octo.captchajcaptcha-my,"remove","1.0","",2016-10-16T13:12:12Z
org.mybatismybatis-spring,"update","1.2.2","1.3.0",2018-05-23T06:30:40Z
org.apache.lucenelucene-highlighter,"add","","5.3.1",2016-10-16T13:12:12Z
org.apache.lucenelucene-analyzers-smartcn,"add","","5.3.1",2016-10-16T13:12:12Z
com.alibabadruid,"add","","1.0.16",2017-01-08T09:30:30Z
org.apache.shiroshiro-core,"update","1.3.2","1.5.1",2020-03-15T03:05:38Z
org.apache.shiroshiro-core,"add","","1.3.2",2018-05-23T06:30:40Z
commons-fileuploadcommons-fileupload,"update","1.3.1","1.3.3",2019-01-04T05:56:37Z
org.apache.lucenelucene-queryparser,"add","","5.3.1",2016-10-16T13:12:12Z
mysqlmysql-connector-java,"update","5.1.38","8.0.16",2020-07-01T19:50:09Z
mysqlmysql-connector-java,"update","5.1.8","5.1.38",2018-05-23T06:30:40Z
memcached-utilmemcached,"remove","1.1","",2016-10-16T13:12:12Z
org.apache.lucenelucene-core,"remove","5.3.1","",2018-05-23T06:30:40Z
org.apache.lucenelucene-core,"add","","5.3.1",2016-10-16T13:12:12Z
org.springframeworkspring-instrument-tomcat,"remove","4.3.2.RELEASE","",2018-05-23T06:30:40Z
org.mybatismybatis,"update","3.2.7","3.4.1",2018-05-23T06:30:40Z
org.springframeworkspring-web,"remove","4.3.2.RELEASE","",2018-05-23T06:30:40Z
org.apache.lucenelucene-analyzers-common,"remove","5.3.1","",2018-05-23T06:30:40Z
org.apache.lucenelucene-analyzers-common,"add","","5.3.1",2016-10-16T13:12:12Z
org.springframeworkspring-instrument,"remove","4.3.2.RELEASE","",2018-05-23T06:30:40Z
com.sun.jerseyjersey-client,"remove","1.18.1","",2016-10-16T13:12:12Z
com.dangamemcached,"remove","2.0.1","",2016-10-16T13:12:12Z
org.codehaus.jacksonjackson-mapper-asl,"remove","1.9.12","",2016-10-16T13:12:12Z
