library,type,old_version,new_version,commit_date
com.openhtmltopdfopenhtmltopdf-pdfbox,"update","0.0.1-RC8","1.0.10",2022-08-24T15:05:32Z
com.openhtmltopdfopenhtmltopdf-pdfbox,"update","1.0.10","0.0.1-RC8",2022-08-24T14:49:13Z
com.openhtmltopdfopenhtmltopdf-pdfbox,"update","0.0.1-RC8","1.0.10",2022-08-24T14:38:51Z
com.openhtmltopdfopenhtmltopdf-pdfbox,"add","","0.0.1-RC8",2017-01-27T10:22:28Z
com.openhtmltopdfopenhtmltopdf-core,"update","0.0.1-RC8","1.0.10",2022-08-24T15:05:32Z
com.openhtmltopdfopenhtmltopdf-core,"update","1.0.10","0.0.1-RC8",2022-08-24T14:49:13Z
com.openhtmltopdfopenhtmltopdf-core,"update","0.0.1-RC8","1.0.10",2022-08-24T14:38:51Z
com.openhtmltopdfopenhtmltopdf-core,"add","","0.0.1-RC8",2017-01-27T10:22:28Z
org.sanskritlibrarysl,"add","","0.1",2016-04-01T14:16:13Z
org.sanskritlibrarysl,"remove","0.1","",2016-04-01T14:00:39Z
