library,type,old_version,new_version,commit_date
org.apache.solrsolr,"remove","4.3.0","",2015-12-14T15:22:23Z
org.apache.solrsolr,"update","4.1.0","4.3.0",2013-05-30T22:22:42Z
org.apache.solrsolr,"add","","4.1.0",2013-01-30T14:07:19Z
org.apache.solrsolr,"remove","4.1.0","",2013-01-29T17:44:00Z
org.apache.solrsolr,"add","","4.1.0",2013-01-25T20:01:50Z
org.apache.solrsolr-solrj,"update","6.0.0","6.2.0",2016-09-14T14:17:14Z
org.apache.solrsolr-solrj,"update","6.0.0-SNAPSHOT","6.0.0",2016-04-11T16:46:50Z
org.apache.solrsolr-solrj,"update","5.5.0","6.0.0-SNAPSHOT",2016-04-07T20:51:26Z
org.apache.solrsolr-solrj,"update","5.3.1","5.5.0",2016-04-06T20:11:24Z
org.apache.solrsolr-solrj,"update","4.3.0","5.3.1",2015-12-14T15:22:23Z
org.apache.solrsolr-solrj,"update","4.1.0","4.3.0",2013-05-30T22:22:42Z
org.apache.solrsolr-solrj,"add","","4.1.0",2013-01-30T14:07:19Z
org.apache.solrsolr-solrj,"remove","4.1.0","",2013-01-29T17:44:00Z
org.apache.solrsolr-solrj,"add","","4.1.0",2013-01-25T20:01:50Z
org.apache.lucenelucene-core,"remove","4.0.0","",2013-01-30T14:07:19Z
org.apache.lucenelucene-core,"add","","4.0.0",2013-01-29T17:44:00Z
org.apache.lucenelucene-core,"remove","3.6.1","",2013-01-25T20:01:50Z
org.apache.lucenelucene-core,"update","3.5.0","3.6.1",2012-12-11T10:34:36Z
org.apache.lucenelucene-core,"update","3.6.0","3.5.0",2012-10-30T14:17:33Z
org.slf4jslf4j-log4j12,"update","1.7.13","1.7.7",2016-09-14T14:17:14Z
org.slf4jslf4j-log4j12,"update","1.7.12","1.7.13",2016-04-07T20:51:26Z
org.slf4jslf4j-log4j12,"add","","1.7.12",2015-12-14T15:22:23Z
org.apache.solrsolr-core,"update","6.0.0","6.2.0",2016-09-14T14:17:14Z
org.apache.solrsolr-core,"update","6.0.0-SNAPSHOT","6.0.0",2016-04-11T16:46:50Z
org.apache.solrsolr-core,"update","5.5.0","6.0.0-SNAPSHOT",2016-04-07T20:51:26Z
org.apache.solrsolr-core,"update","5.3.1","5.5.0",2016-04-06T20:11:24Z
org.apache.solrsolr-core,"update","4.3.0","5.3.1",2015-12-14T15:22:23Z
org.apache.solrsolr-core,"update","4.1.0","4.3.0",2013-05-30T22:22:42Z
org.apache.solrsolr-core,"update","4.0.0","4.1.0",2013-01-30T14:07:19Z
org.apache.solrsolr-core,"update","4.1.0","4.0.0",2013-01-29T17:44:00Z
org.apache.solrsolr-core,"update","3.6.1","4.1.0",2013-01-25T20:01:50Z
org.apache.solrsolr-core,"update","3.5.0","3.6.1",2012-12-11T10:34:36Z
org.apache.solrsolr-core,"update","3.6.0","3.5.0",2012-10-30T14:17:33Z
org.slf4jslf4j-api,"update","1.7.13","1.7.7",2016-09-14T14:17:14Z
org.slf4jslf4j-api,"update","1.7.12","1.7.13",2016-04-07T20:51:26Z
org.slf4jslf4j-api,"add","","1.7.12",2015-12-14T15:22:23Z
org.apache.solrsolr-test-framework,"update","6.0.0","6.2.0",2016-09-14T14:17:14Z
org.apache.solrsolr-test-framework,"update","6.0.0-SNAPSHOT","6.0.0",2016-04-11T16:46:50Z
org.apache.solrsolr-test-framework,"update","5.5.0","6.0.0-SNAPSHOT",2016-04-07T20:51:26Z
org.apache.solrsolr-test-framework,"update","5.3.1","5.5.0",2016-04-06T20:11:24Z
org.apache.solrsolr-test-framework,"add","","5.3.1",2015-12-14T15:22:23Z
org.slf4jjul-to-slf4j,"update","1.7.13","1.7.7",2016-09-14T14:17:14Z
org.slf4jjul-to-slf4j,"update","1.7.12","1.7.13",2016-04-07T20:51:26Z
org.slf4jjul-to-slf4j,"add","","1.7.12",2015-12-14T15:22:23Z
org.slf4jjcl-over-slf4j,"update","1.7.13","1.7.7",2016-09-14T14:17:14Z
org.slf4jjcl-over-slf4j,"update","1.7.12","1.7.13",2016-04-07T20:51:26Z
org.slf4jjcl-over-slf4j,"add","","1.7.12",2015-12-14T15:22:23Z
junitjunit,"update","4.10","4.12",2016-04-07T20:51:26Z
org.apache.solrsolr-common,"remove","1.3.0","",2013-01-30T14:07:19Z
org.apache.solrsolr-common,"add","","1.3.0",2013-01-29T17:44:00Z
org.apache.solrsolr-common,"remove","1.3.0","",2013-01-25T20:01:50Z
org.apache.lucenelucene-test-framework,"update","6.0.0","6.2.0",2016-09-14T14:17:14Z
org.apache.lucenelucene-test-framework,"update","6.0.0-SNAPSHOT","6.0.0",2016-04-11T16:46:50Z
org.apache.lucenelucene-test-framework,"update","5.5.0","6.0.0-SNAPSHOT",2016-04-07T20:51:26Z
org.apache.lucenelucene-test-framework,"update","5.3.1","5.5.0",2016-04-06T20:11:24Z
org.apache.lucenelucene-test-framework,"add","","5.3.1",2015-12-14T15:22:23Z
