library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"update","5.5.4","5.5.5",2017-11-07T14:20:31Z
org.apache.lucenelucene-backward-codecs,"add","","5.5.4",2017-02-16T18:36:47Z
org.apache.lucenelucene-queries,"update","5.5.4","5.5.5",2017-11-07T14:20:31Z
org.apache.lucenelucene-queries,"add","","5.5.4",2017-02-16T18:36:47Z
org.apache.lucenelucene-grouping,"update","5.5.4","5.5.5",2017-11-07T14:20:31Z
org.apache.lucenelucene-grouping,"add","","5.5.4",2017-02-16T18:36:47Z
org.apache.lucenelucene-core,"update","5.5.4","5.5.5",2017-11-07T14:20:31Z
org.apache.lucenelucene-core,"add","","5.5.4",2017-02-16T18:36:47Z
org.wildfly.corewildfly-core-feature-pack,"remove","3.0.8.Final","",2018-01-16T14:04:36Z
org.wildfly.corewildfly-core-feature-pack,"add","","3.0.8.Final",2018-01-09T16:19:55Z
org.hibernatelucene-jbossmodules,"remove","${project.version}","",2018-01-16T15:40:33Z
org.hibernatelucene-jbossmodules,"add","","${project.version}",2017-11-07T14:27:12Z
org.apache.lucenelucene-highlighter,"update","5.5.4","5.5.5",2017-11-07T14:20:31Z
org.apache.lucenelucene-highlighter,"add","","5.5.4",2017-02-16T18:36:47Z
org.apache.lucenelucene-facet,"update","5.5.4","5.5.5",2017-11-07T14:20:31Z
org.apache.lucenelucene-facet,"add","","5.5.4",2017-02-16T18:36:47Z
org.apache.lucenelucene-analyzers-common,"update","5.5.4","5.5.5",2017-11-07T14:20:31Z
org.apache.lucenelucene-analyzers-common,"add","","5.5.4",2017-02-16T18:36:47Z
org.hibernatelucene-modules,"remove","${project.version}","",2017-11-07T14:27:12Z
org.apache.lucenelucene-misc,"update","5.5.4","5.5.5",2017-11-07T14:20:31Z
org.apache.lucenelucene-misc,"add","","5.5.4",2017-02-16T18:36:47Z
org.apache.lucenelucene-queryparser,"update","5.5.4","5.5.5",2017-11-07T14:20:31Z
org.apache.lucenelucene-queryparser,"add","","5.5.4",2017-02-16T18:36:47Z
