library,type,old_version,new_version,commit_date
edu.jhu.hltconcrete-services,"update","4.14.1","4.14.2",2017-11-07T16:50:14Z
edu.jhu.hltconcrete-services,"update","4.14.1-SNAPSHOT","4.14.1",2017-11-01T02:08:02Z
edu.jhu.hltconcrete-services,"update","4.12.0","4.14.1-SNAPSHOT",2017-08-30T20:21:27Z
edu.jhu.hltconcrete-services,"add","","4.12.0",2017-01-16T20:58:52Z
edu.jhu.hltconcrete-lucene,"update","4.14.1","4.14.2",2017-11-07T16:50:14Z
edu.jhu.hltconcrete-lucene,"update","4.14.1-SNAPSHOT","4.14.1",2017-11-01T02:08:02Z
edu.jhu.hltconcrete-lucene,"update","4.12.0","4.14.1-SNAPSHOT",2017-08-30T20:21:27Z
edu.jhu.hltconcrete-lucene,"update","4.11.2","4.12.0",2017-01-16T20:58:52Z
edu.jhu.hltconcrete-lucene,"update","4.10.5","4.11.2",2017-01-04T03:02:31Z
edu.jhu.hltconcrete-lucene,"update","4.10.2","4.10.5",2016-10-14T06:45:17Z
edu.jhu.hltconcrete-lucene,"add","","4.10.2",2016-08-26T23:05:09Z
com.google.guavaguava,"remove","19.0","",2017-01-04T03:02:31Z
com.google.guavaguava,"add","","19.0",2016-08-26T23:05:09Z
edu.jhu.hltconcrete-zip,"add","","4.14.2",2017-11-07T18:40:28Z
edu.jhu.hltconcrete-util,"remove","4.10.0","",2016-08-26T23:05:09Z
edu.jhu.hlt.cadetcadet-tools,"remove","2.0.0-SNAPSHOT","",2016-10-14T06:45:17Z
edu.jhu.hlt.cadetcadet-tools,"add","","2.0.0-SNAPSHOT",2016-08-26T23:05:09Z
org.apache.lucenelucene-queryparser,"remove","5.5.0","",2016-08-26T23:05:09Z
org.apache.lucenelucene-queryparser,"add","","5.5.0",2016-08-01T19:03:18Z
edu.jhu.hltconcrete-services-java,"remove","4.11.0.2","",2017-01-16T20:58:52Z
edu.jhu.hltconcrete-services-java,"update","4.10.7.1","4.11.0.2",2017-01-03T15:13:44Z
edu.jhu.hltconcrete-services-java,"add","","4.10.7.1",2016-10-14T06:45:17Z
org.apache.lucenelucene-core,"remove","5.5.0","",2016-08-26T23:05:09Z
org.apache.lucenelucene-core,"add","","5.5.0",2016-08-01T19:03:18Z
ch.qos.logbacklogback-classic,"remove","1.1.6","",2016-08-26T23:05:09Z
org.apache.lucenelucene-analyzers-common,"remove","5.5.0","",2016-08-26T23:05:09Z
org.apache.lucenelucene-analyzers-common,"add","","5.5.0",2016-08-01T19:03:18Z
org.apache.logging.log4jlog4j-slf4j-impl,"add","","2.7",2017-01-04T03:02:31Z
org.apache.logging.log4jlog4j-core,"add","","2.7",2017-01-04T03:02:31Z
org.mockitomockito-core,"add","","1.10.19",2017-05-02T14:39:11Z
junitjunit,"update","unknown","4.12",2017-01-16T20:58:52Z
edu.jhu.hltconcrete-services-core,"remove","4.10.6","",2016-10-14T06:45:17Z
edu.jhu.hltconcrete-services-core,"update","4.10.5","4.10.6",2016-08-09T17:10:25Z
