library,type,old_version,new_version,commit_date
org.apache.logging.log4jlog4j-api,"update","2.17.2","2.24.2",2024-12-08T03:11:54Z
org.apache.logging.log4jlog4j-api,"update","2.17.1","2.17.2",2024-09-21T08:14:37Z
org.apache.logging.log4jlog4j-api,"update","2.17.0","2.17.1",2022-01-10T12:54:26Z
org.apache.logging.log4jlog4j-api,"update","2.13.3","2.17.0",2021-12-19T15:38:00Z
org.apache.logging.log4jlog4j-api,"update","2.17.0","2.13.3",2021-12-19T15:36:12Z
org.apache.logging.log4jlog4j-api,"update","2.16.0","2.17.0",2021-12-19T15:28:37Z
org.apache.logging.log4jlog4j-api,"update","2.13.3","2.16.0",2021-12-17T13:40:59Z
org.apache.logging.log4jlog4j-api,"update","2.12.0","2.13.3",2020-07-01T17:56:37Z
org.apache.logging.log4jlog4j-api,"update","2.11.1","2.12.0",2019-07-30T17:31:07Z
org.apache.logging.log4jlog4j-api,"update","2.6.2","2.11.1",2018-10-27T06:57:54Z
org.apache.logging.log4jlog4j-api,"add","","2.6.2",2016-07-29T16:24:56Z
org.apache.logging.log4jlog4j-api,"remove","2.2","",2016-05-17T22:46:53Z
eu.medsea.mimeutilmime-util,"remove","2.1.3","",2016-05-11T15:31:32Z
javax.servlet.jspjavax.servlet.jsp-api,"update","2.3.1","2.3.3",2019-07-30T17:31:07Z
commons-loggingcommons-logging,"add","","1.2",2016-09-04T07:37:19Z
org.slf4jslf4j-api,"update","1.7.32","1.7.36",2024-09-21T08:14:37Z
org.slf4jslf4j-api,"update","1.7.30","1.7.32",2021-12-19T15:38:00Z
org.slf4jslf4j-api,"update","1.7.32","1.7.30",2021-12-19T15:36:12Z
org.slf4jslf4j-api,"update","1.7.30","1.7.32",2021-12-17T13:40:59Z
org.slf4jslf4j-api,"update","1.7.25","1.7.30",2021-06-05T01:01:38Z
org.slf4jslf4j-api,"update","1.7.26","1.7.25",2019-07-31T16:55:16Z
org.slf4jslf4j-api,"update","1.7.25","1.7.26",2019-07-30T17:31:07Z
org.slf4jslf4j-api,"update","1.7.21","1.7.25",2018-10-27T06:57:54Z
org.slf4jslf4j-api,"add","","1.7.21",2016-07-29T16:24:56Z
org.slf4jslf4j-api,"remove","1.7.7","",2016-05-17T22:46:53Z
org.apache.commonscommons-dbcp2,"update","2.1.1","2.6.0",2019-07-30T17:31:07Z
org.apache.commonscommons-dbcp2,"add","","2.1.1",2016-09-04T06:40:08Z
commons-fileuploadcommons-fileupload,"remove","1.3.2","",2016-10-20T17:20:45Z
commons-fileuploadcommons-fileupload,"update","1.3.1","1.3.2",2016-06-25T03:43:16Z
com.mchangec3p0,"remove","0.9.5.1","",2016-05-05T10:52:47Z
commons-iocommons-io,"remove","2.2","",2016-10-20T17:20:45Z
commons-iocommons-io,"add","","2.2",2016-09-04T07:37:19Z
commons-iocommons-io,"remove","2.2","",2016-09-04T06:40:08Z
commons-iocommons-io,"add","","2.2",2016-07-29T16:24:56Z
commons-iocommons-io,"remove","2.2","",2016-05-17T22:46:53Z
org.apache.commonscommons-pool2,"update","2.6.2","2.6.1",2019-07-31T16:55:16Z
org.apache.commonscommons-pool2,"update","2.4.2","2.6.2",2019-07-30T17:31:07Z
org.apache.commonscommons-pool2,"add","","2.4.2",2016-09-04T07:37:19Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.17.2","2.24.2",2024-12-08T03:11:54Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.17.1","2.17.2",2024-09-21T08:14:37Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.17.0","2.17.1",2022-01-10T12:54:26Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.13.3","2.17.0",2021-12-19T15:38:00Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.17.0","2.13.3",2021-12-19T15:36:12Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.16.0","2.17.0",2021-12-19T15:28:37Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.13.3","2.16.0",2021-12-17T13:40:59Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.12.0","2.13.3",2020-07-01T17:56:37Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.11.1","2.12.0",2019-07-30T17:31:07Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.6.2","2.11.1",2018-10-27T06:57:54Z
org.apache.logging.log4jlog4j-slf4j-impl,"update","2.2","2.6.2",2016-07-29T16:24:56Z
org.apache.logging.log4jlog4j-core,"update","2.17.2","2.24.2",2024-12-08T03:11:54Z
org.apache.logging.log4jlog4j-core,"update","2.17.1","2.17.2",2024-09-21T08:14:37Z
