library,type,old_version,new_version,commit_date
org.apache.lucenelucene-analysis-common,"add","","9.12.0",2024-11-09T03:19:29Z
org.apache.lucenelucene-sandbox,"update","7.7.3","9.12.0",2024-11-09T03:19:29Z
org.apache.lucenelucene-sandbox,"add","","7.7.3",2022-06-22T16:40:29Z
org.apache.lucenelucene-queries,"update","7.7.3","9.12.0",2024-11-09T03:19:29Z
org.apache.lucenelucene-queries,"update","7.7.2","7.7.3",2020-12-13T02:29:07Z
org.apache.lucenelucene-queries,"update","6.6.6","7.7.2",2019-07-30T17:31:07Z
org.apache.lucenelucene-queries,"update","6.6.5","6.6.6",2019-07-23T10:24:44Z
org.apache.lucenelucene-queries,"update","6.5.1","6.6.5",2018-10-23T07:24:19Z
org.apache.lucenelucene-queries,"update","5.5.1","6.5.1",2017-05-26T15:26:49Z
org.apache.lucenelucene-queries,"update","5.1.0","5.5.1",2016-06-25T03:43:16Z
org.apache.lucenelucene-core,"update","7.7.3","9.12.0",2024-11-09T03:19:29Z
org.apache.lucenelucene-core,"update","7.7.2","7.7.3",2020-12-13T02:29:07Z
org.apache.lucenelucene-core,"update","6.6.6","7.7.2",2019-07-30T17:31:07Z
org.apache.lucenelucene-core,"update","6.6.5","6.6.6",2019-07-23T10:24:44Z
org.apache.lucenelucene-core,"update","6.5.1","6.6.5",2018-10-23T07:24:19Z
org.apache.lucenelucene-core,"update","5.5.1","6.5.1",2017-05-26T15:26:49Z
org.apache.lucenelucene-core,"update","5.1.0","5.5.1",2016-06-25T03:43:16Z
org.apache.lucenelucene-analyzers-common,"remove","7.7.3","",2024-11-09T03:19:29Z
org.apache.lucenelucene-analyzers-common,"update","7.7.2","7.7.3",2020-12-13T02:29:07Z
org.apache.lucenelucene-analyzers-common,"update","6.6.6","7.7.2",2019-07-30T17:31:07Z
org.apache.lucenelucene-analyzers-common,"update","6.6.5","6.6.6",2019-07-23T10:24:44Z
org.apache.lucenelucene-analyzers-common,"update","6.5.1","6.6.5",2018-10-23T07:24:19Z
org.apache.lucenelucene-analyzers-common,"update","5.5.1","6.5.1",2017-05-26T15:26:49Z
org.apache.lucenelucene-analyzers-common,"update","5.1.0","5.5.1",2016-06-25T03:43:16Z
org.apache.lucenelucene-analyzers-icu,"remove","5.1.0","",2016-06-25T03:43:16Z
org.apache.lucenelucene-queryparser,"update","7.7.3","9.12.0",2024-11-09T03:19:29Z
org.apache.lucenelucene-queryparser,"update","7.7.2","7.7.3",2020-12-13T02:29:07Z
org.apache.lucenelucene-queryparser,"update","6.6.6","7.7.2",2019-07-30T17:31:07Z
org.apache.lucenelucene-queryparser,"update","6.6.5","6.6.6",2019-07-23T10:24:44Z
org.apache.lucenelucene-queryparser,"update","6.5.1","6.6.5",2018-10-23T07:24:19Z
org.apache.lucenelucene-queryparser,"update","5.5.1","6.5.1",2017-05-26T15:26:49Z
org.apache.lucenelucene-queryparser,"update","5.1.0","5.5.1",2016-06-25T03:43:16Z
