library,type,old_version,new_version,commit_date
org.eclipse.jettyapache-jsp,"update","9.4.44.v20210927","9.4.54.v20240208",2024-04-07T14:05:52Z
org.eclipse.jettyapache-jsp,"update","9.4.43.v20210629","9.4.44.v20210927",2021-10-08T12:57:59Z
org.eclipse.jettyapache-jsp,"update","9.4.41.v20210516","9.4.43.v20210629",2021-08-08T09:06:30Z
org.eclipse.jettyapache-jsp,"update","9.4.38.v20210224","9.4.41.v20210516",2021-06-05T01:12:01Z
org.eclipse.jettyapache-jsp,"update","9.4.35.v20201120","9.4.38.v20210224",2021-03-27T01:15:19Z
org.eclipse.jettyapache-jsp,"update","9.4.33.v20201020","9.4.35.v20201120",2020-12-04T13:07:00Z
org.eclipse.jettyapache-jsp,"update","9.4.19.v20190610","9.4.33.v20201020",2020-11-18T13:23:44Z
org.eclipse.jettyapache-jsp,"update","9.4.17.v20190418","9.4.19.v20190610",2019-07-30T17:31:07Z
org.eclipse.jettyapache-jsp,"update","9.4.12.v20180830","9.4.17.v20190418",2019-04-25T13:43:05Z
org.eclipse.jettyapache-jsp,"update","9.3.24.v20180605","9.4.12.v20180830",2019-04-03T10:19:20Z
org.eclipse.jettyapache-jsp,"update","9.3.11.v20160721","9.3.24.v20180605",2018-08-11T13:53:44Z
org.eclipse.jettyapache-jsp,"update","9.3.10.v20160621","9.3.11.v20160721",2016-08-16T13:07:47Z
org.eclipse.jettyapache-jsp,"add","","9.3.10.v20160621",2016-07-31T15:41:41Z
org.eclipse.jettyjetty-plus,"update","9.4.44.v20210927","9.4.54.v20240208",2024-04-07T14:05:52Z
org.eclipse.jettyjetty-plus,"update","9.4.43.v20210629","9.4.44.v20210927",2021-10-08T12:57:59Z
org.eclipse.jettyjetty-plus,"update","9.4.41.v20210516","9.4.43.v20210629",2021-08-08T09:06:30Z
org.eclipse.jettyjetty-plus,"update","9.4.38.v20210224","9.4.41.v20210516",2021-06-05T01:12:01Z
org.eclipse.jettyjetty-plus,"update","9.4.35.v20201120","9.4.38.v20210224",2021-03-27T01:15:19Z
org.eclipse.jettyjetty-plus,"update","9.4.33.v20201020","9.4.35.v20201120",2020-12-04T13:07:00Z
org.eclipse.jettyjetty-plus,"update","9.4.19.v20190610","9.4.33.v20201020",2020-11-18T13:23:44Z
org.eclipse.jettyjetty-plus,"update","9.4.17.v20190418","9.4.19.v20190610",2019-07-30T17:31:07Z
org.eclipse.jettyjetty-plus,"update","9.4.12.v20180830","9.4.17.v20190418",2019-04-25T13:43:05Z
org.eclipse.jettyjetty-plus,"update","9.3.24.v20180605","9.4.12.v20180830",2019-04-03T10:19:20Z
