library,type,old_version,new_version,commit_date
eu.medsea.mimeutilmime-util,"remove","2.1.3","",2016-08-16T13:07:21Z
eu.medsea.mimeutilmime-util,"add","","2.1.3",2016-05-11T15:31:32Z
javax.activationactivation,"remove","1.1.1","",2019-11-13T10:00:23Z
javax.activationactivation,"add","","1.1.1",2019-11-09T00:51:18Z
org.apache.httpcomponentshttpclient,"remove","4.5.13","",2024-12-07T15:40:39Z
org.apache.httpcomponentshttpclient,"update","4.5.9","4.5.13",2021-06-05T01:01:38Z
org.apache.httpcomponentshttpclient,"update","4.5.3","4.5.9",2019-07-30T17:31:07Z
org.apache.httpcomponentshttpclient,"update","4.5.2","4.5.3",2017-03-11T07:28:53Z
org.apache.httpcomponentshttpclient,"add","","4.5.2",2017-03-08T16:34:57Z
org.apache.httpcomponentshttpmime,"remove","4.5.13","",2024-12-07T15:40:39Z
org.apache.httpcomponentshttpmime,"update","4.5.9","4.5.13",2021-06-05T01:01:38Z
org.apache.httpcomponentshttpmime,"update","4.5.3","4.5.9",2019-07-30T17:31:07Z
org.apache.httpcomponentshttpmime,"add","","4.5.3",2017-03-11T12:05:30Z
net.coobirdthumbnailator,"update","0.4.14","0.4.20",2024-12-07T15:40:39Z
net.coobirdthumbnailator,"update","0.4.8","0.4.14",2021-06-05T01:01:38Z
org.apache.httpcomponents.client5httpclient5,"add","","5.3.1",2024-12-07T15:40:39Z
org.apache.httpcomponentshttpcore,"remove","4.4.4","",2017-03-11T07:28:53Z
org.apache.httpcomponentshttpcore,"add","","4.4.4",2017-03-08T16:34:57Z
