library,type,old_version,new_version,commit_date
${project.groupId}hongs-serv-search,"add","","${project.version}",2016-07-31T15:43:50Z
${project.groupId}hongs-serv-matrix,"add","","${project.version}",2017-06-14T12:49:08Z
mysqlmysql-connector-java,"remove","5.1.39","",2018-03-16T13:28:38Z
mysqlmysql-connector-java,"add","","5.1.39",2017-11-29T14:38:02Z
${project.groupId}hongs-serv-system,"remove","${project.version}","",2018-12-18T05:45:49Z
${project.groupId}hongs-serv-system,"add","","${project.version}",2016-07-31T15:43:50Z
${project.groupId}hongs-serv-mesage,"remove","${project.version}","",2017-02-21T15:28:04Z
${project.groupId}hongs-serv-mesage,"add","","${project.version}",2017-02-21T14:16:25Z
${project.groupId}hongs-serv-mesage,"remove","${project.version}","",2016-08-19T14:13:48Z
${project.groupId}hongs-serv-mesage,"add","","${project.version}",2016-07-29T16:24:56Z
org.xerialsqlite-jdbc,"update","3.41.22","3.41.2.2",2024-04-07T14:08:53Z
org.xerialsqlite-jdbc,"update","3.28.0","3.41.22",2024-04-07T14:05:52Z
org.xerialsqlite-jdbc,"update","3.27.2.1","3.28.0",2019-07-31T17:38:13Z
org.xerialsqlite-jdbc,"update","3.8.11.2","3.27.2.1",2019-07-30T17:31:07Z
org.xerialsqlite-jdbc,"add","","3.8.11.2",2016-07-31T15:43:50Z
${project.groupId}hongs-serv-member,"remove","${project.version}","",2018-03-23T14:29:56Z
alipayalipay-sdk,"remove","20180309170622","",2018-03-12T12:20:09Z
alipayalipay-sdk,"update","20171201160035","20180309170622",2018-03-11T02:15:24Z
alipayalipay-sdk,"add","","20171201160035",2017-12-14T22:14:20Z
${project.groupId}hongs-serv-master,"add","","${project.version}",2018-03-23T14:29:56Z
${project.groupId}hongs-serv-medium,"remove","${project.version}","",2018-03-12T12:20:09Z
${project.groupId}hongs-serv-medium,"add","","${project.version}",2017-12-14T22:14:20Z
${project.groupId}hongs-serv-module,"remove","${project.version}","",2017-06-14T12:49:08Z
${project.groupId}hongs-serv,"add","","${project.version}",2016-07-31T15:43:50Z
${project.groupId}hongs-serv-graphs,"remove","${project.version}","",2018-03-12T12:20:09Z
${project.groupId}hongs-serv-graphs,"add","","${project.version}",2018-03-09T23:53:48Z
${project.groupId}hongs-serv-socket,"remove","${project.version}","",2017-02-21T15:28:04Z
${project.groupId}hongs-serv-socket,"add","","${project.version}",2017-02-21T14:16:25Z
${project.groupId}hongs-ueditor,"remove","1.1.2","",2018-04-13T16:29:56Z
${project.groupId}hongs-ueditor,"add","","1.1.2",2017-12-07T12:46:19Z
