library,type,old_version,new_version,commit_date
org.apache.solrsolr-solrj,"update","7.7.0","7.7.1",2019-04-10T19:35:30Z
org.apache.solrsolr-solrj,"update","7.6.0","7.7.0",2019-02-18T18:47:15Z
org.apache.solrsolr-solrj,"update","7.5.0","7.6.0",2019-01-21T19:07:20Z
org.apache.solrsolr-solrj,"update","7.4.0","7.5.0",2018-10-10T13:38:26Z
org.apache.solrsolr-solrj,"update","7.3.1","7.4.0",2018-07-22T18:01:04Z
org.apache.solrsolr-solrj,"update","6.6.1","7.3.1",2018-06-08T21:46:46Z
org.apache.solrsolr-solrj,"update","6.6.0","6.6.1",2017-09-12T19:58:57Z
org.apache.solrsolr-solrj,"update","6.5.0","6.6.0",2017-07-02T22:27:15Z
zemberek-nlpcore,"remove","0.11.1","",2017-08-05T23:39:10Z
zemberek-nlpcore,"update","0.9.2","0.11.1",2017-08-03T01:37:07Z
zemberek-nlpcore,"add","","0.9.2",2017-07-24T22:08:11Z
zemberek-nlpcore,"remove","0.9.2","",2017-07-15T11:08:53Z
zemberek-nlpcore,"add","","0.9.2",2017-07-12T10:33:55Z
org.apache.commonscommons-lang3,"update","3.8.1","3.12.0",2022-10-13T23:19:22Z
org.apache.commonscommons-lang3,"update","3.12.0","3.8.1",2022-01-20T12:15:20Z
org.apache.commonscommons-lang3,"update","3.8.1","3.12.0",2022-01-06T23:57:07Z
org.apache.commonscommons-lang3,"update","3.6","3.8.1",2019-01-21T19:07:20Z
org.apache.commonscommons-lang3,"update","3.5","3.6",2017-07-25T14:41:53Z
org.apache.commonscommons-lang3,"update","3.6","3.5",2017-07-24T22:08:11Z
org.apache.commonscommons-lang3,"update","3.5","3.6",2017-07-15T11:08:53Z
com.google.guavaguava,"update","23.0","31.1-jre",2022-10-13T23:19:22Z
com.google.guavaguava,"update","31.0.1-jre","23.0",2022-01-20T12:15:20Z
com.google.guavaguava,"update","30.0-jre","31.0.1-jre",2022-01-06T23:57:07Z
com.google.guavaguava,"update","23.0","30.0-jre",2021-04-12T23:17:44Z
com.google.guavaguava,"update","18.0","23.0",2017-08-20T22:59:07Z
ws4jws4j,"add","","1.0.1",2019-05-04T22:14:42Z
ws4jws4j,"remove","1.0.1","",2019-02-18T18:47:15Z
ws4jws4j,"add","","1.0.1",2019-01-23T13:46:42Z
org.apache.lucenelucene-benchmark,"update","7.7.0","7.7.1",2019-04-10T19:35:30Z
org.apache.lucenelucene-benchmark,"update","7.6.0","7.7.0",2019-02-18T18:47:15Z
org.apache.lucenelucene-benchmark,"update","7.5.0","7.6.0",2019-01-21T19:07:20Z
org.apache.lucenelucene-benchmark,"update","7.4.0","7.5.0",2018-10-10T13:38:26Z
org.apache.lucenelucene-benchmark,"update","7.3.1","7.4.0",2018-07-22T18:01:04Z
org.apache.lucenelucene-benchmark,"update","6.6.1","7.3.1",2018-06-08T21:46:46Z
org.apache.lucenelucene-benchmark,"update","6.6.0","6.6.1",2017-09-12T19:58:57Z
org.apache.lucenelucene-benchmark,"update","6.5.0","6.6.0",2017-07-02T22:27:15Z
log4jlog4j,"remove","1.2.16","",2022-10-13T23:19:22Z
log4jlog4j,"add","","1.2.16",2022-01-20T12:15:20Z
log4jlog4j,"remove","1.2.16","",2021-04-12T23:17:44Z
org.apache.poipoi,"update","3.15","3.17",2022-10-13T23:19:22Z
org.apache.poipoi,"update","3.17","3.15",2022-01-20T12:15:20Z
org.apache.poipoi,"update","3.15","3.17",2021-04-12T23:17:44Z
org.apache.luceneTurkishAnalysis,"add","","8.2.0",2019-12-05T22:08:53Z
org.apache.luceneTurkishAnalysis,"remove","7.4.0","",2018-08-19T22:28:08Z
org.apache.luceneTurkishAnalysis,"update","7.3.0","7.4.0",2018-07-09T12:02:27Z
org.apache.luceneTurkishAnalysis,"update","6.6.1","7.3.0",2018-05-08T20:33:47Z
org.apache.luceneTurkishAnalysis,"update","6.6.0","6.6.1",2017-09-12T19:58:57Z
org.apache.luceneTurkishAnalysis,"update","6.3.0","6.6.0",2017-08-03T01:37:07Z
org.apache.luceneTurkishAnalysis,"add","","6.3.0",2017-07-24T22:08:11Z
org.apache.luceneTurkishAnalysis,"remove","6.3.0","",2017-07-15T11:08:53Z
org.apache.luceneTurkishAnalysis,"add","","6.3.0",2017-07-12T10:33:55Z
