library,type,old_version,new_version,commit_date
org.apache.lucenelucene-analysis-common,"add","","${project.version}",2022-10-13T23:36:20Z
org.apache.solrsolr-solrj,"remove","4.8.0","",2015-09-18T11:17:31Z
org.apache.solrsolr-solrj,"add","","4.8.0",2014-04-28T12:03:42Z
zemberek-nlpcore,"remove","0.11.1","",2018-07-09T01:00:34Z
zemberek-nlpcore,"update","0.9.2","0.11.1",2017-08-03T01:45:32Z
zemberek-nlpcore,"update","0.9.0","0.9.2",2016-03-22T03:58:18Z
commons-loggingcommons-logging,"remove","1.1.1","",2015-09-18T11:17:31Z
commons-loggingcommons-logging,"add","","1.1.1",2014-04-28T12:03:42Z
com.google.guavaguava,"remove","18.0","",2016-03-22T03:58:18Z
com.google.guavaguava,"add","","18.0",2015-01-11T23:29:34Z
org.slf4jslf4j-api,"update","1.7.36","2.0.3",2022-10-13T23:36:20Z
org.slf4jslf4j-api,"update","1.6.6","1.7.36",2022-03-03T07:09:51Z
org.apache.commonscommons-math3,"remove","3.4.1","",2015-09-18T11:17:31Z
org.apache.commonscommons-math3,"add","","3.4.1",2015-04-06T15:10:36Z
mysqlmysql-connector-java,"remove","5.1.18","",2015-01-07T19:08:17Z
mysqlmysql-connector-java,"add","","5.1.18",2014-04-28T12:03:42Z
zemberek-nlpzemberek-morphology,"update","0.14.0","0.17.1",2019-08-23T20:03:28Z
zemberek-nlpzemberek-morphology,"add","","0.14.0",2018-07-09T01:00:34Z
zemberek-nlpzemberek-core,"remove","0.17.1","",2022-03-03T07:33:16Z
zemberek-nlpzemberek-core,"update","0.14.0","0.17.1",2019-08-23T20:03:28Z
zemberek-nlpzemberek-core,"add","","0.14.0",2018-07-09T01:00:34Z
io.github.starlangsoftwareMorphologicalAnalysis,"update","1.0.17","1.0.57",2022-10-13T23:36:20Z
io.github.starlangsoftwareMorphologicalAnalysis,"add","","1.0.17",2022-03-05T04:04:42Z
io.github.starlangsoftwareMorphologicalDisambiguation,"update","1.0.11","1.0.21",2022-10-13T23:36:20Z
io.github.starlangsoftwareMorphologicalDisambiguation,"add","","1.0.11",2022-03-05T04:04:42Z
zemberekzemberek-tr,"add","","2.1.3",2014-04-25T13:13:05Z
org.apache.lucenelucene-analyzers-common,"remove","${project.version}","",2022-10-13T23:36:20Z
info.bliki.wikibliki-core,"remove","3.0.19","",2015-09-18T11:17:31Z
info.bliki.wikibliki-core,"add","","3.0.19",2015-01-23T13:48:50Z
zemberekzemberek-cekirdek,"add","","2.1.3",2014-04-25T13:13:05Z
zemberek-nlpmorphology,"remove","0.11.1","",2018-07-09T01:00:34Z
zemberek-nlpmorphology,"update","0.9.2","0.11.1",2017-08-03T01:45:32Z
zemberek-nlpmorphology,"update","0.9.0","0.9.2",2016-03-22T03:58:18Z
