library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"update","5.4.1","6.0.0",2016-04-15T19:35:44Z
org.beanshellbsh,"add","","2.0b4",2016-04-12T14:13:28Z
com.fasterxml.jackson.corejackson-databind,"update","2.9.10.3","2.9.10.4",2020-04-23T16:36:04Z
com.fasterxml.jackson.corejackson-databind,"update","2.7.0","2.9.10.3",2020-03-05T02:49:30Z
com.fasterxml.jackson.corejackson-databind,"update","2.9.10.3","2.7.0",2020-03-05T02:48:30Z
com.fasterxml.jackson.corejackson-databind,"update","2.7.0","2.9.10.3",2020-03-05T02:47:57Z
com.fasterxml.jackson.corejackson-databind,"add","","2.7.0",2016-07-06T18:31:48Z
com.fasterxml.jackson.corejackson-core,"add","","2.7.0",2016-07-06T18:31:48Z
org.jdomjdom,"add","","1.1",2016-04-12T14:13:28Z
com.google.guavaguava,"add","","19.0",2016-02-23T17:24:39Z
net.sf.trove4jtrove4j,"add","","2.0.2",2016-04-12T14:13:28Z
org.slf4jslf4j-simple,"add","","1.6.2",2016-07-06T16:23:34Z
org.apache.lucenelucene-queryparser,"update","5.4.1","6.0.0",2016-04-15T19:35:44Z
com.sparkjavaspark-core,"update","2.5","2.7.2",2020-03-05T02:48:40Z
com.sparkjavaspark-core,"update","2.3","2.5",2016-07-06T16:23:34Z
com.googlecode.matrix-toolkits-javamtj,"add","","0.9.14",2016-04-12T14:13:28Z
org.apache.lucenelucene-core,"update","6.0.0","7.1.0",2020-03-05T02:49:19Z
org.apache.lucenelucene-core,"update","7.1.0","6.0.0",2020-03-05T02:48:40Z
org.apache.lucenelucene-core,"update","6.0.0","7.1.0",2020-03-05T02:48:30Z
org.apache.lucenelucene-core,"update","5.4.1","6.0.0",2016-04-15T19:35:44Z
net.sf.jwordnetjwnl,"add","","1.4_rc3",2016-04-12T14:13:28Z
jgraphtjgrapht,"add","","0.6.0",2016-04-12T14:13:28Z
org.apache.lucenelucene-codecs,"update","5.4.1","6.0.0",2016-04-15T19:35:44Z
cc.malletmallet,"add","","2.0.8RC3",2016-04-12T14:13:28Z
org.apache.lucenelucene-analyzers-common,"update","5.4.1","6.0.0",2016-04-15T19:35:44Z
org.rocksdbrocksdbjni,"add","","4.8.0",2016-08-15T21:37:12Z
com.fasterxml.jackson.corejackson-annotations,"add","","2.7.0",2016-07-06T18:31:48Z
commons-clicommons-cli,"add","","1.3.1",2016-04-07T18:39:40Z
junitjunit,"update","3.8.1","4.10",2016-05-25T15:39:19Z
