library,type,old_version,new_version,commit_date
org.antlrantlr4-runtime,"remove","4.7","",2017-12-10T16:40:40Z
org.antlrantlr4-runtime,"update","4.5.3","4.7",2017-04-02T20:21:28Z
org.antlrantlr4-runtime,"update","4.5.2-1","4.5.3",2016-04-10T18:22:07Z
org.apache.tomcat.embedtomcat-embed-jasper,"remove","7.0.81","",2017-12-10T16:40:40Z
org.apache.tomcat.embedtomcat-embed-jasper,"update","7.0.79","7.0.81",2017-09-14T09:05:03Z
org.apache.tomcat.embedtomcat-embed-jasper,"update","7.0.77","7.0.79",2017-07-05T12:57:26Z
org.apache.tomcat.embedtomcat-embed-jasper,"update","7.0.76","7.0.77",2017-05-10T21:35:04Z
org.apache.tomcat.embedtomcat-embed-jasper,"update","7.0.70","7.0.76",2017-04-02T20:08:06Z
org.apache.tomcat.embedtomcat-embed-jasper,"update","7.0.69","7.0.70",2016-07-22T15:51:03Z
org.apache.tomcat.embedtomcat-embed-jasper,"update","7.0.68","7.0.69",2016-05-04T12:31:55Z
org.apache.cxfcxf-rt-frontend-jaxws,"remove","2.7.18","",2017-07-18T09:21:21Z
org.zkoss.zkzkbind,"remove","6.5.4","",2017-12-10T16:40:40Z
com.qwazrqwazr-library-freemarker,"remove","1.5.0-SNAPSHOT","",2020-06-07T17:27:14Z
com.qwazrqwazr-library-freemarker,"update","1.4.1-SNAPSHOT","1.5.0-SNAPSHOT",2020-05-14T13:27:28Z
com.qwazrqwazr-library-freemarker,"update","1.4.0-SNAPSHOT","1.4.1-SNAPSHOT",2018-06-17T20:40:44Z
com.qwazrqwazr-library-freemarker,"update","1.3.0","1.4.0-SNAPSHOT",2017-12-10T16:40:40Z
com.qwazrqwazr-library-freemarker,"update","1.3.0-SNAPSHOT","1.3.0",2017-09-26T21:28:17Z
com.qwazrqwazr-library-freemarker,"add","","1.3.0-SNAPSHOT",2017-08-07T22:45:02Z
org.codehaus.jacksonjackson-core-asl,"remove","1.9.13","",2017-07-18T09:21:21Z
org.codehaus.jacksonjackson-core-asl,"add","","1.9.13",2017-05-08T20:46:14Z
org.apache.tomcat.embedtomcat-embed-websocket,"remove","7.0.81","",2017-12-10T16:40:40Z
org.apache.tomcat.embedtomcat-embed-websocket,"update","7.0.79","7.0.81",2017-09-14T09:05:03Z
org.apache.tomcat.embedtomcat-embed-websocket,"update","7.0.77","7.0.79",2017-07-05T12:57:26Z
org.apache.tomcat.embedtomcat-embed-websocket,"update","7.0.76","7.0.77",2017-05-10T21:35:04Z
org.apache.tomcat.embedtomcat-embed-websocket,"update","7.0.70","7.0.76",2017-04-02T20:08:06Z
org.apache.tomcat.embedtomcat-embed-websocket,"update","7.0.69","7.0.70",2016-07-22T15:51:03Z
org.apache.tomcat.embedtomcat-embed-websocket,"update","7.0.68","7.0.69",2016-05-04T12:31:55Z
com.fasterxml.jackson.jaxrsjackson-jaxrs-json-provider,"remove","2.9.1","",2017-12-10T16:40:40Z
com.fasterxml.jackson.jaxrsjackson-jaxrs-json-provider,"update","2.8.9","2.9.1",2017-09-14T09:05:03Z
com.fasterxml.jackson.jaxrsjackson-jaxrs-json-provider,"update","2.6.7","2.8.9",2017-07-18T09:21:21Z
com.fasterxml.jackson.jaxrsjackson-jaxrs-json-provider,"update","2.6.6","2.6.7",2016-07-22T15:51:03Z
com.fasterxml.jackson.jaxrsjackson-jaxrs-json-provider,"update","2.6.5","2.6.6",2016-04-10T18:22:07Z
org.codehaus.jacksonjackson-xc,"remove","1.9.13","",2017-07-18T09:21:21Z
org.codehaus.jacksonjackson-xc,"add","","1.9.13",2017-05-08T20:46:14Z
org.apache.poipoi-excelant,"remove","3.14","",2017-12-10T16:40:40Z
org.apache.poipoi-excelant,"update","3.13","3.14",2016-03-10T22:24:49Z
org.bouncycastlebcmail-jdk15on,"remove","1.57","",2017-12-10T16:40:40Z
org.bouncycastlebcmail-jdk15on,"add","","1.57",2017-08-13T11:42:07Z
org.apache.poipoi-ooxml-schemas,"remove","3.14","",2017-12-10T16:40:40Z
org.apache.poipoi-ooxml-schemas,"update","3.13","3.14",2016-03-10T22:24:49Z
org.webjars.bowerhighlightjs,"remove","9.12.0","",2020-05-31T16:57:21Z
org.webjars.bowerhighlightjs,"add","","9.12.0",2018-03-27T10:51:20Z
org.postgresqlpostgresql,"remove","9.4.1212.jre7","",2017-12-10T16:40:40Z
org.postgresqlpostgresql,"update","9.4.1209.jre7","9.4.1212.jre7",2017-07-25T17:35:21Z
org.postgresqlpostgresql,"update","9.4.1208.jre7","9.4.1209.jre7",2016-07-22T15:51:03Z
net.sourceforge.jtdsjtds,"remove","1.3.1","",2017-12-10T16:40:40Z
jcifsjcifs,"remove","1.3.17","",2016-04-10T20:28:59Z
jcifsjcifs,"add","","1.3.17",2016-04-10T13:54:18Z
org.imgscalrimgscalr-lib,"remove","4.2","",2017-12-10T16:40:40Z
com.qwazrqwazr-link,"remove","1.5.0-SNAPSHOT","",2020-06-07T16:15:50Z
com.qwazrqwazr-link,"update","1.4.1-SNAPSHOT","1.5.0-SNAPSHOT",2020-05-14T13:27:28Z
com.qwazrqwazr-link,"update","1.4.0-SNAPSHOT","1.4.1-SNAPSHOT",2018-06-17T20:40:44Z
com.qwazrqwazr-link,"add","","1.4.0-SNAPSHOT",2017-12-27T21:25:37Z
com.graphql-javagraphql-java-extended-scalars,"add","","16.0.1",2021-06-07T23:48:39Z
junitjunit,"update","4.13.1","4.13.2",2021-03-21T22:47:09Z
junitjunit,"update","4.13","4.13.1",2020-12-12T16:22:04Z
junitjunit,"update","4.12","4.13",2020-05-14T13:27:28Z
batikbatik-svg-dom,"remove","1.6-1","",2017-12-10T16:40:40Z
org.webjars.npmgraphiql,"update","1.4.1","1.4.2",2021-08-09T01:31:04Z
org.webjars.npmgraphiql,"add","","1.4.1",2021-08-01T22:28:32Z
com.atlascopcohunspell-bridj,"remove","1.0.4","",2017-12-10T16:40:40Z
com.atlascopcohunspell-bridj,"update","1.0.3","1.0.4",2016-07-22T15:51:03Z
