library,type,old_version,new_version,commit_date
org.bitbucket.eunjeonmecab-ko-mecab-loader,"update","0.20.2-SNAPSHOT","0.21.0-SNAPSHOT",2016-12-24T16:41:44Z
org.bitbucket.eunjeonmecab-ko-mecab-loader,"update","0.20.1-SNAPSHOT","0.20.2-SNAPSHOT",2016-05-10T05:33:45Z
org.bitbucket.eunjeonmecab-ko-mecab-loader,"update","0.20.0-SNAPSHOT","0.20.1-SNAPSHOT",2016-04-05T16:03:27Z
org.bitbucket.eunjeonmecab-ko-mecab-loader,"update","0.19.2-SNAPSHOT","0.20.0-SNAPSHOT",2016-04-04T15:32:01Z
org.bitbucket.eunjeonmecab-ko-mecab-loader,"update","0.19.1-SNAPSHOT","0.19.2-SNAPSHOT",2016-04-04T14:22:37Z
org.bitbucket.eunjeonmecab-ko-mecab-loader,"update","0.19.0-SNAPSHOT","0.19.1-SNAPSHOT",2016-04-04T14:05:48Z
org.bitbucket.eunjeonmecab-ko-mecab-loader,"update","0.18.2-SNAPSHOT","0.19.0-SNAPSHOT",2016-02-04T15:17:46Z
org.bitbucket.eunjeonmecab-ko-mecab-loader,"update","0.18.1-SNAPSHOT","0.18.2-SNAPSHOT",2016-02-04T13:31:44Z
org.bitbucket.eunjeonmecab-ko-mecab-loader,"update","0.18.0-SNAPSHOT","0.18.1-SNAPSHOT",2016-02-01T14:37:08Z
org.bitbucket.eunjeonmecab-ko-mecab-loader,"update","0.17.0-SNAPSHOT","0.18.0-SNAPSHOT",2015-12-05T18:43:24Z
org.bitbucket.eunjeonmecab-ko-mecab-loader,"update","0.16.0-SNAPSHOT","0.17.0-SNAPSHOT",2014-12-25T12:53:25Z
org.bitbucket.eunjeonmecab-ko-mecab-loader,"update","0.15.1-SNAPSHOT","0.16.0-SNAPSHOT",2014-07-30T16:39:30Z
org.bitbucket.eunjeonmecab-ko-mecab-loader,"update","0.15.0-SNAPSHOT","0.15.1-SNAPSHOT",2014-06-12T11:52:15Z
org.bitbucket.eunjeonmecab-ko-mecab-loader,"add","","0.15.0-SNAPSHOT",2014-05-14T04:05:13Z
com.github.bibreenmecab-ko-mecab-loader,"remove","0.15.0-SNAPSHOT","",2014-05-14T04:05:13Z
com.github.bibreenmecab-ko-mecab-loader,"update","0.14.0-SNAPSHOT","0.15.0-SNAPSHOT",2014-05-13T12:29:57Z
com.github.bibreenmecab-ko-mecab-loader,"update","0.13.3-SNAPSHOT","0.14.0-SNAPSHOT",2014-02-08T12:39:21Z
com.github.bibreenmecab-ko-mecab-loader,"update","0.13.2-SNAPSHOT","0.13.3-SNAPSHOT",2013-10-28T06:26:53Z
com.github.bibreenmecab-ko-mecab-loader,"update","0.13.1-SNAPSHOT","0.13.2-SNAPSHOT",2013-10-21T05:44:45Z
com.github.bibreenmecab-ko-mecab-loader,"update","0.13.0-SNAPSHOT","0.13.1-SNAPSHOT",2013-10-01T08:46:22Z
com.github.bibreenmecab-ko-mecab-loader,"update","0.12.0-SNAPSHOT","0.13.0-SNAPSHOT",2013-08-01T08:51:00Z
com.github.bibreenmecab-ko-mecab-loader,"update","0.11.0-SNAPSHOT","0.12.0-SNAPSHOT",2013-07-20T11:24:07Z
com.github.bibreenmecab-ko-mecab-loader,"update","0.10.0-SNAPSHOT","0.11.0-SNAPSHOT",2013-07-07T13:51:52Z
com.github.bibreenmecab-ko-mecab-loader,"update","0.9.5-SNAPSHOT","0.10.0-SNAPSHOT",2013-05-27T06:42:28Z
