library,type,old_version,new_version,commit_date
org.apache.logging.log4jlog4j-api,"add","","2.7",2016-12-19T14:59:44Z
org.apache.solrsolr-core,"update","6.3.0","7.1.0",2017-12-23T19:03:52Z
org.apache.solrsolr-core,"update","5.5.0","6.3.0",2016-12-24T16:41:44Z
org.apache.solrsolr-core,"update","5.4.1","5.5.0",2016-04-04T15:32:01Z
org.apache.solrsolr-core,"update","5.3.1","5.4.1",2016-02-04T15:17:46Z
org.apache.solrsolr-core,"update","4.9.0","5.3.1",2015-12-05T18:43:24Z
org.apache.solrsolr-core,"update","4.3.1","4.9.0",2014-07-30T16:39:30Z
org.apache.solrsolr-core,"update","4.2.0","4.3.1",2013-07-07T13:51:52Z
org.elasticsearchelasticsearch,"update","6.5.1","6.5.2",2018-12-08T01:47:33Z
org.elasticsearchelasticsearch,"update","6.3.0","6.5.1",2018-12-05T16:05:50Z
org.elasticsearchelasticsearch,"update","6.1.1","6.3.0",2018-06-17T01:33:59Z
org.elasticsearchelasticsearch,"update","5.1.1","6.1.1",2017-12-23T19:03:52Z
org.elasticsearchelasticsearch,"update","2.3.2","5.1.1",2016-12-19T14:59:44Z
org.elasticsearchelasticsearch,"update","2.3.1","2.3.2",2016-05-10T05:33:45Z
org.elasticsearchelasticsearch,"update","2.3.0","2.3.1",2016-04-05T16:03:27Z
org.elasticsearchelasticsearch,"update","2.2.2","2.3.0",2016-04-04T15:32:01Z
org.elasticsearchelasticsearch,"update","2.2.1","2.2.2",2016-04-04T14:22:37Z
org.elasticsearchelasticsearch,"update","2.2.0","2.2.1",2016-04-04T14:05:48Z
org.elasticsearchelasticsearch,"update","2.1.2","2.2.0",2016-02-04T15:17:46Z
org.elasticsearchelasticsearch,"update","2.1.1","2.1.2",2016-02-04T13:31:44Z
org.elasticsearchelasticsearch,"update","2.1.0","2.1.1",2016-02-01T14:37:08Z
org.elasticsearchelasticsearch,"update","1.3.0","2.1.0",2015-12-05T18:43:24Z
org.elasticsearchelasticsearch,"update","0.90.10","1.3.0",2014-07-30T16:39:30Z
org.elasticsearchelasticsearch,"update","0.90.2","0.90.10",2014-02-08T12:39:21Z
org.elasticsearchelasticsearch,"add","","0.90.2",2013-08-01T08:51:00Z
org.mockitomockito-all,"add","","1.9.5",2013-04-13T20:27:24Z
