library,type,old_version,new_version,commit_date
ch.qos.logbacklogback-classic,"remove","1.1.3","",2018-11-17T07:24:16Z
org.elasticsearch.clienttransport,"add","","6.5.0",2018-11-16T19:17:16Z
org.camunda.bpmcamunda-engine,"remove","unknown","",2018-11-17T07:24:16Z
org.slf4jjul-to-slf4j,"remove","1.7.25","",2018-11-17T07:24:16Z
org.slf4jjcl-over-slf4j,"remove","1.7.25","",2018-11-17T07:24:16Z
com.h2databaseh2,"remove","1.4.197","",2018-11-17T07:24:16Z
org.camunda.bpm.extensioncamunda-bpm-assert,"remove","1.2","",2018-11-17T07:24:16Z
org.mockitomockito-all,"remove","1.9.5","",2018-11-17T07:24:16Z
org.mockitomockito-all,"add","","1.9.5",2018-11-16T22:45:06Z
junitjunit,"remove","4.12","",2018-11-17T07:24:16Z
org.camunda.bpm.extensioncamunda-bpm-process-test-coverage,"remove","0.3.2","",2018-11-17T07:24:16Z
