library,type,old_version,new_version,commit_date
org.apache.lucenelucene-queries,"update","5.3.1","5.4.0",2015-12-21T16:35:14Z
org.apache.lucenelucene-queries,"update","4.10.2","5.3.1",2015-12-12T06:22:28Z
org.apache.lucenelucene-queries,"update","4.8.1","4.10.2",2014-12-06T04:41:55Z
org.apache.lucenelucene-queries,"update","4.8.0","4.8.1",2014-06-02T06:05:43Z
org.apache.lucenelucene-queries,"update","4.7-SNAPSHOT","4.8.0",2014-05-09T21:37:02Z
org.apache.lucenelucene-core,"update","5.3.1","5.4.0",2015-12-21T16:35:14Z
org.apache.lucenelucene-core,"update","4.10.2","5.3.1",2015-12-12T06:22:28Z
org.apache.lucenelucene-core,"update","4.8.1","4.10.2",2014-12-06T04:41:55Z
org.apache.lucenelucene-core,"update","4.8.0","4.8.1",2014-06-02T06:05:43Z
org.apache.lucenelucene-core,"update","4.7-SNAPSHOT","4.8.0",2014-05-09T21:37:02Z
org.apache.lucenelucene-codecs,"update","5.3.1","5.4.0",2015-12-21T16:35:14Z
org.apache.lucenelucene-codecs,"update","4.10.2","5.3.1",2015-12-12T06:22:28Z
org.apache.lucenelucene-codecs,"update","4.8.1","4.10.2",2014-12-06T04:41:55Z
org.apache.lucenelucene-codecs,"update","4.8.0","4.8.1",2014-06-02T06:05:43Z
org.apache.lucenelucene-codecs,"update","4.7-SNAPSHOT","4.8.0",2014-05-09T21:37:02Z
org.apache.lucenelucene-facet,"update","5.3.1","5.4.0",2015-12-21T16:35:14Z
org.apache.lucenelucene-facet,"update","4.10.2","5.3.1",2015-12-12T06:22:28Z
org.apache.lucenelucene-facet,"update","4.8.1","4.10.2",2014-12-06T04:41:55Z
org.apache.lucenelucene-facet,"update","4.8.0","4.8.1",2014-06-02T06:05:43Z
org.apache.lucenelucene-facet,"update","4.7-SNAPSHOT","4.8.0",2014-05-09T21:37:02Z
org.apache.lucenelucene-analyzers-common,"update","5.3.1","5.4.0",2015-12-21T16:35:14Z
org.apache.lucenelucene-analyzers-common,"update","4.10.2","5.3.1",2015-12-12T06:22:28Z
org.apache.lucenelucene-analyzers-common,"update","4.8.1","4.10.2",2014-12-06T04:41:55Z
org.apache.lucenelucene-analyzers-common,"update","4.8.0","4.8.1",2014-06-02T06:05:43Z
org.apache.lucenelucene-analyzers-common,"update","4.7-SNAPSHOT","4.8.0",2014-05-09T21:37:02Z
abacusabacus-bql,"add","","${project.version}",2014-07-22T03:52:17Z
org.apache.thriftlibthrift,"add","","0.9.1",2014-05-09T21:37:02Z
org.apache.lucenelucene-queryparser,"update","5.3.1","5.4.0",2015-12-21T16:35:14Z
org.apache.lucenelucene-queryparser,"update","4.10.2","5.3.1",2015-12-12T06:22:28Z
org.apache.lucenelucene-queryparser,"update","4.8.1","4.10.2",2014-12-06T04:41:55Z
org.apache.lucenelucene-queryparser,"update","4.8.0","4.8.1",2014-06-02T06:05:43Z
org.apache.lucenelucene-queryparser,"update","4.7-SNAPSHOT","4.8.0",2014-05-09T21:37:02Z
