library,type,old_version,new_version,commit_date
it.unimi.dsifastutil,"remove","6.4.4","",2014-02-24T23:04:12Z
org.apache.lucenelucene-queries,"remove","4.7-SNAPSHOT","",2014-02-24T23:04:12Z
org.apache.lucenelucene-queries,"update","4.6.0","4.7-SNAPSHOT",2014-02-18T21:49:56Z
org.apache.lucenelucene-queries,"update","4.4.0","4.6.0",2014-01-11T08:29:27Z
org.apache.lucenelucene-core,"remove","4.7-SNAPSHOT","",2014-02-24T23:04:12Z
org.apache.lucenelucene-core,"update","4.6.0","4.7-SNAPSHOT",2014-02-18T21:49:56Z
org.apache.lucenelucene-core,"update","4.4.0","4.6.0",2014-01-11T08:29:27Z
org.jsonjson,"remove","20080701","",2014-02-24T23:04:12Z
org.apache.lucenelucene-codecs,"remove","4.7-SNAPSHOT","",2014-02-24T23:04:12Z
org.apache.lucenelucene-codecs,"update","4.6.0","4.7-SNAPSHOT",2014-02-18T21:49:56Z
org.apache.lucenelucene-codecs,"update","4.4.0","4.6.0",2014-01-11T08:29:27Z
org.slf4jslf4j-api,"remove","1.7.5","",2014-02-24T23:04:12Z
org.slf4jslf4j-api,"add","","1.7.5",2014-01-11T05:47:01Z
org.apache.lucenelucene-facet,"remove","4.7-SNAPSHOT","",2014-02-24T23:04:12Z
org.apache.lucenelucene-facet,"update","4.6.0","4.7-SNAPSHOT",2014-02-18T21:49:56Z
org.apache.lucenelucene-facet,"update","4.4.0","4.6.0",2014-01-11T08:29:27Z
org.apache.lucenelucene-analyzers-common,"remove","4.7-SNAPSHOT","",2014-02-24T23:04:12Z
org.apache.lucenelucene-analyzers-common,"update","4.6.0","4.7-SNAPSHOT",2014-02-18T21:49:56Z
org.apache.lucenelucene-analyzers-common,"update","4.4.0","4.6.0",2014-01-11T08:29:27Z
org.apache.lucenelucene-queryparser,"remove","4.7-SNAPSHOT","",2014-02-24T23:04:12Z
org.apache.lucenelucene-queryparser,"update","4.6.0","4.7-SNAPSHOT",2014-02-18T21:49:56Z
org.apache.lucenelucene-queryparser,"update","4.4.0","4.6.0",2014-01-11T08:29:27Z
