library,type,old_version,new_version,commit_date
org.apache.solrsolr-solrj,"add","","7.3.1",2018-06-09T17:06:19Z
org.jooqjooq,"remove","3.11.0","",2018-08-15T08:49:08Z
org.jooqjooq,"add","","3.11.0",2018-06-25T21:09:32Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.markdown,"add","","3.0.9",2018-06-04T13:09:03Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.markdown,"remove","3.0.9","",2018-06-03T21:16:11Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.markdown,"add","","3.0.9",2017-05-18T02:59:48Z
org.zkoss.zkforgeckez,"update","4.4.6.2","4.4.6.3",2018-06-04T13:09:03Z
org.zkoss.zkforgeckez,"update","4.4.6.3","4.4.6.2",2018-06-03T21:16:11Z
org.zkoss.zkforgeckez,"update","4.4.6.2","4.4.6.3",2017-05-18T02:59:48Z
org.apache.commonscommons-lang3,"update","3.4","3.5",2018-06-04T13:09:03Z
org.apache.commonscommons-lang3,"update","3.5","3.4",2018-06-03T21:16:11Z
org.apache.commonscommons-lang3,"update","3.4","3.5",2017-05-18T02:59:48Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.textile.core,"remove","2.6.0.v20150901-2143","",2018-06-04T13:09:03Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.textile.core,"add","","2.6.0.v20150901-2143",2018-06-03T21:16:11Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.textile.core,"remove","2.6.0.v20150901-2143","",2017-05-18T02:59:48Z
org.slf4jslf4j-api,"add","","1.7.21",2018-06-04T13:09:03Z
org.slf4jslf4j-api,"remove","1.7.21","",2018-06-03T21:16:11Z
org.slf4jslf4j-api,"add","","1.7.21",2016-12-01T21:44:21Z
org.jooqjooq-codegen,"remove","3.11.0","",2018-08-15T08:49:08Z
org.jooqjooq-codegen,"add","","3.11.0",2018-06-25T21:09:32Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.mediawiki.core,"remove","2.6.0.v20150901-2143","",2018-06-04T13:09:03Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.mediawiki.core,"add","","2.6.0.v20150901-2143",2018-06-03T21:16:11Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.mediawiki.core,"remove","2.6.0.v20150901-2143","",2017-05-18T02:59:48Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.confluence,"add","","3.0.9",2018-06-04T13:09:03Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.confluence,"remove","3.0.9","",2018-06-03T21:16:11Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.confluence,"add","","3.0.9",2017-05-18T02:59:48Z
javax.mailjavax.mail-api,"update","1.5.5","1.5.6",2018-06-04T13:09:03Z
javax.mailjavax.mail-api,"update","1.5.6","1.5.5",2018-06-03T21:16:11Z
javax.mailjavax.mail-api,"update","1.5.5","1.5.6",2017-05-18T02:59:48Z
org.zkoss.zkzhtml,"update","8.0.2.2","8.5.0",2018-06-04T13:34:20Z
org.zkoss.zkzhtml,"update","8.0.1","8.0.2.2",2018-06-04T13:09:03Z
org.zkoss.zkzhtml,"update","8.0.2.2","8.0.1",2018-06-03T21:16:11Z
org.zkoss.zkzhtml,"update","8.0.1","8.0.2.2",2017-05-18T02:59:48Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.tracwiki.core,"remove","2.6.0.v20150625-2041","",2018-06-04T13:09:03Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.tracwiki.core,"add","","2.6.0.v20150625-2041",2018-06-03T21:16:11Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.tracwiki.core,"remove","2.6.0.v20150625-2041","",2017-05-18T02:59:48Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.twiki.core,"remove","2.6.0.v20150901-2143","",2018-06-04T13:09:03Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.twiki.core,"add","","2.6.0.v20150901-2143",2018-06-03T21:16:11Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.twiki.core,"remove","2.6.0.v20150901-2143","",2017-05-18T02:59:48Z
org.zkoss.zkzul,"update","8.0.2.2","8.5.0",2018-06-04T13:34:20Z
org.zkoss.zkzul,"add","","8.0.2.2",2018-06-04T13:09:03Z
org.zkoss.zkzul,"remove","8.0.2.2","",2018-06-03T21:16:11Z
org.zkoss.zkzul,"add","","8.0.2.2",2017-05-20T03:29:23Z
org.eclipse.mylyn.docsorg.eclipse.mylyn.wikitext.mediawiki,"add","","3.0.9",2018-06-04T13:09:03Z
