library,type,old_version,new_version,commit_date
org.apache.solrsolr,"remove","4.9.0","",2015-04-10T16:55:54Z
org.apache.solrsolr,"add","","4.9.0",2015-04-04T06:43:35Z
org.apache.lucenelucene-backward-codecs,"remove","5.3.1","",2021-08-30T04:10:24Z
org.apache.lucenelucene-backward-codecs,"add","","5.3.1",2021-08-30T04:00:28Z
org.apache.lucenelucene-backward-codecs,"remove","5.3.1","",2021-08-30T03:01:16Z
org.apache.lucenelucene-backward-codecs,"add","","5.3.1",2021-08-30T02:59:32Z
org.apache.lucenelucene-backward-codecs,"remove","5.3.1","",2021-08-30T02:30:29Z
org.apache.lucenelucene-backward-codecs,"add","","5.3.1",2015-12-16T13:24:13Z
io.jenkins.pluginscaffeine-api,"add","","2.9.3-65.v6a_47d0f4d1fe",2023-05-09T14:22:04Z
io.jenkins.pluginscaffeine-api,"add","","2.9.3-65.v6a_47d0f4d1fe",2023-05-09T14:06:37Z
io.jenkins.pluginscaffeine-api,"remove","2.9.3-65.v6a_47d0f4d1fe","",2022-05-20T20:48:32Z
com.google.code.gsongson,"update","2.2.4","2.8.9",2022-05-20T20:48:32Z
com.google.code.gsongson,"add","","2.2.4",2015-04-15T18:45:56Z
org.apache.solrsolr-solrj,"remove","5.3.1","",2023-05-09T14:06:37Z
org.apache.solrsolr-solrj,"add","","5.3.1",2023-02-15T19:14:52Z
org.apache.solrsolr-solrj,"remove","5.3.1","",2023-01-05T08:05:31Z
org.apache.solrsolr-solrj,"add","","5.3.1",2021-08-30T04:59:11Z
org.apache.solrsolr-solrj,"remove","5.3.1","",2021-08-30T04:10:24Z
org.apache.solrsolr-solrj,"add","","5.3.1",2021-08-30T04:00:28Z
org.apache.solrsolr-solrj,"remove","5.3.1","",2021-08-30T03:01:16Z
org.apache.solrsolr-solrj,"add","","5.3.1",2021-08-30T02:59:32Z
org.apache.solrsolr-solrj,"remove","5.3.1","",2021-08-30T02:30:29Z
org.apache.solrsolr-solrj,"update","4.10.4","5.3.1",2015-12-11T14:43:15Z
