library,type,old_version,new_version,commit_date
org.apache.cxfcxf-rt-frontend-jaxws,"add","","3.1.7",2017-05-14T13:20:07Z
org.springframework.dataspring-data-redis,"add","","1.4.0.RELEASE",2017-04-13T08:10:51Z
org.apache.shiroshiro-spring,"add","","1.2.1",2017-03-19T04:43:02Z
org.apache.cxfcxf-core,"add","","3.1.7",2017-05-14T13:20:07Z
org.springframeworkorg.springframework.context,"add","","3.1.0.RELEASE",2017-07-10T12:52:59Z
org.mybatismybatis-ehcache,"add","","1.0.0",2017-04-13T08:10:51Z
javax.annotationjsr250-api,"add","","1.0",2017-04-13T08:10:51Z
org.jsonjson,"add","","20160810",2017-07-10T12:52:59Z
org.apache.cxfcxf-rt-transports-http,"add","","3.1.7",2017-05-14T13:20:07Z
org.apache.shiroshiro-ehcache,"add","","1.2.1",2017-03-19T04:43:02Z
org.apache.shiroshiro-web,"add","","1.2.1",2017-03-19T04:43:02Z
org.springframework.securityspring-security-config,"add","","3.0.5.RELEASE",2017-03-19T04:43:02Z
org.glassfishjavax.json,"add","","1.0.4",2017-04-27T08:40:56Z
javax.websocketjavax.websocket-api,"add","","1.1",2017-04-27T08:40:56Z
org.apache.lucenelucene-highlighter,"add","","6.0.0",2017-07-10T12:52:59Z
org.apache.lucenelucene-analyzers-smartcn,"add","","6.0.0",2017-07-10T12:52:59Z
org.apache.shiroshiro-core,"add","","1.2.1",2017-03-19T04:43:02Z
org.apache.lucenelucene-queryparser,"add","","6.0.0",2017-07-10T12:52:59Z
org.springframework.securityspring-security-web,"add","","3.0.5.RELEASE",2017-03-19T04:43:02Z
org.apache.activemqactivemq-core,"add","","5.7.0",2017-04-13T08:10:51Z
org.apache.lucenelucene-core,"add","","6.0.0",2017-07-10T12:52:59Z
javax.servletjavax.servlet-api,"add","","3.0.1",2017-04-27T08:40:56Z
org.springframeworkspring-jms,"add","","4.2.5.RELEASE",2017-04-13T08:10:51Z
org.springframework.securityspring-security-core,"add","","3.0.5.RELEASE",2017-03-19T04:43:02Z
org.apache.lucenelucene-analyzers-common,"add","","6.0.0",2017-07-10T12:52:59Z
net.sf.json-libjson-lib,"add","","2.4",2017-07-10T12:52:59Z
redis.clientsjedis,"add","","2.6.0",2017-04-13T08:10:51Z
org.ehcacheehcache,"add","","3.0.1",2017-04-13T08:10:51Z
