library,type,old_version,new_version,commit_date
org.apache.lucenelucene-queries,"update","9.7.0","9.11.1",2024-06-28T08:40:45Z
org.apache.lucenelucene-queries,"update","9.5.0","9.7.0",2023-06-26T08:56:31Z
org.apache.lucenelucene-queries,"update","7.1.0","9.5.0",2023-01-31T08:03:24Z
org.apache.lucenelucene-queries,"update","4.0.0","7.1.0",2020-02-22T22:56:02Z
org.apache.lucenelucene-queries,"update","4.0.0-BETA","4.0.0",2014-10-14T07:38:29Z
org.apache.lucenelucene-core,"update","9.7.0","9.10.0",2024-02-21T08:02:43Z
org.apache.lucenelucene-core,"update","9.5.0","9.7.0",2023-06-26T08:56:32Z
org.apache.lucenelucene-core,"update","7.1.0","9.5.0",2023-01-31T08:04:30Z
org.apache.lucenelucene-core,"update","4.0.0","7.1.0",2020-02-22T22:25:06Z
org.apache.lucenelucene-core,"update","4.0.0-BETA","4.0.0",2014-10-14T07:38:29Z
org.apache.lucenelucene-analyzers-common,"update","8.11.2","8.11.3",2024-02-20T08:33:57Z
org.apache.lucenelucene-analyzers-common,"update","7.1.0","8.11.2",2023-02-22T12:41:53Z
org.apache.lucenelucene-analyzers-common,"update","8.11.2","7.1.0",2023-01-31T08:01:22Z
org.apache.lucenelucene-analyzers-common,"update","7.1.0","8.11.2",2022-12-15T22:51:12Z
org.apache.lucenelucene-analyzers-common,"update","4.0.0","7.1.0",2020-02-22T22:56:02Z
org.apache.lucenelucene-analyzers-common,"update","4.0.0-BETA","4.0.0",2014-10-14T07:38:29Z
org.apache.lucenelucene-queryparser,"update","9.7.0","9.10.0",2024-02-21T08:02:45Z
org.apache.lucenelucene-queryparser,"update","9.5.0","9.7.0",2023-06-26T08:56:29Z
org.apache.lucenelucene-queryparser,"update","7.1.0","9.5.0",2023-01-31T08:02:23Z
org.apache.lucenelucene-queryparser,"update","4.0.0","7.1.0",2020-02-22T22:56:02Z
org.apache.lucenelucene-queryparser,"update","4.0.0-BETA","4.0.0",2014-10-14T07:38:29Z
org.apache.lucenelucene-test-framework,"update","9.7.0","9.10.0",2024-02-21T08:02:46Z
org.apache.lucenelucene-test-framework,"update","9.5.0","9.7.0",2023-06-26T08:56:29Z
org.apache.lucenelucene-test-framework,"update","7.1.0","9.5.0",2023-01-31T08:01:22Z
org.apache.lucenelucene-test-framework,"update","4.0.0","7.1.0",2020-02-22T22:56:02Z
org.apache.lucenelucene-test-framework,"update","4.0.0-BETA","4.0.0",2014-10-14T07:38:29Z
