library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"update","6.0.1","6.1.0",2016-11-07T18:22:50Z
org.apache.lucenelucene-backward-codecs,"update","6.1.0","6.0.1",2016-11-07T18:15:06Z
org.apache.lucenelucene-backward-codecs,"update","5.3.1","6.1.0",2016-07-08T22:50:07Z
org.apache.lucenelucene-backward-codecs,"update","5.2.1","5.3.1",2015-10-01T19:46:02Z
org.apache.lucenelucene-backward-codecs,"add","","5.2.1",2015-10-01T15:59:20Z
org.apache.antant,"add","","1.9.4",2014-07-22T19:28:40Z
com.fasterxml.jackson.corejackson-databind,"add","","2.6.2",2015-10-24T18:27:53Z
org.apache.lucenelucene-core,"update","6.0.1","6.1.0",2016-11-07T18:22:50Z
org.apache.lucenelucene-core,"update","6.1.0","6.0.1",2016-11-07T18:15:06Z
org.apache.lucenelucene-core,"update","5.3.1","6.1.0",2016-07-08T22:50:07Z
org.apache.lucenelucene-core,"update","5.2.1","5.3.1",2015-10-01T19:46:02Z
org.apache.lucenelucene-core,"update","4.9.0","5.2.1",2015-10-01T15:59:20Z
org.apache.lucenelucene-core,"update","4.5.0","4.9.0",2014-10-22T15:57:36Z
org.apache.lucenelucene-core,"update","4.3.0","4.5.0",2013-10-08T05:42:34Z
com.fasterxml.jackson.corejackson-core,"add","","2.6.2",2015-10-24T18:27:53Z
org.apache.lucenelucene-analyzers-common,"update","6.0.1","6.1.0",2016-11-07T18:22:50Z
org.apache.lucenelucene-analyzers-common,"update","6.1.0","6.0.1",2016-11-07T18:15:06Z
org.apache.lucenelucene-analyzers-common,"update","5.3.1","6.1.0",2016-07-08T22:50:07Z
org.apache.lucenelucene-analyzers-common,"update","5.2.1","5.3.1",2015-10-01T19:46:02Z
org.apache.lucenelucene-analyzers-common,"update","4.9.0","5.2.1",2015-10-01T15:59:20Z
org.apache.lucenelucene-analyzers-common,"update","4.5.0","4.9.0",2014-10-22T15:57:36Z
org.apache.lucenelucene-analyzers-common,"update","4.3.0","4.5.0",2013-10-08T05:42:34Z
com.fasterxml.jackson.corejackson-annotations,"add","","2.6.2",2015-10-24T18:27:53Z
org.apache.lucenelucene-queryparser,"update","6.0.1","6.1.0",2016-11-07T18:22:50Z
org.apache.lucenelucene-queryparser,"update","6.1.0","6.0.1",2016-11-07T18:15:06Z
org.apache.lucenelucene-queryparser,"update","5.3.1","6.1.0",2016-07-08T22:50:07Z
org.apache.lucenelucene-queryparser,"update","5.2.1","5.3.1",2015-10-01T19:46:02Z
org.apache.lucenelucene-queryparser,"update","4.9.0","5.2.1",2015-10-01T15:59:20Z
org.apache.lucenelucene-queryparser,"update","4.5.0","4.9.0",2014-10-22T15:57:36Z
org.apache.lucenelucene-queryparser,"update","4.3.0","4.5.0",2013-10-08T05:42:34Z
com.fasterxml.jackson.datatypejackson-datatype-guava,"remove","2.6.2","",2015-10-25T14:00:38Z
com.fasterxml.jackson.datatypejackson-datatype-guava,"add","","2.6.2",2015-10-24T18:27:53Z
