library,type,old_version,new_version,commit_date
org.apache.commonscommons-lang3,"update","3.2.1","3.1",2017-06-22T01:58:55Z
org.apache.commonscommons-lang3,"add","","3.2.1",2017-06-08T12:53:50Z
com.google.guavaguava,"add","","19.0",2017-06-08T12:53:50Z
org.mybatis.spring.bootmybatis-spring-boot-starter,"add","","1.1.1",2017-06-08T12:53:50Z
com.squareup.okhttp3okhttp,"add","","3.4.1",2017-06-08T12:53:50Z
org.apache.lucenelucene-benchmark,"add","","6.4.0",2017-06-09T11:12:39Z
org.springframework.bootspring-boot-starter-cache,"add","","unknown",2017-06-08T12:53:50Z
org.springframework.bootspring-boot-starter-actuator,"add","","unknown",2017-06-08T12:53:50Z
jdk.toolsjdk.tools,"add","","1.7",2017-06-08T12:53:50Z
commons-iocommons-io,"add","","1.4",2017-06-22T01:58:55Z
org.springframework.bootspring-boot-starter-tomcat,"add","","unknown",2017-06-08T12:53:50Z
org.apache.lucenelucene-memory,"add","","6.4.0",2017-06-12T10:12:55Z
org.springframework.bootspring-boot-starter-test,"add","","unknown",2017-06-08T12:53:50Z
org.springframework.bootspring-boot-starter-web,"add","","unknown",2017-06-08T12:53:50Z
org.apache.httpcomponentshttpasyncclient,"add","","4.0",2017-06-22T01:58:55Z
org.apache.httpcomponentshttpcore-nio,"add","","4.3",2017-06-22T01:58:55Z
com.alibabadruid,"add","","1.0.20",2017-06-08T12:53:50Z
com.alibabafastjson,"add","","1.2.12",2017-06-08T12:53:50Z
org.springframework.bootspring-boot-starter,"add","","unknown",2017-06-08T12:53:50Z
org.apache.commonscommons-collections4,"add","","4.0",2017-06-22T01:58:55Z
org.jsoupjsoup,"add","","1.9.2",2017-06-08T12:53:50Z
org.springframework.bootspring-boot-starter-aop,"add","","unknown",2017-06-08T12:53:50Z
net.sf.ehcacheehcache,"add","","unknown",2017-06-08T12:53:50Z
org.springframeworkspring-aspects,"add","","unknown",2017-06-08T12:53:50Z
org.aspectjaspectjrt,"add","","1.8.10",2017-06-08T12:53:50Z
org.apache.httpcomponentshttpcore,"add","","4.3",2017-06-22T01:58:55Z
mysqlmysql-connector-java,"add","","unknown",2017-06-08T12:53:50Z
org.apache.directory.studioorg.apache.commons.collections,"add","","3.2.1",2017-06-22T01:58:55Z
com.janeluoikanalyzer,"add","","2012_u6",2017-06-12T10:12:55Z
org.springframework.bootspring-boot-starter-freemarker,"add","","unknown",2017-06-08T12:53:50Z
org.springframework.bootspring-boot-starter-redis,"add","","1.0.1.RELEASE",2017-06-08T12:53:50Z
redis.clientsjedis,"add","","unknown",2017-06-08T12:53:50Z
org.aspectjaspectjweaver,"add","","1.8.10",2017-06-08T12:53:50Z
jstljstl,"add","","1.2",2017-06-08T12:53:50Z
de.invesdwininvesdwin-instrument,"add","","1.0.0-SNAPSHOT",2017-06-08T12:53:50Z
