library,type,old_version,new_version,commit_date
com.takinTakinDB-example,"remove","${project.version}","",2017-05-23T15:39:21Z
com.takinTakinDB-example,"add","","${project.version}",2017-05-23T10:16:11Z
ch.qos.logbacklogback-core,"remove","1.1.8","",2017-05-23T10:16:11Z
org.slf4jlog4j-over-slf4j,"remove","1.7.22","",2017-05-23T10:16:11Z
org.slf4jjul-to-slf4j,"remove","1.7.22","",2017-05-23T10:16:11Z
ch.qos.logbacklogback-access,"remove","1.1.8","",2017-05-23T10:16:11Z
com.takinTakinDB-client,"add","","${project.version}",2017-05-23T10:16:11Z
org.testngtestng,"remove","6.10","",2017-05-23T10:17:50Z
org.apache.lucenelucene-core,"update","4.5.1","4.10.4",2017-05-24T16:21:16Z
org.apache.lucenelucene-core,"add","","4.5.1",2017-05-23T15:39:21Z
org.apache.lucenelucene-codecs,"update","4.5.1","4.10.4",2017-05-24T16:21:16Z
org.apache.lucenelucene-codecs,"add","","4.5.1",2017-05-23T15:39:21Z
ch.qos.logbacklogback-classic,"remove","1.1.8","",2017-05-23T10:16:11Z
com.takinTakinDB-server,"add","","${project.version}",2017-05-23T10:16:11Z
org.apache.lucenelucene-analyzers-common,"update","4.5.1","4.10.4",2017-05-24T16:21:16Z
org.apache.lucenelucene-analyzers-common,"add","","4.5.1",2017-05-23T15:39:21Z
org.slf4jjcl-over-slf4j,"remove","1.7.22","",2017-05-23T10:16:11Z
org.jgroupsjgroups,"add","","3.6.12.Final",2017-02-04T07:34:14Z
