library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"update","8.7.0","8.10.0",2021-10-04T20:31:15Z
org.apache.lucenelucene-backward-codecs,"update","8.1.0","8.7.0",2020-12-16T17:13:31Z
org.apache.solrsolr-solrj,"update","8.7.0","8.10.0",2021-10-04T20:31:15Z
org.apache.solrsolr-solrj,"update","8.1.0","8.7.0",2020-12-16T17:13:31Z
org.apache.solrsolr-solrj,"add","","8.1.0",2020-06-18T20:37:37Z
org.apache.lucenelucene-core,"update","8.7.0","8.10.0",2021-10-04T20:31:15Z
org.apache.lucenelucene-core,"update","8.1.0","8.7.0",2020-12-16T17:13:31Z
org.apache.lucenelucene-codecs,"update","8.7.0","8.10.0",2021-10-04T20:31:15Z
org.apache.lucenelucene-codecs,"update","8.1.0","8.7.0",2020-12-16T17:13:31Z
org.apache.solrsolr-core,"update","8.7.0","8.10.0",2021-10-04T20:31:15Z
org.apache.solrsolr-core,"update","8.1.0","8.7.0",2020-12-16T17:13:31Z
org.apache.solrsolr-core,"add","","8.1.0",2020-06-18T20:37:37Z
org.apache.lucenelucene-analyzers-common,"update","8.7.0","8.10.0",2021-10-04T20:31:15Z
org.apache.lucenelucene-analyzers-common,"update","8.1.0","8.7.0",2020-12-16T17:13:31Z
org.apache.lucenelucene-benchmark,"update","8.7.0","8.10.0",2021-10-04T20:31:15Z
org.apache.lucenelucene-benchmark,"update","8.1.0","8.7.0",2020-12-16T17:13:31Z
org.lemurproject.lucindrianalyzer,"update","1.4","1.5",2022-06-28T16:15:38Z
org.lemurproject.lucindrianalyzer,"update","1.3","1.4",2021-10-04T20:31:15Z
org.lemurproject.lucindrianalyzer,"update","1.2","1.3",2021-06-17T17:09:02Z
org.lemurproject.lucindrianalyzer,"update","1.1","1.2",2020-12-16T17:13:31Z
org.lemurproject.lucindrianalyzer,"update","1.0","1.1",2020-06-18T20:37:37Z
org.apache.lucenelucene-queryparser,"update","8.7.0","8.10.0",2021-10-04T20:31:15Z
org.apache.lucenelucene-queryparser,"update","8.1.0","8.7.0",2020-12-16T17:13:31Z
