library,type,old_version,new_version,commit_date
org.lionsouljcseg-core,"update","2.6.2","2.6.3",2020-12-15T14:24:56Z
org.lionsouljcseg-core,"update","2.6.0","2.6.2",2020-02-22T04:26:06Z
org.lionsouljcseg-core,"update","2.5.1","2.6.0",2019-10-16T04:04:05Z
org.lionsouljcseg-core,"update","2.5.0","2.5.1",2019-10-14T02:20:15Z
org.lionsouljcseg-core,"update","2.4.2","2.5.0",2019-09-05T14:53:30Z
org.lionsouljcseg-core,"update","2.4.1","2.4.2",2019-08-24T05:04:27Z
org.lionsouljcseg-core,"update","2.4.0","2.4.1",2019-07-27T04:57:59Z
org.lionsouljcseg-core,"update","2.3.0","2.4.0",2018-07-05T03:51:31Z
org.lionsouljcseg-core,"update","2.2.0","2.3.0",2017-10-03T10:30:31Z
org.lionsouljcseg-core,"update","2.1.1","2.2.0",2017-06-11T02:47:16Z
org.lionsouljcseg-core,"update","2.1.0","2.1.1",2017-04-01T14:45:28Z
org.lionsouljcseg-core,"update","2.0.1","2.1.0",2017-01-09T01:27:30Z
org.lionsouljcseg-core,"update","1.9.9","2.0.1",2016-11-10T03:52:46Z
org.lionsouljcseg-core,"update","${jcseg.version}","1.9.9",2016-07-08T14:23:52Z
org.lionsouljcseg-core,"add","","${jcseg.version}",2016-07-06T11:11:20Z
org.apache.lucenelucene-core,"update","8.7.0","8.10.1",2021-12-14T07:08:55Z
org.apache.lucenelucene-core,"update","8.2.0","8.7.0",2020-12-22T13:11:09Z
org.apache.lucenelucene-core,"update","8.0.0","8.2.0",2019-10-14T02:20:15Z
org.apache.lucenelucene-core,"update","7.3.0","8.0.0",2019-07-26T10:03:34Z
org.apache.lucenelucene-core,"update","6.6.1","7.3.0",2018-04-18T14:43:00Z
org.apache.lucenelucene-core,"update","6.3.0","6.6.1",2017-10-16T14:07:05Z
org.apache.lucenelucene-core,"update","6.0.0","6.3.0",2017-01-08T02:21:54Z
org.apache.lucenelucene-core,"update","5.1.0","6.0.0",2016-04-19T03:34:52Z
org.apache.lucenelucene-core,"update","4.10.4","5.1.0",2015-12-28T07:21:45Z
org.apache.lucenelucene-core,"update","5.1.0","4.10.4",2015-10-23T06:35:43Z
org.apache.lucenelucene-core,"update","4.10.1","5.1.0",2015-05-31T08:34:19Z
org.apache.lucenelucene-core,"update","4.9.0","4.10.1",2014-10-11T08:41:34Z
org.apache.lucenelucene-core,"update","4.6.0","4.9.0",2014-08-14T06:13:41Z
org.apache.lucenelucene-analyzers-common,"update","8.7.0","8.10.1",2021-12-14T07:08:55Z
org.apache.lucenelucene-analyzers-common,"update","8.2.0","8.7.0",2020-12-22T13:11:09Z
org.apache.lucenelucene-analyzers-common,"update","8.0.0","8.2.0",2019-10-14T02:20:15Z
org.apache.lucenelucene-analyzers-common,"update","7.3.0","8.0.0",2019-07-26T10:03:34Z
org.apache.lucenelucene-analyzers-common,"update","6.6.1","7.3.0",2018-04-18T14:43:00Z
org.apache.lucenelucene-analyzers-common,"update","6.3.0","6.6.1",2017-10-16T14:07:05Z
org.apache.lucenelucene-analyzers-common,"update","6.0.0","6.3.0",2017-01-08T02:21:54Z
org.apache.lucenelucene-analyzers-common,"update","5.1.0","6.0.0",2016-04-19T03:34:52Z
org.apache.lucenelucene-analyzers-common,"update","4.10.4","5.1.0",2015-12-28T07:21:45Z
org.apache.lucenelucene-analyzers-common,"update","5.1.0","4.10.4",2015-10-23T06:35:43Z
org.apache.lucenelucene-analyzers-common,"update","4.10.1","5.1.0",2015-05-31T08:34:19Z
org.apache.lucenelucene-analyzers-common,"update","4.9.0","4.10.1",2014-10-11T08:41:34Z
org.apache.lucenelucene-analyzers-common,"update","4.6.0","4.9.0",2014-08-14T06:13:41Z
org.apache.maven.pluginsmaven-resources-plugin,"remove","2.4.3","",2017-05-08T10:30:30Z
org.apache.maven.pluginsmaven-resources-plugin,"add","","2.4.3",2017-05-05T10:21:59Z
org.lionsoul.jcsegjcseg-core,"remove","${jcseg.version}","",2016-07-06T11:11:20Z
org.lionsoul.jcsegjcseg-core,"update","1.9.3","${jcseg.version}",2014-07-13T12:41:00Z
junitjunit,"remove","4.13.1","",2021-12-14T07:08:55Z
junitjunit,"update","3.8.1","4.13.1",2020-10-13T07:55:34Z
