library,type,old_version,new_version,commit_date
org.lionsouljcseg-core,"update","2.6.2","2.6.3",2020-12-15T14:24:56Z
org.lionsouljcseg-core,"update","2.6.0","2.6.2",2020-02-22T04:26:06Z
org.lionsouljcseg-core,"update","2.5.1","2.6.0",2019-10-16T04:04:05Z
org.lionsouljcseg-core,"update","2.5.0","2.5.1",2019-10-14T02:20:15Z
org.lionsouljcseg-core,"update","2.4.2","2.5.0",2019-09-05T14:53:30Z
org.lionsouljcseg-core,"update","2.4.1","2.4.2",2019-08-24T05:04:27Z
org.lionsouljcseg-core,"update","2.4.0","2.4.1",2019-07-27T04:57:59Z
org.lionsouljcseg-core,"update","2.3.0","2.4.0",2018-07-05T03:51:31Z
org.lionsouljcseg-core,"update","2.2.0","2.3.0",2017-10-03T10:30:31Z
org.lionsouljcseg-core,"update","2.1.1","2.2.0",2017-06-11T02:47:16Z
org.lionsouljcseg-core,"update","2.1.0","2.1.1",2017-04-01T14:45:28Z
org.lionsouljcseg-core,"update","2.0.1","2.1.0",2017-01-09T01:27:30Z
org.lionsouljcseg-core,"update","1.9.9","2.0.1",2016-11-10T03:52:46Z
org.lionsouljcseg-core,"update","${jcseg.version}","1.9.9",2016-07-08T14:23:52Z
org.lionsouljcseg-core,"add","","${jcseg.version}",2016-07-06T11:11:20Z
org.lionsoul.jcsegjcseg-analyzer,"remove","${jcseg.version}","",2016-07-06T11:11:20Z
org.elasticsearchelasticsearch,"update","7.4.2","7.10.1",2020-12-22T13:11:56Z
org.elasticsearchelasticsearch,"update","7.4.0","7.4.2",2019-11-17T08:08:26Z
org.elasticsearchelasticsearch,"update","7.2.0","7.4.0",2019-10-14T02:20:15Z
org.elasticsearchelasticsearch,"update","6.2.4","7.2.0",2019-07-26T10:04:19Z
org.elasticsearchelasticsearch,"update","5.6.3","6.2.4",2018-04-18T14:43:00Z
org.elasticsearchelasticsearch,"update","5.1.1","5.6.3",2017-10-16T14:07:05Z
org.elasticsearchelasticsearch,"update","2.3.1","5.1.1",2017-01-08T02:46:31Z
org.elasticsearchelasticsearch,"update","1.7.3","2.3.1",2016-04-19T11:21:11Z
org.elasticsearchelasticsearch,"update","1.5.2","1.7.3",2015-10-23T06:35:43Z
org.elasticsearchelasticsearch,"update","1.3.4","1.5.2",2015-05-31T08:35:54Z
org.elasticsearchelasticsearch,"update","1.2.4","1.3.4",2014-10-11T08:41:34Z
org.elasticsearchelasticsearch,"update","1.2.1","1.2.4",2014-08-14T06:13:41Z
org.lionsouljcseg-analyzer,"update","2.6.2","2.6.3",2020-12-15T14:24:56Z
org.lionsouljcseg-analyzer,"update","2.6.0","2.6.2",2020-02-22T04:26:06Z
org.lionsouljcseg-analyzer,"update","2.5.1","2.6.0",2019-10-16T04:04:05Z
org.lionsouljcseg-analyzer,"update","2.5.0","2.5.1",2019-10-14T02:20:15Z
org.lionsouljcseg-analyzer,"update","2.4.2","2.5.0",2019-09-05T14:53:30Z
org.lionsouljcseg-analyzer,"update","2.4.1","2.4.2",2019-08-24T05:04:27Z
org.lionsouljcseg-analyzer,"update","2.4.0","2.4.1",2019-07-27T04:57:59Z
org.lionsouljcseg-analyzer,"update","2.3.0","2.4.0",2018-07-05T03:51:31Z
org.lionsouljcseg-analyzer,"update","2.2.0","2.3.0",2017-10-16T14:07:05Z
org.lionsouljcseg-analyzer,"update","2.1.1","2.2.0",2017-06-11T02:47:16Z
org.lionsouljcseg-analyzer,"update","2.1.0","2.1.1",2017-04-01T14:45:28Z
org.lionsouljcseg-analyzer,"update","2.0.1","2.1.0",2017-01-09T01:27:30Z
org.lionsouljcseg-analyzer,"update","1.9.9","2.0.1",2016-11-10T03:52:46Z
org.lionsouljcseg-analyzer,"update","${jcseg.version}","1.9.9",2016-07-08T14:23:52Z
org.lionsouljcseg-analyzer,"add","","${jcseg.version}",2016-07-06T11:11:20Z
org.apache.maven.pluginsmaven-resources-plugin,"remove","2.4.3","",2017-05-08T10:30:30Z
org.apache.maven.pluginsmaven-resources-plugin,"add","","2.4.3",2017-05-05T10:21:59Z
org.lionsoul.jcsegjcseg-core,"remove","${jcseg.version}","",2016-07-06T11:11:20Z
junitjunit,"remove","4.13.1","",2021-12-14T07:09:46Z
junitjunit,"update","3.8.1","4.13.1",2020-10-13T07:29:31Z
