library,type,old_version,new_version,commit_date
org.lionsouljcseg-core,"update","2.6.2","2.6.3",2020-12-15T14:24:37Z
org.lionsouljcseg-core,"update","2.6.0","2.6.2",2020-02-22T04:26:06Z
org.lionsouljcseg-core,"update","2.5.1","2.6.0",2019-10-16T04:04:05Z
org.lionsouljcseg-core,"update","2.5.0","2.5.1",2019-10-14T11:17:12Z
org.lionsouljcseg-core,"update","2.4.2","2.5.0",2019-09-05T14:53:30Z
org.lionsouljcseg-core,"update","2.4.1","2.4.2",2019-08-24T05:04:27Z
org.lionsouljcseg-core,"update","2.4.0","2.4.1",2019-07-27T04:57:59Z
org.lionsouljcseg-core,"update","2.3.0","2.4.0",2018-07-05T03:51:31Z
org.lionsouljcseg-core,"update","2.2.0","2.3.0",2017-10-03T10:30:31Z
org.lionsouljcseg-core,"update","2.1.1","2.2.0",2017-06-11T02:47:16Z
org.lionsouljcseg-core,"update","2.1.0","2.1.1",2017-04-01T14:45:28Z
org.lionsouljcseg-core,"update","2.0.1","2.1.0",2017-01-09T01:27:30Z
org.lionsouljcseg-core,"update","1.9.9","2.0.1",2016-11-10T03:52:46Z
org.lionsouljcseg-core,"update","${jcseg.version}","1.9.9",2016-07-08T14:23:52Z
org.lionsouljcseg-core,"add","","${jcseg.version}",2016-07-06T11:11:20Z
org.eclipse.jettyjetty-server,"update","9.4.35.v20201120","9.4.41.v20210516",2021-12-14T07:13:12Z
org.eclipse.jettyjetty-server,"update","9.4.41.v20210516","9.4.35.v20201120",2021-12-14T07:10:07Z
org.eclipse.jettyjetty-server,"update","9.4.35.v20201120","9.4.41.v20210516",2021-06-23T20:51:24Z
org.eclipse.jettyjetty-server,"update","9.4.19.v20190610","9.4.35.v20201120",2020-12-15T14:24:37Z
org.eclipse.jettyjetty-server,"update","9.3.24.v20180605","9.4.19.v20190610",2019-07-26T10:04:19Z
org.eclipse.jettyjetty-server,"update","9.3.21.v20170918","9.3.24.v20180605",2018-11-03T03:36:17Z
org.eclipse.jettyjetty-server,"update","9.3.0.RC0","9.3.21.v20170918",2017-10-16T14:07:05Z
org.apache.maven.pluginsmaven-resources-plugin,"remove","2.4.3","",2017-05-08T10:30:30Z
org.apache.maven.pluginsmaven-resources-plugin,"add","","2.4.3",2017-05-05T10:21:59Z
org.lionsoul.jcsegjcseg-core,"remove","${jcseg.version}","",2016-07-06T11:11:20Z
org.lionsoul.jcsegjcseg-core,"add","","${jcseg.version}",2015-12-01T14:00:12Z
junitjunit,"remove","4.13.1","",2023-01-09T03:19:55Z
junitjunit,"update","3.8.1","4.13.1",2020-10-13T08:39:21Z
