library,type,old_version,new_version,commit_date
org.apache.logging.log4jlog4j-api,"update","2.13.2","2.17.1",2022-02-13T13:30:42Z
org.apache.logging.log4jlog4j-api,"update","2.7","2.13.2",2020-12-20T10:26:42Z
org.apache.logging.log4jlog4j-api,"add","","2.7",2018-07-25T21:23:10Z
com.fasterxml.jackson.corejackson-databind,"update","2.9.10.5","2.9.10.8",2022-02-13T13:31:29Z
com.fasterxml.jackson.corejackson-databind,"update","2.9.10.4","2.9.10.5",2020-09-02T20:11:50Z
com.fasterxml.jackson.corejackson-databind,"update","2.9.10.1","2.9.10.4",2020-04-23T21:04:42Z
com.fasterxml.jackson.corejackson-databind,"update","2.9.9.1","2.9.10.1",2019-12-05T08:46:32Z
com.fasterxml.jackson.corejackson-databind,"update","2.8.11.3","2.9.9.1",2019-07-20T14:21:43Z
com.fasterxml.jackson.corejackson-databind,"update","2.7.4","2.8.11.3",2019-02-10T14:51:06Z
com.fasterxml.jackson.corejackson-databind,"add","","2.7.4",2018-05-18T18:46:42Z
org.elasticsearchelasticsearch,"update","5.6.0","5.6.9",2019-09-13T16:16:36Z
org.elasticsearchelasticsearch,"update","5.2.2","5.6.0",2018-01-02T19:57:13Z
org.elasticsearchelasticsearch,"add","","5.2.2",2017-11-29T21:29:26Z
org.elasticsearch.clientelasticsearch-rest-client,"update","5.6.0","5.6.9",2019-09-13T16:16:36Z
org.elasticsearch.clientelasticsearch-rest-client,"add","","5.6.0",2018-05-18T18:46:42Z
org.apache.httpcomponentshttpcore,"add","","4.4.8",2018-05-18T18:46:42Z
org.apache.lucenelucene-core,"remove","unknown","",2017-11-29T21:29:26Z
commons-iocommons-io,"add","","2.4",2018-05-18T18:46:42Z
org.codelibs.elasticsearch.modulereindex,"update","5.6.0","5.6.9",2019-09-13T16:16:36Z
org.codelibs.elasticsearch.modulereindex,"add","","5.6.0",2018-05-18T18:46:42Z
org.codelibs.elasticsearch.modulelang-painless,"update","5.6.0","5.6.9",2019-09-13T16:16:36Z
org.codelibs.elasticsearch.modulelang-painless,"add","","5.6.0",2018-05-18T18:46:42Z
org.elasticsearch.plugintransport-netty3-client,"update","5.6.0","5.6.9",2019-09-13T16:16:36Z
org.elasticsearch.plugintransport-netty3-client,"add","","5.6.0",2018-07-25T21:23:10Z
org.apache.logging.log4jlog4j-core,"update","2.7","2.13.2",2020-09-02T20:11:59Z
org.apache.logging.log4jlog4j-core,"add","","2.7",2018-07-25T21:23:10Z
junitjunit,"add","","4.12",2018-05-18T18:46:42Z
com.google.collectionsgoogle-collections,"remove","1.0","",2019-09-13T16:16:36Z
com.google.collectionsgoogle-collections,"add","","1.0",2017-11-29T21:29:26Z
