library,type,old_version,new_version,commit_date
org.apache.lucenelucene-core,"update","8.4.0","8.5.0",2021-12-23T09:09:21Z
org.apache.lucenelucene-core,"update","8.3.1","8.4.0",2021-03-22T03:41:13Z
org.apache.lucenelucene-core,"update","8.3.0","8.3.1",2020-12-30T02:59:19Z
org.apache.lucenelucene-core,"update","8.2.0","8.3.0",2019-11-12T03:30:57Z
org.apache.lucenelucene-core,"update","8.1.1","8.2.0",2019-09-27T01:52:45Z
org.apache.lucenelucene-core,"update","8.1.0","8.1.1",2019-07-11T05:51:05Z
org.apache.lucenelucene-core,"update","8.0.0","8.1.0",2019-05-27T02:23:32Z
org.apache.lucenelucene-core,"update","7.7.1","8.0.0",2019-05-15T02:37:29Z
org.apache.lucenelucene-core,"update","7.7.0","7.7.1",2019-02-28T01:46:10Z
org.apache.lucenelucene-core,"update","7.6.0","7.7.0",2019-02-15T06:53:02Z
org.apache.lucenelucene-core,"update","7.5.0","7.6.0",2018-12-26T05:58:46Z
org.apache.lucenelucene-core,"update","7.4.0","7.5.0",2018-10-10T00:51:33Z
org.apache.lucenelucene-core,"update","7.3.0","7.4.0",2018-07-23T05:18:17Z
org.apache.lucenelucene-analyzers-common,"update","8.4.0","8.5.0",2021-12-23T09:09:21Z
org.apache.lucenelucene-analyzers-common,"update","8.3.1","8.4.0",2021-03-22T03:41:13Z
org.apache.lucenelucene-analyzers-common,"update","8.3.0","8.3.1",2020-12-30T02:59:19Z
org.apache.lucenelucene-analyzers-common,"update","8.2.0","8.3.0",2019-11-12T03:30:57Z
org.apache.lucenelucene-analyzers-common,"update","8.1.1","8.2.0",2019-09-27T01:52:45Z
org.apache.lucenelucene-analyzers-common,"update","8.1.0","8.1.1",2019-07-11T05:51:05Z
org.apache.lucenelucene-analyzers-common,"update","8.0.0","8.1.0",2019-05-27T02:23:32Z
org.apache.lucenelucene-analyzers-common,"update","7.7.1","8.0.0",2019-05-15T02:37:29Z
org.apache.lucenelucene-analyzers-common,"update","7.7.0","7.7.1",2019-02-28T01:46:10Z
org.apache.lucenelucene-analyzers-common,"update","7.6.0","7.7.0",2019-02-15T06:53:02Z
org.apache.lucenelucene-analyzers-common,"update","7.5.0","7.6.0",2018-12-26T05:58:46Z
org.apache.lucenelucene-analyzers-common,"update","7.4.0","7.5.0",2018-10-10T00:51:33Z
org.apache.lucenelucene-analyzers-common,"update","7.3.0","7.4.0",2018-07-23T05:18:17Z
org.apache.lucenelucene-queryparser,"update","8.4.0","8.5.0",2021-12-23T09:09:21Z
org.apache.lucenelucene-queryparser,"update","8.3.1","8.4.0",2021-03-22T03:41:13Z
org.apache.lucenelucene-queryparser,"update","8.3.0","8.3.1",2020-12-30T02:59:19Z
org.apache.lucenelucene-queryparser,"update","8.2.0","8.3.0",2019-11-12T03:30:57Z
org.apache.lucenelucene-queryparser,"update","8.1.1","8.2.0",2019-09-27T01:52:45Z
org.apache.lucenelucene-queryparser,"update","8.1.0","8.1.1",2019-07-11T05:51:05Z
org.apache.lucenelucene-queryparser,"update","8.0.0","8.1.0",2019-05-27T02:23:32Z
org.apache.lucenelucene-queryparser,"update","7.7.1","8.0.0",2019-05-15T02:37:29Z
org.apache.lucenelucene-queryparser,"update","7.7.0","7.7.1",2019-02-28T01:46:10Z
org.apache.lucenelucene-queryparser,"update","7.6.0","7.7.0",2019-02-15T06:53:02Z
org.apache.lucenelucene-queryparser,"update","7.5.0","7.6.0",2018-12-26T05:58:46Z
org.apache.lucenelucene-queryparser,"update","7.4.0","7.5.0",2018-10-10T00:51:33Z
org.apache.lucenelucene-queryparser,"update","7.3.0","7.4.0",2018-07-23T05:18:17Z
junitjunit,"remove","4.13.1","",2021-12-23T06:30:10Z
junitjunit,"update","4.11","4.13.1",2020-10-13T07:05:33Z
