library,type,old_version,new_version,commit_date
org.apache.solrsolr-solrj,"remove","6.1.0","",2017-11-15T01:29:46Z
org.apache.solrsolr-solrj,"update","5.4.0","6.1.0",2016-06-24T18:09:10Z
org.apache.solrsolr-solrj,"update","4.10.3","5.4.0",2016-01-08T19:01:40Z
org.apache.solrsolr-solrj,"update","4.8.0","4.10.3",2015-01-11T13:33:03Z
org.apache.solrsolr-solrj,"update","4.8.1","4.8.0",2014-08-24T20:35:46Z
org.apache.solrsolr-solrj,"update","4.8.0","4.8.1",2014-08-14T20:01:28Z
org.apache.solrsolr-solrj,"update","4.8.1","4.8.0",2014-06-24T20:29:45Z
org.apache.solrsolr-solrj,"update","4.7.2","4.8.1",2014-06-16T22:00:27Z
org.apache.solrsolr-solrj,"add","","4.7.2",2014-05-16T06:23:04Z
org.apache.commonscommons-lang3,"update","3.3.2","3.4",2016-02-15T11:45:40Z
org.apache.commonscommons-lang3,"add","","3.3.2",2014-07-14T20:25:18Z
org.apache.tikatika-parsers,"update","1.15","1.18",2023-02-28T23:02:17Z
org.apache.tikatika-parsers,"add","","1.15",2017-10-01T18:23:31Z
org.apache.lucenelucene-highlighter,"update","6.6.2","7.4.0",2018-08-20T14:19:30Z
org.apache.lucenelucene-highlighter,"update","6.1.0","6.6.2",2017-11-15T01:29:46Z
org.apache.lucenelucene-highlighter,"update","5.4.0","6.1.0",2016-06-24T18:09:10Z
org.apache.lucenelucene-highlighter,"update","4.10.3","5.4.0",2016-01-08T19:01:40Z
org.apache.lucenelucene-highlighter,"update","4.8.0","4.10.3",2015-01-11T13:33:03Z
org.apache.lucenelucene-highlighter,"update","4.8.1","4.8.0",2014-08-24T20:35:46Z
org.apache.lucenelucene-highlighter,"update","4.8.0","4.8.1",2014-08-14T20:01:28Z
org.apache.lucenelucene-highlighter,"update","4.8.1","4.8.0",2014-06-24T20:29:45Z
org.apache.lucenelucene-highlighter,"update","4.7.2","4.8.1",2014-06-16T22:00:27Z
org.apache.lucenelucene-highlighter,"update","4.6.0","4.7.2",2014-05-16T06:23:04Z
org.apache.lucenelucene-highlighter,"add","","4.6.0",2013-12-31T02:39:19Z
org.apache.httpcomponentshttpclient,"remove","4.3.4","",2016-02-15T11:45:40Z
org.apache.httpcomponentshttpclient,"add","","4.3.4",2014-06-30T01:27:31Z
org.apache.lucenelucene-benchmark,"update","6.6.2","7.4.0",2018-08-20T14:19:30Z
org.apache.lucenelucene-benchmark,"update","6.1.0","6.6.2",2017-11-15T01:29:46Z
org.apache.lucenelucene-benchmark,"add","","6.1.0",2016-06-28T19:07:02Z
org.jsoupjsoup,"update","1.10.3","[1.14.2,)",2022-02-21T17:52:34Z
org.jsoupjsoup,"add","","1.10.3",2017-11-02T00:50:42Z
org.apache.tikatika-app,"remove","1.14","",2017-10-01T18:23:31Z
org.apache.tikatika-app,"update","1.11","1.14",2016-11-19T00:10:46Z
org.apache.tikatika-app,"update","1.5","1.11",2016-02-15T11:45:40Z
org.apache.tikatika-app,"update","1.4","1.5",2014-06-16T22:00:27Z
org.apache.tikatika-app,"add","","1.4",2013-09-07T23:52:15Z
org.apache.commonscommons-compress,"update","1.18","1.21",2022-02-21T17:15:18Z
org.apache.commonscommons-compress,"update","1.14","1.18",2019-04-01T17:09:38Z
org.apache.commonscommons-compress,"add","","1.14",2017-10-01T18:23:31Z
com.thoughtworks.xstreamxstream,"remove","1.4.7","",2016-02-15T11:45:40Z
com.thoughtworks.xstreamxstream,"add","","1.4.7",2014-06-18T21:47:23Z
