library,type,old_version,new_version,commit_date
com.sun.jerseyjersey-json,"add","","1.1.4",2010-01-08T11:13:59Z
org.mozilla.universalchardetjuniversalcharset,"remove","1.0.3","",2014-04-24T09:43:14Z
org.mozilla.universalchardetjuniversalcharset,"add","","1.0.3",2011-06-22T18:26:31Z
org.jdomjdom,"remove","1.1","",2010-11-20T11:50:01Z
org.jdomjdom,"add","","1.1",2010-11-06T11:34:43Z
com.google.guavaguava,"add","","14.0.1",2013-05-01T10:22:17Z
args4jargs4j,"update","2.0.8","2.0.14",2009-07-29T17:21:07Z
args4jargs4j,"add","","2.0.8",2009-06-04T23:23:46Z
org.apache.lucenelucene-analyzers-icu,"update","4.1.0","4.10.4",2015-12-08T14:35:02Z
org.apache.lucenelucene-analyzers-icu,"add","","4.1.0",2014-10-09T08:05:29Z
jcsjcs,"remove","1.3","",2011-01-12T11:26:27Z
jcsjcs,"add","","1.3",2010-12-20T16:48:14Z
org.apache.commonscommons-compress,"add","","1.0",2009-07-19T17:44:42Z
org.musicbrainz.mmd2mmd2,"add","","2.0.0",2010-01-08T11:13:59Z
org.apache.lucenelucene-queryparser,"update","4.1.0","4.10.4",2015-12-08T14:35:02Z
org.apache.lucenelucene-queryparser,"add","","4.1.0",2013-02-26T07:37:58Z
org.apache.lucenelucene-core,"update","4.1.0","4.10.4",2015-12-08T14:35:02Z
org.apache.lucenelucene-core,"update","3.6.0","4.1.0",2013-02-26T07:37:58Z
org.apache.lucenelucene-core,"update","3.5.0","3.6.0",2012-04-26T21:32:50Z
org.apache.lucenelucene-core,"update","3.4.0","3.5.0",2012-02-03T10:09:59Z
org.apache.lucenelucene-core,"update","3.1.0","3.4.0",2011-10-20T13:13:44Z
org.apache.lucenelucene-core,"update","3.0.3","3.1.0",2011-05-03T19:05:17Z
org.apache.lucenelucene-core,"update","3.0.1","3.0.3",2010-12-09T17:32:11Z
org.apache.lucenelucene-core,"update","3.0.0","3.0.1",2010-03-19T11:39:55Z
org.apache.lucenelucene-core,"update","2.9.1","3.0.0",2009-11-30T17:38:27Z
org.apache.lucenelucene-core,"update","2.9.0","2.9.1",2009-11-17T11:34:07Z
org.apache.lucenelucene-core,"update","2.9-SNAPSHOT","2.9.0",2009-09-28T10:57:49Z
org.apache.lucenelucene-core,"update","2.9.0","2.9-SNAPSHOT",2009-05-21T14:12:42Z
org.apache.lucenelucene-core,"update","2.4.0","2.9.0",2009-05-15T13:30:36Z
org.apache.lucenelucene-analyzers-common,"update","4.1.0","4.10.4",2015-12-08T14:35:02Z
org.apache.lucenelucene-analyzers-common,"add","","4.1.0",2013-02-26T07:37:58Z
org.mozillauniversalchardet,"remove","1.0.3","",2011-06-22T18:26:31Z
org.mozillauniversalchardet,"add","","1.0.3",2011-02-14T22:27:43Z
com.h2databaseh2,"update","1.1.117","1.2.140",2010-08-05T12:34:09Z
com.h2databaseh2,"add","","1.1.117",2009-08-10T21:26:10Z
com.sun.xml.bindjaxb-impl,"add","","2.1.12",2010-01-08T11:13:59Z
com.ibm.icuicu4j,"update","4.0.1","56.1",2015-12-23T05:41:13Z
com.ibm.icuicu4j,"add","","4.0.1",2009-09-08T19:43:51Z
com.googlecode.juniversalchardetjuniversalchardet,"add","","1.0.3",2014-04-24T09:43:14Z
org.apache.derbyderby,"remove","10.4.2.0","",2009-08-10T21:26:10Z
org.apache.derbyderby,"add","","10.4.2.0",2009-08-04T15:19:24Z
junitjunit,"update","3.8.1","4.10",2012-03-29T21:06:16Z
