library,type,old_version,new_version,commit_date
com.sun.jerseyjersey-json,"update","1.1.4","1.12",2012-07-13T12:47:10Z
com.sun.jerseyjersey-json,"update","1.1.2-ea","1.1.4",2009-11-17T11:29:49Z
com.sun.jerseyjersey-json,"add","","1.1.2-ea",2009-11-04T21:00:01Z
com.google.guavaguava,"add","","14.0.1",2013-05-01T10:22:17Z
org.apache.lucenelucene-analyzers-icu,"update","4.1.0","4.10.4",2015-12-08T14:35:02Z
org.apache.lucenelucene-analyzers-icu,"add","","4.1.0",2014-10-09T08:05:29Z
org.musicbrainz.mmd2mmd2,"add","","2.0.0",2009-10-16T13:33:58Z
org.eclipse.persistenceeclipselink,"add","","2.5.0-SNAPSHOT",2012-07-13T12:47:10Z
org.apache.lucenelucene-queryparser,"update","4.1.0","4.10.4",2015-12-08T14:35:02Z
org.apache.lucenelucene-queryparser,"add","","4.1.0",2013-02-26T07:37:58Z
com.jthink.brainzmmd,"update","1.3.1","1.4.0",2009-06-26T12:54:14Z
com.jthink.brainzmmd,"add","","1.3.1",2009-05-28T11:40:58Z
org.apache.lucenelucene-core,"update","4.1.0","4.10.4",2015-12-08T14:35:02Z
org.apache.lucenelucene-core,"update","3.6.0","4.1.0",2013-02-26T07:37:58Z
org.apache.lucenelucene-core,"update","3.5.0","3.6.0",2012-04-26T21:32:50Z
org.apache.lucenelucene-core,"update","3.4.0","3.5.0",2012-02-03T10:09:59Z
org.apache.lucenelucene-core,"update","3.1.0","3.4.0",2011-10-20T13:13:44Z
org.apache.lucenelucene-core,"update","3.0.3","3.1.0",2011-05-03T19:05:17Z
org.apache.lucenelucene-core,"update","3.0.1","3.0.3",2010-12-09T17:32:11Z
org.apache.lucenelucene-core,"update","3.0.0","3.0.1",2010-03-19T11:39:55Z
org.apache.lucenelucene-core,"update","2.9.1","3.0.0",2009-11-30T17:38:27Z
org.apache.lucenelucene-core,"update","2.9.0","2.9.1",2009-11-17T11:34:07Z
org.apache.lucenelucene-core,"update","2.9-SNAPSHOT","2.9.0",2009-09-28T10:57:49Z
org.apache.lucenelucene-core,"update","2.9.0","2.9-SNAPSHOT",2009-05-21T14:12:42Z
org.apache.lucenelucene-core,"update","2.4.0","2.9.0",2009-05-15T13:30:36Z
org.tuckeyurlrewritefilter,"update","3.1.0","3.2.0",2012-03-02T14:41:12Z
org.tuckeyurlrewritefilter,"add","","3.1.0",2009-08-14T12:08:49Z
org.musicbrainz.searchindex,"update","1.0-SNAPSHOT","2.0-SNAPSHOT",2009-09-30T16:28:53Z
org.apache.lucenelucene-analyzers-common,"update","4.1.0","4.10.4",2015-12-08T14:35:02Z
org.apache.lucenelucene-analyzers-common,"add","","4.1.0",2013-02-26T07:37:58Z
org.apache.velocityvelocity,"remove","1.6.2","",2009-11-04T21:00:01Z
org.apache.velocityvelocity,"add","","1.6.2",2009-07-27T22:09:17Z
com.sun.xml.bindjaxb-impl,"update","2.1.12","2.2.5",2012-07-13T12:47:10Z
com.sun.xml.bindjaxb-impl,"update","2.0.5","2.1.12",2009-10-16T13:33:58Z
com.sun.xml.bindjaxb-impl,"add","","2.0.5",2009-05-28T11:40:58Z
junitjunit,"update","3.8.1","4.10",2012-03-29T22:22:41Z
