library,type,old_version,new_version,commit_date
org.apache.poipoi-ooxml,"add","","3.8",2018-11-01T16:33:54Z
org.apache.poipoi-ooxml-schemas,"add","","3.8",2018-11-01T16:33:54Z
org.apache.lucenelucene-core,"update","4.6.1","2.3.2",2018-10-23T12:57:34Z
org.apache.lucenelucene-core,"update","5.3.1","4.6.1",2018-10-21T10:36:33Z
org.apache.lucenelucene-highlighter,"update","4.6.1","2.3.2",2018-10-23T12:57:34Z
org.apache.lucenelucene-highlighter,"update","5.3.1","4.6.1",2018-10-21T10:36:33Z
org.apache.lucenelucene-analyzers-smartcn,"update","2.3.2","4.4.0",2018-11-02T06:24:41Z
org.apache.lucenelucene-analyzers-smartcn,"update","4.6.1","2.3.2",2018-10-23T12:57:34Z
org.apache.lucenelucene-analyzers-smartcn,"update","5.3.1","4.6.1",2018-10-21T10:36:33Z
org.apache.lucenelucene-analyzers-common,"update","4.6.1","4.0.0",2018-10-23T12:57:34Z
org.apache.lucenelucene-analyzers-common,"update","5.3.1","4.6.1",2018-10-21T10:36:33Z
org.apache.poipoi-scratchpad,"add","","3.8",2018-11-01T16:33:54Z
org.apache.pdfboxpdfbox-app,"add","","2.0.2",2018-11-01T16:33:54Z
org.apache.lucenelucene-queryparser,"remove","2.3.2","",2018-11-02T06:24:41Z
org.apache.lucenelucene-queryparser,"update","4.6.1","2.3.2",2018-10-23T12:57:34Z
org.apache.lucenelucene-queryparser,"update","5.3.1","4.6.1",2018-10-21T10:36:33Z
org.apache.poipoi,"add","","3.8",2018-11-01T16:33:54Z
