library,type,old_version,new_version,commit_date
edu.stanford.nlpstanford-corenlp,"update","4.5.5","4.5.6",2024-02-16T04:18:49Z
edu.stanford.nlpstanford-corenlp,"update","4.5.4","4.5.5",2023-10-24T09:26:09Z
edu.stanford.nlpstanford-corenlp,"update","4.5.1","4.5.4",2023-04-26T10:14:51Z
edu.stanford.nlpstanford-corenlp,"update","4.5.0","4.5.1",2022-10-13T09:33:18Z
edu.stanford.nlpstanford-corenlp,"update","4.4.0","4.5.0",2022-08-08T15:23:33Z
org.apache.solrsolr-solrj,"update","9.2.0","9.2.1",2023-05-02T06:49:59Z
org.apache.solrsolr-solrj,"update","8.11.1","9.2.0",2023-04-26T09:52:40Z
com.fasterxml.jackson.corejackson-databind,"update","2.16.0","2.16.1",2024-02-15T19:59:57Z
com.fasterxml.jackson.corejackson-databind,"update","2.15.3","2.16.0",2023-12-18T04:53:29Z
com.fasterxml.jackson.corejackson-databind,"update","2.15.2","2.15.3",2023-10-13T04:12:18Z
com.fasterxml.jackson.corejackson-databind,"update","2.14.2","2.15.2",2023-07-03T08:44:16Z
com.fasterxml.jackson.corejackson-databind,"update","2.15.0","2.14.2",2023-04-26T10:31:13Z
com.fasterxml.jackson.corejackson-databind,"update","2.14.2","2.15.0",2023-04-26T10:15:07Z
com.fasterxml.jackson.corejackson-databind,"update","2.14.0","2.14.2",2023-03-20T13:19:38Z
com.fasterxml.jackson.corejackson-databind,"update","2.13.4.1","2.14.0",2022-11-18T21:45:02Z
com.fasterxml.jackson.corejackson-databind,"update","2.13.3","2.13.4.1",2022-10-13T09:32:20Z
org.apache.commonscommons-lang3,"update","3.13.0","3.14.0",2023-12-18T04:53:34Z
org.apache.commonscommons-lang3,"update","3.12.0","3.13.0",2023-07-28T04:09:55Z
com.google.guavaguava,"update","23.0","[24.1.1,)",2022-05-25T10:02:24Z
org.slf4jslf4j-api,"update","2.0.9","2.0.12",2024-02-16T04:18:39Z
org.slf4jslf4j-api,"update","2.0.7","2.0.9",2023-09-04T04:40:37Z
org.slf4jslf4j-api,"update","2.0.6","2.0.7",2023-03-29T13:35:15Z
org.slf4jslf4j-api,"update","2.0.3","2.0.6",2023-03-20T13:19:15Z
org.slf4jslf4j-api,"update","1.7.36","2.0.3",2022-10-13T09:32:45Z
org.restlet.jeeorg.restlet,"update","2.4.0","2.4.3",2022-05-27T12:47:59Z
org.restlet.jeeorg.restlet,"update","2.4.3","2.4.0",2022-05-25T10:02:24Z
org.projectlomboklombok,"update","1.18.28","1.18.30",2023-09-20T04:38:08Z
