library,type,old_version,new_version,commit_date
com.fasterxml.jackson.corejackson-databind,"add","","unknown",2014-12-11T12:03:38Z
commons-loggingcommons-logging,"remove","unknown","",2014-12-11T09:57:10Z
commons-loggingcommons-logging,"add","","unknown",2014-05-09T03:51:23Z
${project.groupId}analyzer-paoding,"remove","${project.version}","",2017-03-30T12:40:00Z
${project.groupId}analyzer-paoding,"add","","${project.version}",2014-05-09T03:51:23Z
ch.qos.logbacklogback-core,"add","","unknown",2014-12-11T12:03:38Z
org.slf4jslf4j-log4j12,"remove","unknown","",2014-12-11T09:57:10Z
org.slf4jslf4j-log4j12,"add","","unknown",2014-05-09T03:51:23Z
org.slf4jslf4j-api,"add","","unknown",2014-05-09T03:51:23Z
${project.groupId}analyzer-smallseg,"remove","${project.version}","",2017-03-30T12:40:00Z
${project.groupId}analyzer-smallseg,"add","","${project.version}",2014-05-09T03:51:23Z
${project.groupId}analyzer-ik,"add","","${project.version}",2014-05-09T03:51:23Z
${project.groupId}analyzer-fudan,"remove","${project.version}","",2017-03-30T12:40:00Z
${project.groupId}analyzer-fudan,"add","","${project.version}",2014-05-09T03:51:23Z
ch.qos.logbacklogback-access,"add","","unknown",2014-12-11T12:03:38Z
org.codehaus.jacksonjackson-core-asl,"remove","unknown","",2014-12-11T12:03:38Z
org.codehaus.jacksonjackson-core-asl,"add","","unknown",2014-05-09T03:51:23Z
org.apache.lucenelucene-core,"add","","unknown",2014-12-11T12:03:38Z
${project.groupId}analyzer-imdict,"remove","${project.version}","",2017-03-30T12:40:00Z
${project.groupId}analyzer-imdict,"add","","${project.version}",2014-05-09T03:51:23Z
${project.groupId}analyzer-mmseg4j,"add","","${project.version}",2014-05-09T03:51:23Z
ch.qos.logbacklogback-classic,"add","","unknown",2014-12-11T12:03:38Z
org.restlet.jseorg.restlet.ext.simple,"remove","unknown","",2014-12-11T12:03:38Z
com.fasterxml.jackson.corejackson-annotations,"add","","unknown",2014-12-11T12:03:38Z
com.googlecode.objectifyobjectify,"update","4.1.3","unknown",2014-12-28T07:25:28Z
${project.groupId}analyzer-ictclas4j,"remove","${project.version}","",2017-03-30T12:40:00Z
${project.groupId}analyzer-ictclas4j,"add","","${project.version}",2014-05-09T03:51:23Z
org.codehaus.jacksonjackson-mapper-asl,"add","","unknown",2014-05-09T03:51:23Z
