library,type,old_version,new_version,commit_date
com.vaadinvaadin-spring-boot-starter,"add","","unknown",2022-04-16T20:50:39Z
org.apache.lucenelucene-analyzers-smartcn,"update","8.9.0","8.11.2",2022-08-10T17:25:35Z
org.apache.lucenelucene-analyzers-smartcn,"add","","8.9.0",2022-04-16T20:50:39Z
org.apache.lucenelucene-analyzers-morfologik,"update","8.9.0","8.11.2",2022-08-10T17:25:35Z
org.apache.lucenelucene-analyzers-morfologik,"add","","8.9.0",2022-04-16T20:50:39Z
org.apache.lucenelucene-analyzers-kuromoji,"update","8.9.0","8.11.2",2022-08-10T17:25:35Z
org.apache.lucenelucene-analyzers-kuromoji,"add","","8.9.0",2022-04-16T20:50:39Z
org.apache.lucenelucene-analyzers-icu,"update","8.9.0","8.11.2",2022-08-10T17:25:35Z
org.apache.lucenelucene-analyzers-icu,"add","","8.9.0",2021-06-21T04:37:31Z
com.vaadinvaadin-bom,"add","","23.0.4",2022-04-16T20:50:39Z
com.vaadinvaadin-testbench,"add","","unknown",2022-04-16T20:50:39Z
org.junit.vintagejunit-vintage-engine,"add","","unknown",2022-04-16T20:50:39Z
org.apache.lucenelucene-core,"update","8.9.0","8.11.2",2022-08-10T17:25:35Z
org.apache.lucenelucene-core,"update","8.6.2","8.9.0",2021-06-21T04:37:31Z
org.apache.lucenelucene-analyzers-phonetic,"update","8.9.0","8.11.2",2022-08-10T17:25:35Z
org.apache.lucenelucene-analyzers-phonetic,"add","","8.9.0",2021-06-21T04:37:31Z
org.jsonjson,"update","20210307","unknown",2022-04-16T20:50:39Z
org.jsonjson,"add","","20210307",2021-06-21T04:37:31Z
org.apache.lucenelucene-analyzers-common,"update","8.9.0","8.11.2",2022-08-10T17:25:35Z
org.apache.lucenelucene-analyzers-common,"update","8.6.2","8.9.0",2021-06-21T04:37:31Z
io.github.bonigarciawebdrivermanager,"add","","5.0.3",2022-04-16T20:50:39Z
org.springframework.bootspring-boot-starter-validation,"add","","unknown",2022-04-16T20:50:39Z
org.springframework.bootspring-boot-starter-test,"add","","unknown",2022-04-16T20:50:39Z
org.springframework.bootspring-boot-devtools,"add","","unknown",2022-04-16T20:50:39Z
org.apache.lucenelucene-analyzers-nori,"update","8.9.0","8.11.2",2022-08-10T17:25:35Z
org.apache.lucenelucene-analyzers-nori,"add","","8.9.0",2022-04-16T20:50:39Z
com.vaadinvaadin,"add","","unknown",2022-04-16T20:50:39Z
com.vaadin.componentfactorysvg,"add","","1.1.1",2022-08-10T17:25:35Z
junitjunit,"remove","4.11","",2022-04-16T20:50:39Z
