library,type,old_version,new_version,commit_date
org.apache.solrsolr-core,"update","5.3.1","5.4.1",2016-02-04T15:17:46Z
org.apache.solrsolr-core,"update","4.9.0","5.3.1",2015-12-05T18:43:24Z
org.apache.solrsolr-core,"update","4.3.1","4.9.0",2014-07-30T16:39:30Z
org.apache.solrsolr-core,"update","4.2.0","4.3.1",2013-07-07T13:51:52Z
org.elasticsearchelasticsearch,"update","2.2.0","2.2.1",2016-03-23T16:39:42Z
org.elasticsearchelasticsearch,"update","2.1.2","2.2.0",2016-02-04T15:17:46Z
org.elasticsearchelasticsearch,"update","2.1.1","2.1.2",2016-02-04T13:31:44Z
org.elasticsearchelasticsearch,"update","2.1.0","2.1.1",2016-02-01T14:37:08Z
org.elasticsearchelasticsearch,"update","1.3.0","2.1.0",2015-12-05T18:43:24Z
org.elasticsearchelasticsearch,"update","0.90.10","1.3.0",2014-07-30T16:39:30Z
org.elasticsearchelasticsearch,"update","0.90.2","0.90.10",2014-02-08T12:39:21Z
org.elasticsearchelasticsearch,"add","","0.90.2",2013-08-01T08:51:00Z
org.mockitomockito-all,"add","","1.9.5",2013-04-13T20:27:24Z
