library,type,old_version,new_version,commit_date
org.eclipse.jettyjetty-servlet,"update","9.4.16.v20190411","unknown",2019-07-26T14:13:52Z
org.eclipse.jettyjetty-servlet,"update","unknown","9.4.16.v20190411",2019-07-26T14:08:13Z
org.eclipse.jettyjetty-servlet,"update","9.4.16.v20190411","unknown",2019-07-26T09:32:34Z
org.eclipse.jettyjetty-servlet,"add","","9.4.16.v20190411",2019-05-24T12:09:09Z
org.apache.dubbodubbo-spring-boot-starter,"update","2.7.1","unknown",2019-07-26T14:13:52Z
org.apache.dubbodubbo-spring-boot-starter,"update","unknown","2.7.1",2019-07-26T14:08:13Z
org.apache.dubbodubbo-spring-boot-starter,"update","2.7.1","unknown",2019-07-26T09:32:34Z
org.eclipse.jettyjetty-server,"update","9.4.16.v20190411","unknown",2019-07-26T14:13:52Z
org.eclipse.jettyjetty-server,"update","unknown","9.4.16.v20190411",2019-07-26T14:08:13Z
org.eclipse.jettyjetty-server,"update","9.4.16.v20190411","unknown",2019-07-26T09:32:34Z
org.eclipse.jettyjetty-server,"add","","9.4.16.v20190411",2019-05-24T12:09:09Z
org.jboss.resteasyresteasy-jaxrs,"update","3.6.2.Final","unknown",2019-07-26T14:13:52Z
org.jboss.resteasyresteasy-jaxrs,"update","unknown","3.6.2.Final",2019-07-26T14:08:13Z
org.jboss.resteasyresteasy-jaxrs,"update","3.6.2.Final","unknown",2019-07-26T09:32:34Z
org.jboss.resteasyresteasy-jaxrs,"add","","3.6.2.Final",2019-05-24T12:09:09Z
org.eclipse.jettyjetty-util,"update","9.4.16.v20190411","unknown",2019-07-26T14:13:52Z
org.eclipse.jettyjetty-util,"update","unknown","9.4.16.v20190411",2019-07-26T14:08:13Z
org.eclipse.jettyjetty-util,"update","9.4.16.v20190411","unknown",2019-07-26T09:32:34Z
org.eclipse.jettyjetty-util,"add","","9.4.16.v20190411",2019-05-24T12:09:09Z
org.jboss.resteasyresteasy-spring-boot-starter,"add","","unknown",2019-07-26T14:13:52Z
org.jboss.resteasyresteasy-spring-boot-starter,"remove","unknown","",2019-07-26T14:08:13Z
org.jboss.resteasyresteasy-spring-boot-starter,"update","2.0.1.Final","unknown",2019-07-26T09:32:34Z
org.jboss.resteasyresteasy-spring-boot-starter,"add","","2.0.1.Final",2019-05-24T12:09:09Z
