library,type,old_version,new_version,commit_date
com.baomidoumybatis-plus,"remove","3.1.1","",2019-07-26T08:18:38Z
org.springframework.bootspring-boot-starter-data-redis,"update","2.1.3.RELEASE","unknown",2019-07-26T09:32:34Z
org.springframework.bootspring-boot-starter-data-redis,"add","","2.1.3.RELEASE",2019-05-31T10:30:44Z
org.mybatis.spring.bootmybatis-spring-boot-starter,"update","2.0.1","unknown",2019-07-26T09:32:34Z
org.mybatis.spring.bootmybatis-spring-boot-starter,"add","","2.0.1",2019-07-26T08:18:38Z
org.mybatis.spring.bootmybatis-spring-boot-starter,"remove","2.0.1","",2019-05-30T11:42:11Z
com.alibabadruid,"add","","1.1.17",2019-07-26T08:18:38Z
com.baomidoumybatis-plus-boot-starter,"update","3.1.1","unknown",2019-07-26T09:32:34Z
com.baomidoumybatis-plus-boot-starter,"add","","3.1.1",2019-05-30T11:42:11Z
com.alibabafastjson,"update","1.2.58","unknown",2019-07-26T09:32:34Z
com.alibabafastjson,"add","","1.2.58",2019-07-26T08:18:38Z
org.springframework.bootspring-boot-starter-cache,"update","2.1.5.RELEASE","unknown",2019-07-26T09:32:34Z
org.springframework.bootspring-boot-starter-cache,"add","","2.1.5.RELEASE",2019-07-26T08:18:38Z
mysqlmysql-connector-java,"remove","8.0.16","",2019-05-30T11:42:11Z
org.apache.shiroshiro-spring-boot-web-starter,"remove","1.4.1","",2019-07-26T08:18:38Z
org.apache.shiroshiro-spring-boot-web-starter,"add","","1.4.1",2019-05-31T15:12:51Z
io.shardingspheresharding-jdbc-spring-boot-starter,"update","3.1.0","unknown",2019-07-26T09:32:34Z
io.shardingspheresharding-jdbc-spring-boot-starter,"add","","3.1.0",2019-07-26T08:18:38Z
org.apache.commonscommons-pool2,"update","2.6.2","unknown",2019-07-26T09:32:34Z
org.apache.commonscommons-pool2,"add","","2.6.2",2019-05-31T10:30:44Z
org.postgresqlpostgresql,"add","","unknown",2019-05-30T11:42:11Z
org.springframework.bootspring-boot-starter-web,"add","","unknown",2019-07-26T08:18:38Z
org.springframework.bootspring-boot-starter-web,"remove","unknown","",2019-05-31T15:12:51Z
org.springframework.bootspring-boot-starter-web,"add","","unknown",2019-05-30T11:42:11Z
com.github.pagehelperpagehelper,"add","","5.1.10",2019-09-19T11:41:01Z
