library,type,old_version,new_version,commit_date
org.springframework.cloudspring-cloud-starter-consul-discovery,"add","","2.1.2.RELEASE",2019-07-26T09:32:34Z
org.springframework.bootspring-boot-starter-integration,"add","","2.1.4.RELEASE",2019-07-26T09:32:34Z
com.github.ulisesbocchiojasypt-spring-boot-starter,"add","","1.16",2019-07-26T09:32:34Z
com.fasterxml.jackson.corejackson-databind,"update","2.9.9","2.10.0.pr1",2020-10-19T08:41:53Z
com.fasterxml.jackson.corejackson-databind,"update","2.10.0.pr1","2.9.9",2020-10-13T16:09:11Z
com.fasterxml.jackson.corejackson-databind,"update","2.9.9","2.10.0.pr1",2020-06-18T16:45:56Z
com.fasterxml.jackson.corejackson-databind,"add","","2.9.9",2019-07-26T09:32:34Z
com.spring4allswagger-spring-boot-starter,"add","","1.9.0.RELEASE",2019-07-26T09:32:34Z
org.apache.dubbodubbo,"add","","2.7.1",2019-05-21T12:11:01Z
org.springframework.bootspring-boot-starter-data-redis,"add","","2.1.3.RELEASE",2019-07-26T09:32:34Z
org.mybatis.spring.bootmybatis-spring-boot-starter,"add","","2.0.1",2019-07-26T09:32:34Z
org.springframework.cloudspring-cloud-starter-netflix-zuul,"add","","2.1.2.RELEASE",2019-09-19T11:41:01Z
org.apache.curatorcurator-framework,"add","","4.2.0",2019-05-21T12:11:01Z
org.springframework.bootspring-boot-dependencies,"add","","2.1.1.RELEASE",2019-05-21T12:11:01Z
org.springframework.bootspring-boot-starter-cache,"add","","2.1.5.RELEASE",2019-07-26T09:32:34Z
org.projectlomboklombok,"add","","1.18.8",2019-05-22T11:21:50Z
org.springframework.cloudspring-cloud-starter-netflix-hystrix,"add","","2.1.2.RELEASE",2019-07-26T09:32:34Z
org.springframework.integrationspring-integration-jdbc,"add","","5.1.4.RELEASE",2019-07-26T09:32:34Z
org.jboss.resteasyresteasy-jaxrs,"add","","3.6.2.Final",2019-07-26T09:32:34Z
org.springframework.bootspring-boot-starter-actuator,"add","","2.1.5.RELEASE",2019-07-26T09:32:34Z
org.apache.shiroshiro-spring-boot-web-starter,"add","","1.4.1",2019-07-26T09:32:34Z
io.shardingspheresharding-jdbc-spring-boot-starter,"add","","3.1.0",2019-07-26T09:32:34Z
commons-iocommons-io,"update","2.6","2.7",2022-10-02T01:43:38Z
commons-iocommons-io,"update","2.7","2.6",2022-06-17T02:28:25Z
commons-iocommons-io,"update","2.6","2.7",2021-04-26T19:31:10Z
commons-iocommons-io,"add","","2.6",2019-05-21T12:11:01Z
org.springframework.cloudspring-cloud-starter,"add","","2.1.2.RELEASE",2019-07-26T09:32:34Z
org.apache.commonscommons-csv,"add","","1.6",2019-07-26T09:32:34Z
org.apache.commonscommons-pool2,"add","","2.6.2",2019-07-26T09:32:34Z
org.apache.curatorcurator-recipes,"add","","4.2.0",2019-05-21T12:11:01Z
org.springframework.cloudspring-cloud-starter-netflix-hystrix-dashboard,"add","","2.1.3.RELEASE",2019-09-19T11:41:01Z
org.eclipse.jettyjetty-util,"update","9.4.16.v20190411","9.4.32.v20200930",2020-10-19T09:59:13Z
org.eclipse.jettyjetty-util,"add","","9.4.16.v20190411",2019-07-26T09:32:34Z
junitjunit,"update","4.12","4.13.1",2020-10-13T16:09:11Z
junitjunit,"add","","4.12",2019-09-19T11:41:01Z
org.springframework.bootspring-boot-starter-web,"add","","2.1.6.RELEASE",2019-09-19T11:41:01Z
