library,type,old_version,new_version,commit_date
org.springframework.cloudspring-cloud-starter-consul-discovery,"update","2.1.2.RELEASE","unknown",2019-07-26T09:32:34Z
org.springframework.cloudspring-cloud-starter-consul-discovery,"add","","2.1.2.RELEASE",2019-06-28T11:36:26Z
org.springframework.bootspring-boot-starter-integration,"update","2.1.4.RELEASE","unknown",2019-07-26T09:32:34Z
org.springframework.kafkaspring-kafka,"remove","1.0.5.RELEASE","",2019-09-19T11:41:01Z
org.apache.dubbodubbo,"add","","unknown",2019-05-30T11:42:11Z
org.apache.dubbodubbo,"remove","2.7.1","",2019-05-24T12:09:09Z
org.javassistjavassist,"add","","3.25.0-GA",2019-05-22T11:21:50Z
org.apache.dubbodubbo-spring-boot-starter,"remove","2.7.1","",2019-05-24T12:09:09Z
org.redissonredisson,"add","","3.11.1",2019-07-26T09:32:34Z
org.springframework.integrationspring-integration-zookeeper,"update","5.1.4.RELEASE","unknown",2019-07-26T09:32:34Z
org.springframework.integrationspring-integration-zookeeper,"add","","5.1.4.RELEASE",2019-05-30T11:42:11Z
org.springframework.integrationspring-integration-redis,"update","5.1.4.RELEASE","unknown",2019-07-26T09:32:34Z
org.springframework.integrationspring-integration-redis,"add","","5.1.4.RELEASE",2019-05-30T11:42:11Z
org.apache.commonscommons-collections4,"update","4.3","unknown",2019-07-26T09:32:34Z
org.springframework.integrationspring-integration-jdbc,"update","5.1.4.RELEASE","unknown",2019-07-26T09:32:34Z
org.springframework.integrationspring-integration-jdbc,"add","","5.1.4.RELEASE",2019-05-30T11:42:11Z
commons-iocommons-io,"add","","unknown",2019-05-21T12:11:01Z
org.apache.kafkakafka-clients,"remove","0.8.2.0","",2019-09-19T11:41:01Z
commons-chaincommons-chain,"add","","1.2",2019-05-30T11:42:11Z
org.springframework.cloudspring-cloud-starter-openfeign,"update","2.1.2.RELEASE","unknown",2019-07-26T09:32:34Z
org.springframework.cloudspring-cloud-starter-openfeign,"add","","2.1.2.RELEASE",2019-06-28T11:36:26Z
com.self.entertainmentprovider,"remove","${j4f.version}","",2019-05-22T11:21:50Z
