library,type,old_version,new_version,commit_date
org.apache.lucenelucene-analysis-common,"add","","9.3.0",2022-11-05T15:05:31Z
org.junit.jupiterjunit-jupiter-params,"update","5.8.2","5.9.0",2022-10-16T07:50:30Z
org.junit.jupiterjunit-jupiter-params,"add","","5.8.2",2022-03-19T18:41:42Z
org.junit.jupiterjunit-jupiter-api,"update","5.8.2","5.9.0",2022-10-16T07:50:30Z
org.junit.jupiterjunit-jupiter-api,"add","","5.8.2",2022-03-19T18:41:42Z
org.apache.lucenelucene-queryparser,"update","8.11.1","9.3.0",2022-11-05T15:05:31Z
org.apache.lucenelucene-queryparser,"update","8.8.2","8.11.1",2022-03-19T18:41:42Z
org.apache.lucenelucene-queryparser,"update","8.7.0","8.8.2",2021-05-01T10:26:44Z
org.apache.lucenelucene-queryparser,"update","8.6.2","8.7.0",2020-11-30T21:21:53Z
org.apache.lucenelucene-queryparser,"update","8.2.0","8.6.2",2020-09-01T16:08:51Z
org.apache.lucenelucene-queryparser,"update","7.7.1","8.2.0",2019-09-27T07:40:14Z
org.apache.lucenelucene-queryparser,"update","7.2.1","7.7.1",2019-09-26T10:47:00Z
org.apache.lucenelucene-queryparser,"update","5.4.0","7.2.1",2018-04-04T13:14:21Z
org.junit.jupiterjunit-jupiter-engine,"update","5.8.2","5.9.0",2022-10-16T07:50:30Z
org.junit.jupiterjunit-jupiter-engine,"add","","5.8.2",2022-03-19T18:41:42Z
org.apache.lucenelucene-queries,"remove","8.2.0","",2020-09-01T16:08:51Z
org.apache.lucenelucene-queries,"update","7.7.1","8.2.0",2019-09-27T07:40:14Z
org.apache.lucenelucene-queries,"update","7.2.1","7.7.1",2019-09-26T10:47:00Z
org.apache.lucenelucene-queries,"update","5.4.0","7.2.1",2018-04-04T13:14:21Z
org.apache.lucenelucene-core,"update","8.11.1","9.3.0",2022-11-05T15:05:31Z
org.apache.lucenelucene-core,"update","8.8.2","8.11.1",2022-03-19T18:41:42Z
org.apache.lucenelucene-core,"update","8.7.0","8.8.2",2021-05-01T10:26:44Z
org.apache.lucenelucene-core,"update","8.6.2","8.7.0",2020-11-30T21:21:53Z
org.apache.lucenelucene-core,"update","8.2.0","8.6.2",2020-09-01T16:08:51Z
org.apache.lucenelucene-core,"update","7.7.1","8.2.0",2019-09-27T07:40:14Z
org.apache.lucenelucene-core,"update","7.2.1","7.7.1",2019-09-26T10:47:00Z
org.apache.lucenelucene-core,"update","5.4.0","7.2.1",2018-04-04T13:14:21Z
alkhalilalkhalil-db-long,"add","","2.1",2022-03-19T18:41:42Z
org.apache.lucenelucene-analyzers-common,"remove","8.11.1","",2022-11-05T15:05:31Z
org.apache.lucenelucene-analyzers-common,"update","8.8.2","8.11.1",2022-03-19T18:41:42Z
org.apache.lucenelucene-analyzers-common,"update","8.7.0","8.8.2",2021-05-01T10:26:44Z
org.apache.lucenelucene-analyzers-common,"update","8.6.2","8.7.0",2020-11-30T21:21:53Z
org.apache.lucenelucene-analyzers-common,"update","8.2.0","8.6.2",2020-09-01T16:08:51Z
org.apache.lucenelucene-analyzers-common,"update","7.7.1","8.2.0",2019-09-27T07:40:14Z
org.apache.lucenelucene-analyzers-common,"update","7.2.1","7.7.1",2019-09-26T10:47:00Z
org.apache.lucenelucene-analyzers-common,"update","5.4.0","7.2.1",2018-04-04T13:14:21Z
alkhalilalkhalil-db-short,"add","","2.1",2022-03-19T18:41:42Z
alkhalilalkhalil-analyzer,"add","","2.1",2022-03-19T18:41:42Z
junitjunit,"remove","4.13.1","",2022-03-19T18:41:42Z
junitjunit,"update","4.13","4.13.1",2020-10-12T19:42:01Z
junitjunit,"update","4.12","4.13",2020-09-01T16:08:51Z
org.apache.lucenelucene-test-framework,"remove","8.2.0","",2020-09-01T16:08:51Z
org.apache.lucenelucene-test-framework,"update","7.7.1","8.2.0",2019-09-27T07:40:14Z
org.apache.lucenelucene-test-framework,"update","7.2.1","7.7.1",2019-09-26T10:47:00Z
org.apache.lucenelucene-test-framework,"update","5.4.0","7.2.1",2018-04-04T13:14:21Z
